"Year","Gender Name","Enrollment by Gender"
"2017-2018","Female",2630684
"2017-2018","Male",2768998
"2017-2018","Both Genders",5399682

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

