"Year","Gender Name","Enrollment by Gender"
"2016-2017","Female",2610531
"2016-2017","Male",2748596
"2016-2017","Both Genders",5359127

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

