"Year","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018","Black or African American",680777
"2017-2018","American Indian or Alaska Native",20586
"2017-2018","Asian",235491
"2017-2018","Hispanic",2827847
"2017-2018","Native Hawaiian/Other or Pacific Islander",8026
"2017-2018","Two or More Races",122440
"2017-2018","White",1504515
"2017-2018","All Ethnicities",5399682

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

