 
System ID, System Name, AUT,  BL,  D,  DB,  EBD,  HH,  MID,  MoID, OHI,  OI,  PID,  SDD,  SI,  SID,  SLD,  TBI,  VI 
"601","Appling County","22","*","*","*","38","*","16","15","56","*","*","99","123","*","135","*","*"
"602","Atkinson County","*","*","*","*","*","*","*","*","38","*","*","29","*","*","100","*","*"
"761","Atlanta Public Schools","576","*","21","*","353","*","353","130","850","12","*","552","530","35","2168","18","*"
"603","Bacon County","18","*","*","*","13","*","17","*","60","*","*","51","55","*","103","*","*"
"604","Baker County","*","*","*","*","*","*","*","*","*","*","*","*","11","*","18","*","*"
"605","Baldwin County","57","*","*","*","49","*","39","23","117","*","*","65","98","*","85","*","*"
"606","Banks County","35","*","*","*","31","*","17","*","75","*","*","70","38","*","150","*","*"
"607","Barrow County","184","*","*","*","88","14","83","27","281","*","*","285","293","17","643","*","*"
"608","Bartow County","91","*","*","*","93","*","84","31","244","22","*","219","251","*","569","*","*"
"609","Ben Hill County","14","*","*","*","39","*","23","12","30","*","*","94","55","*","147","*","*"
"610","Berrien County","21","*","*","*","23","*","24","*","27","*","*","46","87","*","112","*","*"
"611","Bibb County","318","*","*","*","220","29","159","127","280","*","*","223","267","40","652","*","10"
"612","Bleckley County","23","*","*","*","24","*","31","*","52","*","*","55","71","*","111","*","*"
"613","Brantley County","38","*","*","*","14","*","26","12","66","*","*","30","52","*","141","*","*"
"763","Bremen City","*","*","*","*","*","*","*","*","38","*","*","43","32","*","72","*","*"
"614","Brooks County","20","*","*","*","*","*","37","*","46","*","*","30","44","*","67","*","*"
"615","Bryan County","137","*","*","*","67","*","22","22","209","*","*","71","124","*","301","*","*"
"764","Buford City","29","*","*","*","16","*","12","*","83","*","*","41","101","*","166","*","*"
"616","Bulloch County","93","*","*","*","78","*","92","26","306","*","*","223","243","*","514","*","*"
"617","Burke County","20","*","*","*","11","*","20","20","62","*","*","104","83","*","146","*","*"
"618","Butts County","41","*","*","*","31","*","14","*","75","*","*","46","78","*","122","*","*"
"765","Calhoun City","44","*","*","*","17","*","12","*","61","*","*","30","33","*","112","*","*"
"619","Calhoun County","*","*","*","*","*","*","10","*","*","*","*","13","*","*","*","*","*"
"620","Camden County","93","*","*","*","45","*","36","33","203","*","*","126","236","*","408","*","*"
"621","Candler County","10","*","*","*","*","*","*","*","37","*","*","67","65","*","85","*","*"
"622","Carroll County","146","*","*","*","76","12","86","36","363","*","*","261","289","*","810","*","*"
"766","Carrollton City","29","*","*","*","30","*","22","*","71","*","*","68","62","*","262","*","*"
"767","Cartersville City","40","*","*","*","34","*","13","10","68","*","*","59","81","*","134","*","*"
"623","Catoosa County","204","*","*","*","75","11","55","50","325","*","*","216","112","*","801","*","*"
"624","Charlton County","15","*","*","*","*","*","11","*","20","*","*","26","32","*","76","*","*"
"626","Chattahoochee County","*","*","*","*","*","*","12","*","22","*","*","13","25","*","39","*","*"
"627","Chattooga County","36","*","*","*","18","*","35","11","74","*","*","79","71","*","182","*","*"
"628","Cherokee County","562","*","10","*","209","27","119","78","720","16","14","642","756","27","1987","*","*"
"769","Chickamauga City","*","*","*","*","*","*","*","*","24","*","*","*","11","*","29","*","*"
"773","City Schools of Decatur","72","*","*","*","23","*","10","*","88","*","*","47","42","*","148","*","*"
"629","Clarke County","197","*","*","*","126","16","136","51","211","*","*","294","183","13","609","*","*"
"630","Clay County","*","*","*","*","*","*","*","*","*","*","*","*","19","*","*","*","*"
"631","Clayton County","581","*","11","*","427","42","378","195","670","12","15","702","374","62","2518","13","15"
"632","Clinch County","16","*","*","*","*","*","12","*","35","*","*","16","17","*","58","*","*"
"633","Cobb County","1711","*","25","*","652","136","415","213","2380","112","33","1630","1804","71","5689","28","29"
"634","Coffee County","40","*","*","*","13","*","83","33","85","*","*","100","190","*","170","*","*"
"635","Colquitt County","42","*","*","*","29","10","80","58","58","*","*","140","92","12","581","*","*"
"636","Columbia County","344","*","*","*","92","16","65","60","458","*","*","400","384","21","517","*","15"
"771","Commerce City","14","*","*","*","10","*","*","*","25","*","*","19","25","*","83","*","*"
"637","Cook County","23","*","*","*","19","*","27","13","61","*","*","53","97","*","105","*","*"
"638","Coweta County","190","*","*","*","125","23","100","47","521","26","*","294","371","10","648","*","16"
"639","Crawford County","49","*","*","*","28","*","21","*","15","*","*","15","28","*","93","*","*"
"640","Crisp County","28","*","*","*","22","*","37","17","42","*","*","90","116","*","141","*","*"
"641","Dade County","24","*","*","*","*","*","19","*","64","*","*","60","57","*","130","*","*"
"772","Dalton Public Schools","68","*","*","*","14","*","18","29","76","*","*","109","89","*","305","*","*"
"642","Dawson County","43","*","*","*","36","*","17","*","84","*","*","58","79","*","213","*","*"
"644","DeKalb County","1512","18","33","*","540","45","633","254","1287","29","65","1083","855","91","3764","23","18"
"643","Decatur County","43","*","*","*","34","*","70","46","72","*","*","53","92","*","116","*","*"
"891","Department of Juvenile Justice","*","*","*","*","107","*","15","*","60","*","*","*","*","*","79","*","*"
"645","Dodge County","23","*","*","*","27","*","34","25","72","*","*","33","50","*","164","*","*"
"646","Dooly County","*","*","*","*","*","*","16","*","11","*","*","17","51","*","12","*","*"
"647","Dougherty County","90","*","*","*","68","*","203","112","104","*","11","235","229","22","371","*","*"
"648","Douglas County","211","*","*","*","150","18","127","64","510","26","*","536","417","11","1302","*","13"
"774","Dublin City","31","*","*","*","14","*","28","10","53","*","*","40","23","*","60","*","*"
"649","Early County","12","*","*","*","18","*","50","13","28","*","*","27","40","*","57","*","*"
"650","Echols County","*","*","*","*","*","*","*","*","*","*","*","*","10","*","29","*","*"
"651","Effingham County","154","*","*","*","73","*","63","33","442","*","*","347","366","*","412","*","*"
"652","Elbert County","19","*","*","*","13","*","18","13","75","*","*","62","63","*","71","*","*"
"653","Emanuel County","36","*","*","*","26","*","55","12","155","*","*","101","68","*","101","*","*"
"654","Evans County","15","*","*","*","*","*","*","*","18","*","*","40","40","*","67","*","*"
"655","Fannin County","40","*","*","*","24","*","22","14","51","*","*","53","41","*","131","*","*"
"656","Fayette County","221","*","*","*","83","25","50","33","370","*","*","141","307","*","733","*","*"
"657","Floyd County","158","*","*","*","83","12","53","30","285","*","*","140","307","*","325","*","*"
"658","Forsyth County","636","*","16","*","141","38","115","69","967","19","*","659","1760","31","1608","*","*"
"659","Franklin County","38","*","*","*","26","*","29","12","56","*","*","95","70","*","177","*","*"
"660","Fulton County","1126","14","*","*","497","89","367","223","1371","47","*","1035","1139","55","3609","17","14"
"776","Gainesville City","42","*","*","*","30","*","28","*","64","*","*","141","111","*","273","*","*"
"661","Gilmer County","22","*","*","*","25","*","27","12","63","*","*","40","28","*","147","*","*"
"662","Glascock County","*","*","*","*","*","*","*","*","*","*","*","*","14","*","12","*","*"
"663","Glynn County","200","*","*","*","114","15","63","58","232","*","*","188","181","*","714","*","*"
"664","Gordon County","35","*","*","*","35","*","27","25","142","*","*","148","35","*","293","*","*"
"665","Grady County","60","*","*","*","39","*","42","21","59","*","*","32","100","*","138","*","*"
"666","Greene County","23","*","*","*","21","*","17","*","28","*","*","37","27","*","113","*","*"
"726","Griffin-Spalding County","80","*","*","*","62","*","88","41","166","*","*","167","122","10","431","*","*"
"667","Gwinnett County","2791","33","65","*","862","106","570","428","2726","77","43","2234","2746","157","9631","38","43"
"668","Habersham County","57","*","*","*","38","*","33","21","145","*","*","152","258","*","435","*","*"
"669","Hall County","277","*","*","*","92","15","138","63","451","20","*","447","399","*","1527","*","*"
"670","Hancock County","10","*","*","*","*","*","24","*","18","*","*","13","26","*","15","*","*"
"671","Haralson County","24","*","*","*","21","*","33","11","70","*","*","105","55","*","240","*","*"
"672","Harris County","52","*","*","*","16","*","10","18","139","*","*","38","95","*","150","*","*"
"673","Hart County","25","*","*","*","19","*","21","*","66","*","*","63","75","*","174","*","*"
"674","Heard County","22","*","*","*","12","*","*","*","37","*","*","41","53","*","128","*","*"
"675","Henry County","649","*","*","*","299","26","193","114","919","38","20","497","652","33","2150","*","17"
"676","Houston County","428","*","*","*","277","30","202","91","792","25","13","396","522","26","836","11","*"
"677","Irwin County","13","*","*","*","19","*","29","10","23","*","*","39","45","*","102","*","*"
"678","Jackson County","79","*","*","*","50","*","67","23","160","*","*","132","278","15","267","*","*"
"679","Jasper County","20","*","*","*","16","*","17","*","54","*","*","23","35","*","70","*","*"
"680","Jeff Davis County","22","*","*","*","20","*","23","*","59","*","*","57","93","*","107","*","*"
"779","Jefferson City","32","*","*","*","26","*","18","*","62","*","*","51","81","*","122","*","*"
"681","Jefferson County","27","*","*","*","*","*","22","15","38","*","*","57","44","*","126","*","*"
"682","Jenkins County","*","*","*","*","*","*","16","*","15","*","*","23","23","*","18","*","*"
"683","Johnson County","*","*","*","*","23","*","*","*","27","*","*","15","13","*","47","*","*"
"684","Jones County","60","*","*","*","43","*","29","19","97","*","*","44","98","*","327","*","*"
"685","Lamar County","32","*","*","*","19","*","41","*","41","*","*","28","30","*","106","*","*"
"686","Lanier County","22","*","*","*","*","*","25","*","19","*","*","33","34","*","49","*","*"
"687","Laurens County","42","*","*","*","72","*","36","15","202","*","*","69","99","*","92","*","*"
"688","Lee County","52","*","*","*","34","*","44","22","53","*","*","66","128","*","133","*","*"
"689","Liberty County","156","*","*","*","58","*","42","42","218","*","*","123","199","10","364","*","*"
"690","Lincoln County","11","*","*","*","*","*","11","*","31","*","*","*","21","*","24","*","*"
"691","Long County","37","*","*","*","19","*","18","14","66","*","*","51","73","*","180","*","*"
"692","Lowndes County","154","*","*","*","38","11","57","33","145","*","*","127","287","10","501","*","*"
"693","Lumpkin County","45","*","*","*","37","*","15","11","102","*","*","65","98","*","221","*","*"
"694","Macon County","*","*","*","*","*","*","20","*","12","*","*","27","39","*","29","*","*"
"695","Madison County","72","*","*","*","42","*","48","16","103","*","*","131","115","*","260","*","*"
"781","Marietta City","87","*","*","*","57","16","16","16","163","*","*","94","139","*","371","*","*"
"696","Marion County","11","*","*","*","*","*","*","*","22","*","*","11","32","*","40","*","*"
"697","McDuffie County","32","*","*","*","23","*","26","12","86","*","*","110","94","*","174","*","*"
"698","McIntosh County","*","*","*","*","19","*","15","*","39","*","*","*","33","*","60","*","*"
"699","Meriwether County","*","*","*","*","34","*","34","24","96","*","*","*","71","*","266","*","*"
"700","Miller County","11","*","*","*","*","*","10","*","12","*","*","21","*","*","53","*","*"
"701","Mitchell County","12","*","*","*","*","*","43","18","23","*","*","42","18","*","56","*","*"
"702","Monroe County","19","*","*","*","35","*","14","20","88","*","*","50","116","*","185","*","*"
"703","Montgomery County","*","*","*","*","*","*","*","*","22","*","*","15","24","*","23","*","*"
"704","Morgan County","29","*","*","*","42","*","*","*","50","*","*","61","25","*","128","*","*"
"705","Murray County","45","*","*","*","15","*","66","16","156","*","*","62","70","*","306","*","*"
"706","Muscogee County","500","*","*","*","174","39","192","94","1138","*","12","374","517","38","1499","*","*"
"707","Newton County","241","*","*","*","103","15","96","49","609","*","13","418","192","15","862","*","14"
"708","Oconee County","93","*","*","*","38","*","20","16","131","*","*","65","197","*","305","*","*"
"709","Oglethorpe County","26","*","*","*","23","*","13","10","42","*","*","38","50","*","75","*","*"
"710","Paulding County","342","*","*","*","200","22","111","61","667","11","*","498","460","20","1743","*","*"
"711","Peach County","53","*","*","*","28","*","54","22","30","*","*","52","64","*","139","*","*"
"784","Pelham City","*","*","*","*","14","*","22","*","20","*","*","18","35","*","62","*","*"
"712","Pickens County","60","*","*","*","77","*","24","17","90","*","*","53","86","*","230","*","*"
"713","Pierce County","19","*","*","*","17","*","23","15","72","*","*","40","69","*","155","*","*"
"714","Pike County","34","*","*","*","10","*","*","12","45","*","*","28","46","*","102","*","*"
"715","Polk County","54","*","*","*","61","*","59","34","143","*","*","119","194","*","464","*","*"
"716","Pulaski County","*","*","*","*","11","*","*","*","23","*","*","33","21","*","65","*","*"
"717","Putnam County","26","*","*","*","22","*","26","*","95","*","*","42","32","*","190","*","*"
"718","Quitman County","*","*","*","*","*","*","*","*","*","*","*","*","16","*","15","*","*"
"719","Rabun County","13","*","*","*","14","*","20","12","48","*","*","39","18","*","119","*","*"
"720","Randolph County","*","*","*","*","12","*","12","*","15","*","*","23","15","*","31","*","*"
"721","Richmond County","226","*","*","*","133","25","248","103","654","*","10","599","403","23","1077","*","*"
"722","Rockdale County","212","*","*","*","95","*","97","43","319","*","*","208","157","17","717","*","*"
"785","Rome City","50","*","*","*","51","*","47","19","75","*","*","154","80","*","213","*","*"
"625","Savannah-Chatham County","423","*","17","*","255","20","200","145","784","18","13","493","918","23","1086","10","*"
"723","Schley County","*","*","*","*","11","*","*","*","11","*","*","*","57","*","36","*","*"
"724","Screven County","12","*","*","*","21","*","37","14","55","*","*","54","70","*","138","*","*"
"725","Seminole County","19","*","*","*","*","*","15","*","10","*","*","17","13","*","35","*","*"
"786","Social Circle City","14","*","*","*","19","*","14","*","28","*","*","16","33","*","70","*","*"
"7830410","State Charter Schools II- Atlanta Heights Charter School","*","*","*","*","*","*","*","*","*","*","*","*","13","*","33","*","*"
"7830613","State Charter Schools II- Brookhaven Innovation Academy","*","*","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*"
