"YEAR","REGION","GENDER","GRADE","ENROLLMENT"
"2018-2019",20,"FEMALE","Pre-kindergarten",10351
"2018-2019",20,"MALE","Pre-kindergarten",10605
"2018-2019",20,"FEMALE","Kindergarten",15825
"2018-2019",20,"MALE","Kindergarten",16443
"2018-2019",20,"FEMALE","Grade 1",16360
"2018-2019",20,"MALE","Grade 1",17226
"2018-2019",20,"FEMALE","Grade 2",16589
"2018-2019",20,"MALE","Grade 2",17263
"2018-2019",20,"FEMALE","Grade 3",17041
"2018-2019",20,"MALE","Grade 3",17814
"2018-2019",20,"FEMALE","Grade 4",17422
"2018-2019",20,"MALE","Grade 4",19055
"2018-2019",20,"FEMALE","Grade 5",18213
"2018-2019",20,"MALE","Grade 5",19179
"2018-2019",20,"FEMALE","Grade 6",17859
"2018-2019",20,"MALE","Grade 6",18764
"2018-2019",20,"FEMALE","Grade 7",17154
"2018-2019",20,"MALE","Grade 7",18185
"2018-2019",20,"FEMALE","Grade 8",17413
"2018-2019",20,"MALE","Grade 8",18314
"2018-2019",20,"FEMALE","Grade 9",19185
"2018-2019",20,"MALE","Grade 9",20815
"2018-2019",20,"FEMALE","Grade 10",17287
"2018-2019",20,"MALE","Grade 10",18300
"2018-2019",20,"FEMALE","Grade 11",16576
"2018-2019",20,"MALE","Grade 11",16845
"2018-2019",20,"FEMALE","Grade 12",15268
"2018-2019",20,"MALE","Grade 12",15583

