"YEAR","REGION","COUNTY NAME","GRADE","ENROLLMENT"
"2019-2020",07,"ANDERSON COUNTY","Early Education",12
"2019-2020",07,"ANDERSON COUNTY","Pre-kindergarten",489
"2019-2020",07,"ANDERSON COUNTY","Kindergarten",583
"2019-2020",07,"ANDERSON COUNTY","Grade 1",603
"2019-2020",07,"ANDERSON COUNTY","Grade 2",539
"2019-2020",07,"ANDERSON COUNTY","Grade 3",590
"2019-2020",07,"ANDERSON COUNTY","Grade 4",566
"2019-2020",07,"ANDERSON COUNTY","Grade 5",656
"2019-2020",07,"ANDERSON COUNTY","Grade 6",589
"2019-2020",07,"ANDERSON COUNTY","Grade 7",594
"2019-2020",07,"ANDERSON COUNTY","Grade 8",616
"2019-2020",07,"ANDERSON COUNTY","Grade 9",681
"2019-2020",07,"ANDERSON COUNTY","Grade 10",649
"2019-2020",07,"ANDERSON COUNTY","Grade 11",551
"2019-2020",07,"ANDERSON COUNTY","Grade 12",557
"2019-2020",18,"ANDREWS COUNTY","Early Education",15
"2019-2020",18,"ANDREWS COUNTY","Pre-kindergarten",133
"2019-2020",18,"ANDREWS COUNTY","Kindergarten",315
"2019-2020",18,"ANDREWS COUNTY","Grade 1",373
"2019-2020",18,"ANDREWS COUNTY","Grade 2",345
"2019-2020",18,"ANDREWS COUNTY","Grade 3",318
"2019-2020",18,"ANDREWS COUNTY","Grade 4",296
"2019-2020",18,"ANDREWS COUNTY","Grade 5",351
"2019-2020",18,"ANDREWS COUNTY","Grade 6",334
"2019-2020",18,"ANDREWS COUNTY","Grade 7",366
"2019-2020",18,"ANDREWS COUNTY","Grade 8",304
"2019-2020",18,"ANDREWS COUNTY","Grade 9",356
"2019-2020",18,"ANDREWS COUNTY","Grade 10",315
"2019-2020",18,"ANDREWS COUNTY","Grade 11",302
"2019-2020",18,"ANDREWS COUNTY","Grade 12",236
"2019-2020",07,"ANGELINA COUNTY","Early Education",58
"2019-2020",07,"ANGELINA COUNTY","Pre-kindergarten",954
"2019-2020",07,"ANGELINA COUNTY","Kindergarten",1236
"2019-2020",07,"ANGELINA COUNTY","Grade 1",1228
"2019-2020",07,"ANGELINA COUNTY","Grade 2",1263
"2019-2020",07,"ANGELINA COUNTY","Grade 3",1182
"2019-2020",07,"ANGELINA COUNTY","Grade 4",1200
"2019-2020",07,"ANGELINA COUNTY","Grade 5",1231
"2019-2020",07,"ANGELINA COUNTY","Grade 6",1307
"2019-2020",07,"ANGELINA COUNTY","Grade 7",1356
"2019-2020",07,"ANGELINA COUNTY","Grade 8",1274
"2019-2020",07,"ANGELINA COUNTY","Grade 9",1259
"2019-2020",07,"ANGELINA COUNTY","Grade 10",1287
"2019-2020",07,"ANGELINA COUNTY","Grade 11",1111
"2019-2020",07,"ANGELINA COUNTY","Grade 12",1115
"2019-2020",02,"ARANSAS COUNTY","Early Education",10
"2019-2020",02,"ARANSAS COUNTY","Pre-kindergarten",103
"2019-2020",02,"ARANSAS COUNTY","Kindergarten",222
"2019-2020",02,"ARANSAS COUNTY","Grade 1",195
"2019-2020",02,"ARANSAS COUNTY","Grade 2",200
"2019-2020",02,"ARANSAS COUNTY","Grade 3",222
"2019-2020",02,"ARANSAS COUNTY","Grade 4",238
"2019-2020",02,"ARANSAS COUNTY","Grade 5",212
"2019-2020",02,"ARANSAS COUNTY","Grade 6",243
"2019-2020",02,"ARANSAS COUNTY","Grade 7",217
"2019-2020",02,"ARANSAS COUNTY","Grade 8",229
"2019-2020",02,"ARANSAS COUNTY","Grade 9",247
"2019-2020",02,"ARANSAS COUNTY","Grade 10",257
"2019-2020",02,"ARANSAS COUNTY","Grade 11",183
"2019-2020",02,"ARANSAS COUNTY","Grade 12",188
"2019-2020",09,"ARCHER COUNTY","Early Education",8
"2019-2020",09,"ARCHER COUNTY","Pre-kindergarten",71
"2019-2020",09,"ARCHER COUNTY","Kindergarten",142
"2019-2020",09,"ARCHER COUNTY","Grade 1",145
"2019-2020",09,"ARCHER COUNTY","Grade 2",136
"2019-2020",09,"ARCHER COUNTY","Grade 3",135
"2019-2020",09,"ARCHER COUNTY","Grade 4",124
"2019-2020",09,"ARCHER COUNTY","Grade 5",148
"2019-2020",09,"ARCHER COUNTY","Grade 6",154
"2019-2020",09,"ARCHER COUNTY","Grade 7",148
"2019-2020",09,"ARCHER COUNTY","Grade 8",148
"2019-2020",09,"ARCHER COUNTY","Grade 9",151
"2019-2020",09,"ARCHER COUNTY","Grade 10",165
"2019-2020",09,"ARCHER COUNTY","Grade 11",142
"2019-2020",09,"ARCHER COUNTY","Grade 12",144
"2019-2020",16,"ARMSTRONG COUNTY","Pre-kindergarten",17
"2019-2020",16,"ARMSTRONG COUNTY","Kindergarten",28
"2019-2020",16,"ARMSTRONG COUNTY","Grade 1",28
"2019-2020",16,"ARMSTRONG COUNTY","Grade 2",22
"2019-2020",16,"ARMSTRONG COUNTY","Grade 3",24
"2019-2020",16,"ARMSTRONG COUNTY","Grade 4",24
"2019-2020",16,"ARMSTRONG COUNTY","Grade 5",25
"2019-2020",16,"ARMSTRONG COUNTY","Grade 6",28
"2019-2020",16,"ARMSTRONG COUNTY","Grade 7",24
"2019-2020",16,"ARMSTRONG COUNTY","Grade 8",19
"2019-2020",16,"ARMSTRONG COUNTY","Grade 9",27
"2019-2020",16,"ARMSTRONG COUNTY","Grade 10",21
"2019-2020",16,"ARMSTRONG COUNTY","Grade 11",25
"2019-2020",16,"ARMSTRONG COUNTY","Grade 12",19
"2019-2020",20,"ATASCOSA COUNTY","Early Education",47
"2019-2020",20,"ATASCOSA COUNTY","Pre-kindergarten",458
"2019-2020",20,"ATASCOSA COUNTY","Kindergarten",611
"2019-2020",20,"ATASCOSA COUNTY","Grade 1",690
"2019-2020",20,"ATASCOSA COUNTY","Grade 2",631
"2019-2020",20,"ATASCOSA COUNTY","Grade 3",673
"2019-2020",20,"ATASCOSA COUNTY","Grade 4",656
"2019-2020",20,"ATASCOSA COUNTY","Grade 5",703
"2019-2020",20,"ATASCOSA COUNTY","Grade 6",690
"2019-2020",20,"ATASCOSA COUNTY","Grade 7",717
"2019-2020",20,"ATASCOSA COUNTY","Grade 8",668
"2019-2020",20,"ATASCOSA COUNTY","Grade 9",675
"2019-2020",20,"ATASCOSA COUNTY","Grade 10",678
"2019-2020",20,"ATASCOSA COUNTY","Grade 11",587
"2019-2020",20,"ATASCOSA COUNTY","Grade 12",584
"2019-2020",06,"AUSTIN COUNTY","Early Education",36
"2019-2020",06,"AUSTIN COUNTY","Pre-kindergarten",221
"2019-2020",06,"AUSTIN COUNTY","Kindergarten",339
"2019-2020",06,"AUSTIN COUNTY","Grade 1",384
"2019-2020",06,"AUSTIN COUNTY","Grade 2",437
"2019-2020",06,"AUSTIN COUNTY","Grade 3",387
"2019-2020",06,"AUSTIN COUNTY","Grade 4",432
"2019-2020",06,"AUSTIN COUNTY","Grade 5",440
"2019-2020",06,"AUSTIN COUNTY","Grade 6",478
"2019-2020",06,"AUSTIN COUNTY","Grade 7",467
"2019-2020",06,"AUSTIN COUNTY","Grade 8",441
"2019-2020",06,"AUSTIN COUNTY","Grade 9",492
"2019-2020",06,"AUSTIN COUNTY","Grade 10",456
"2019-2020",06,"AUSTIN COUNTY","Grade 11",442
"2019-2020",06,"AUSTIN COUNTY","Grade 12",418
"2019-2020",17,"BAILEY COUNTY","Early Education",15
"2019-2020",17,"BAILEY COUNTY","Pre-kindergarten",80
"2019-2020",17,"BAILEY COUNTY","Kindergarten",89
"2019-2020",17,"BAILEY COUNTY","Grade 1",97
"2019-2020",17,"BAILEY COUNTY","Grade 2",105
"2019-2020",17,"BAILEY COUNTY","Grade 3",121
"2019-2020",17,"BAILEY COUNTY","Grade 4",95
"2019-2020",17,"BAILEY COUNTY","Grade 5",118
"2019-2020",17,"BAILEY COUNTY","Grade 6",108
"2019-2020",17,"BAILEY COUNTY","Grade 7",114
"2019-2020",17,"BAILEY COUNTY","Grade 8",110
"2019-2020",17,"BAILEY COUNTY","Grade 9",109
"2019-2020",17,"BAILEY COUNTY","Grade 10",87
"2019-2020",17,"BAILEY COUNTY","Grade 11",78
"2019-2020",17,"BAILEY COUNTY","Grade 12",77
"2019-2020",20,"BANDERA COUNTY","Early Education",14
"2019-2020",20,"BANDERA COUNTY","Pre-kindergarten",144
"2019-2020",20,"BANDERA COUNTY","Kindergarten",183
"2019-2020",20,"BANDERA COUNTY","Grade 1",187
"2019-2020",20,"BANDERA COUNTY","Grade 2",191
"2019-2020",20,"BANDERA COUNTY","Grade 3",184
"2019-2020",20,"BANDERA COUNTY","Grade 4",161
"2019-2020",20,"BANDERA COUNTY","Grade 5",196
"2019-2020",20,"BANDERA COUNTY","Grade 6",205
"2019-2020",20,"BANDERA COUNTY","Grade 7",193
"2019-2020",20,"BANDERA COUNTY","Grade 8",214
"2019-2020",20,"BANDERA COUNTY","Grade 9",203
"2019-2020",20,"BANDERA COUNTY","Grade 10",209
"2019-2020",20,"BANDERA COUNTY","Grade 11",155
"2019-2020",20,"BANDERA COUNTY","Grade 12",167
"2019-2020",13,"BASTROP COUNTY","Early Education",76
"2019-2020",13,"BASTROP COUNTY","Pre-kindergarten",801
"2019-2020",13,"BASTROP COUNTY","Kindergarten",1248
"2019-2020",13,"BASTROP COUNTY","Grade 1",1243
"2019-2020",13,"BASTROP COUNTY","Grade 2",1170
"2019-2020",13,"BASTROP COUNTY","Grade 3",1285
"2019-2020",13,"BASTROP COUNTY","Grade 4",1274
"2019-2020",13,"BASTROP COUNTY","Grade 5",1393
"2019-2020",13,"BASTROP COUNTY","Grade 6",1402
"2019-2020",13,"BASTROP COUNTY","Grade 7",1471
"2019-2020",13,"BASTROP COUNTY","Grade 8",1459
"2019-2020",13,"BASTROP COUNTY","Grade 9",1538
"2019-2020",13,"BASTROP COUNTY","Grade 10",1357
"2019-2020",13,"BASTROP COUNTY","Grade 11",1311
"2019-2020",13,"BASTROP COUNTY","Grade 12",1199
"2019-2020",09,"BAYLOR COUNTY","Early Education",3
"2019-2020",09,"BAYLOR COUNTY","Pre-kindergarten",21
"2019-2020",09,"BAYLOR COUNTY","Kindergarten",47
"2019-2020",09,"BAYLOR COUNTY","Grade 1",50
"2019-2020",09,"BAYLOR COUNTY","Grade 2",44
"2019-2020",09,"BAYLOR COUNTY","Grade 3",40
"2019-2020",09,"BAYLOR COUNTY","Grade 4",43
"2019-2020",09,"BAYLOR COUNTY","Grade 5",43
"2019-2020",09,"BAYLOR COUNTY","Grade 6",47
"2019-2020",09,"BAYLOR COUNTY","Grade 7",34
"2019-2020",09,"BAYLOR COUNTY","Grade 8",47
"2019-2020",09,"BAYLOR COUNTY","Grade 9",48
"2019-2020",09,"BAYLOR COUNTY","Grade 10",36
"2019-2020",09,"BAYLOR COUNTY","Grade 11",40
"2019-2020",09,"BAYLOR COUNTY","Grade 12",36
"2019-2020",02,"BEE COUNTY","Early Education",28
"2019-2020",02,"BEE COUNTY","Pre-kindergarten",576
"2019-2020",02,"BEE COUNTY","Kindergarten",391
"2019-2020",02,"BEE COUNTY","Grade 1",405
"2019-2020",02,"BEE COUNTY","Grade 2",355
"2019-2020",02,"BEE COUNTY","Grade 3",371
"2019-2020",02,"BEE COUNTY","Grade 4",351
"2019-2020",02,"BEE COUNTY","Grade 5",373
"2019-2020",02,"BEE COUNTY","Grade 6",430
"2019-2020",02,"BEE COUNTY","Grade 7",378
"2019-2020",02,"BEE COUNTY","Grade 8",376
"2019-2020",02,"BEE COUNTY","Grade 9",435
"2019-2020",02,"BEE COUNTY","Grade 10",332
"2019-2020",02,"BEE COUNTY","Grade 11",338
"2019-2020",02,"BEE COUNTY","Grade 12",299
"2019-2020",12,"BELL COUNTY","Early Education",321
"2019-2020",13,"BELL COUNTY","Early Education",1
"2019-2020",12,"BELL COUNTY","Pre-kindergarten",4576
"2019-2020",13,"BELL COUNTY","Pre-kindergarten",34
"2019-2020",12,"BELL COUNTY","Kindergarten",5784
"2019-2020",13,"BELL COUNTY","Kindergarten",31
"2019-2020",12,"BELL COUNTY","Grade 1",6029
"2019-2020",13,"BELL COUNTY","Grade 1",30
"2019-2020",12,"BELL COUNTY","Grade 2",5761
"2019-2020",13,"BELL COUNTY","Grade 2",24
"2019-2020",12,"BELL COUNTY","Grade 3",5646
"2019-2020",13,"BELL COUNTY","Grade 3",23
"2019-2020",12,"BELL COUNTY","Grade 4",5523
"2019-2020",13,"BELL COUNTY","Grade 4",19
"2019-2020",12,"BELL COUNTY","Grade 5",5702
"2019-2020",13,"BELL COUNTY","Grade 5",27
"2019-2020",12,"BELL COUNTY","Grade 6",5663
"2019-2020",13,"BELL COUNTY","Grade 6",35
"2019-2020",12,"BELL COUNTY","Grade 7",5710
"2019-2020",13,"BELL COUNTY","Grade 7",38
"2019-2020",12,"BELL COUNTY","Grade 8",5409
"2019-2020",13,"BELL COUNTY","Grade 8",22
"2019-2020",12,"BELL COUNTY","Grade 9",5845
"2019-2020",13,"BELL COUNTY","Grade 9",28
"2019-2020",20,"BELL COUNTY","Grade 9",373
"2019-2020",12,"BELL COUNTY","Grade 10",4927
"2019-2020",13,"BELL COUNTY","Grade 10",22
"2019-2020",20,"BELL COUNTY","Grade 10",560
"2019-2020",12,"BELL COUNTY","Grade 11",4569
"2019-2020",13,"BELL COUNTY","Grade 11",22
"2019-2020",20,"BELL COUNTY","Grade 11",486
"2019-2020",12,"BELL COUNTY","Grade 12",4319
"2019-2020",13,"BELL COUNTY","Grade 12",21
"2019-2020",20,"BELL COUNTY","Grade 12",502
"2019-2020",20,"BEXAR COUNTY","Early Education",1766
"2019-2020",20,"BEXAR COUNTY","Pre-kindergarten",18475
"2019-2020",20,"BEXAR COUNTY","Kindergarten",24574
"2019-2020",20,"BEXAR COUNTY","Grade 1",24698
"2019-2020",20,"BEXAR COUNTY","Grade 2",24927
"2019-2020",20,"BEXAR COUNTY","Grade 3",25404
"2019-2020",20,"BEXAR COUNTY","Grade 4",26215
"2019-2020",20,"BEXAR COUNTY","Grade 5",27141
"2019-2020",20,"BEXAR COUNTY","Grade 6",27111
"2019-2020",20,"BEXAR COUNTY","Grade 7",27049
"2019-2020",20,"BEXAR COUNTY","Grade 8",25806
"2019-2020",20,"BEXAR COUNTY","Grade 9",29333
"2019-2020",20,"BEXAR COUNTY","Grade 10",25655
"2019-2020",20,"BEXAR COUNTY","Grade 11",23401
"2019-2020",20,"BEXAR COUNTY","Grade 12",21799
"2019-2020",13,"BLANCO COUNTY","Early Education",10
"2019-2020",13,"BLANCO COUNTY","Pre-kindergarten",40
"2019-2020",13,"BLANCO COUNTY","Kindergarten",95
"2019-2020",13,"BLANCO COUNTY","Grade 1",105
"2019-2020",13,"BLANCO COUNTY","Grade 2",97
"2019-2020",13,"BLANCO COUNTY","Grade 3",108
"2019-2020",13,"BLANCO COUNTY","Grade 4",117
"2019-2020",13,"BLANCO COUNTY","Grade 5",125
"2019-2020",13,"BLANCO COUNTY","Grade 6",134
"2019-2020",13,"BLANCO COUNTY","Grade 7",143
"2019-2020",13,"BLANCO COUNTY","Grade 8",144
"2019-2020",13,"BLANCO COUNTY","Grade 9",153
"2019-2020",13,"BLANCO COUNTY","Grade 10",147
"2019-2020",13,"BLANCO COUNTY","Grade 11",124
"2019-2020",13,"BLANCO COUNTY","Grade 12",136
"2019-2020",17,"BORDEN COUNTY","Kindergarten",12
"2019-2020",17,"BORDEN COUNTY","Grade 1",13
"2019-2020",17,"BORDEN COUNTY","Grade 2",8
"2019-2020",17,"BORDEN COUNTY","Grade 3",9
"2019-2020",17,"BORDEN COUNTY","Grade 4",17
"2019-2020",17,"BORDEN COUNTY","Grade 5",17
"2019-2020",17,"BORDEN COUNTY","Grade 6",20
"2019-2020",17,"BORDEN COUNTY","Grade 7",17
"2019-2020",17,"BORDEN COUNTY","Grade 8",19
"2019-2020",17,"BORDEN COUNTY","Grade 9",17
"2019-2020",17,"BORDEN COUNTY","Grade 10",15
"2019-2020",17,"BORDEN COUNTY","Grade 11",21
"2019-2020",17,"BORDEN COUNTY","Grade 12",22
"2019-2020",12,"BOSQUE COUNTY","Early Education",14
"2019-2020",12,"BOSQUE COUNTY","Pre-kindergarten",152
"2019-2020",12,"BOSQUE COUNTY","Kindergarten",185
"2019-2020",12,"BOSQUE COUNTY","Grade 1",206
"2019-2020",12,"BOSQUE COUNTY","Grade 2",202
"2019-2020",12,"BOSQUE COUNTY","Grade 3",183
"2019-2020",12,"BOSQUE COUNTY","Grade 4",202
"2019-2020",12,"BOSQUE COUNTY","Grade 5",215
"2019-2020",12,"BOSQUE COUNTY","Grade 6",252
"2019-2020",12,"BOSQUE COUNTY","Grade 7",236
"2019-2020",12,"BOSQUE COUNTY","Grade 8",205
"2019-2020",12,"BOSQUE COUNTY","Grade 9",220
"2019-2020",12,"BOSQUE COUNTY","Grade 10",200
"2019-2020",12,"BOSQUE COUNTY","Grade 11",194
"2019-2020",12,"BOSQUE COUNTY","Grade 12",214
"2019-2020",08,"BOWIE COUNTY","Early Education",66
"2019-2020",08,"BOWIE COUNTY","Pre-kindergarten",1219
"2019-2020",08,"BOWIE COUNTY","Kindergarten",1305
"2019-2020",08,"BOWIE COUNTY","Grade 1",1307
"2019-2020",08,"BOWIE COUNTY","Grade 2",1332
"2019-2020",08,"BOWIE COUNTY","Grade 3",1287
"2019-2020",08,"BOWIE COUNTY","Grade 4",1267
"2019-2020",08,"BOWIE COUNTY","Grade 5",1359
"2019-2020",08,"BOWIE COUNTY","Grade 6",1386
"2019-2020",08,"BOWIE COUNTY","Grade 7",1456
"2019-2020",08,"BOWIE COUNTY","Grade 8",1406
"2019-2020",08,"BOWIE COUNTY","Grade 9",1641
"2019-2020",08,"BOWIE COUNTY","Grade 10",1468
"2019-2020",08,"BOWIE COUNTY","Grade 11",1335
"2019-2020",08,"BOWIE COUNTY","Grade 12",1112
"2019-2020",04,"BRAZORIA COUNTY","Early Education",419
"2019-2020",04,"BRAZORIA COUNTY","Pre-kindergarten",1853
"2019-2020",04,"BRAZORIA COUNTY","Kindergarten",5141
"2019-2020",04,"BRAZORIA COUNTY","Grade 1",5159
"2019-2020",04,"BRAZORIA COUNTY","Grade 2",5299
"2019-2020",04,"BRAZORIA COUNTY","Grade 3",5337
"2019-2020",04,"BRAZORIA COUNTY","Grade 4",5575
"2019-2020",04,"BRAZORIA COUNTY","Grade 5",5756
"2019-2020",04,"BRAZORIA COUNTY","Grade 6",5856
"2019-2020",04,"BRAZORIA COUNTY","Grade 7",5713
"2019-2020",04,"BRAZORIA COUNTY","Grade 8",5693
"2019-2020",04,"BRAZORIA COUNTY","Grade 9",6002
"2019-2020",04,"BRAZORIA COUNTY","Grade 10",5513
"2019-2020",04,"BRAZORIA COUNTY","Grade 11",5430
"2019-2020",04,"BRAZORIA COUNTY","Grade 12",4996
"2019-2020",06,"BRAZOS COUNTY","Early Education",227
"2019-2020",06,"BRAZOS COUNTY","Pre-kindergarten",1332
"2019-2020",06,"BRAZOS COUNTY","Kindergarten",2412
"2019-2020",06,"BRAZOS COUNTY","Grade 1",2391
"2019-2020",06,"BRAZOS COUNTY","Grade 2",2334
"2019-2020",06,"BRAZOS COUNTY","Grade 3",2293
"2019-2020",06,"BRAZOS COUNTY","Grade 4",2341
"2019-2020",06,"BRAZOS COUNTY","Grade 5",2404
"2019-2020",06,"BRAZOS COUNTY","Grade 6",2439
"2019-2020",06,"BRAZOS COUNTY","Grade 7",2262
"2019-2020",06,"BRAZOS COUNTY","Grade 8",2162
"2019-2020",06,"BRAZOS COUNTY","Grade 9",2538
"2019-2020",06,"BRAZOS COUNTY","Grade 10",2188
"2019-2020",06,"BRAZOS COUNTY","Grade 11",2044
"2019-2020",06,"BRAZOS COUNTY","Grade 12",1895
"2019-2020",18,"BREWSTER COUNTY","Early Education",8
"2019-2020",18,"BREWSTER COUNTY","Pre-kindergarten",63
"2019-2020",18,"BREWSTER COUNTY","Kindergarten",79
"2019-2020",18,"BREWSTER COUNTY","Grade 1",79
"2019-2020",18,"BREWSTER COUNTY","Grade 2",80
"2019-2020",18,"BREWSTER COUNTY","Grade 3",80
"2019-2020",18,"BREWSTER COUNTY","Grade 4",87
"2019-2020",18,"BREWSTER COUNTY","Grade 5",82
"2019-2020",18,"BREWSTER COUNTY","Grade 6",91
"2019-2020",18,"BREWSTER COUNTY","Grade 7",98
"2019-2020",18,"BREWSTER COUNTY","Grade 8",109
"2019-2020",18,"BREWSTER COUNTY","Grade 9",91
"2019-2020",18,"BREWSTER COUNTY","Grade 10",103
"2019-2020",18,"BREWSTER COUNTY","Grade 11",78
"2019-2020",18,"BREWSTER COUNTY","Grade 12",83
"2019-2020",16,"BRISCOE COUNTY","Pre-kindergarten",12
"2019-2020",16,"BRISCOE COUNTY","Kindergarten",8
"2019-2020",16,"BRISCOE COUNTY","Grade 1",11
"2019-2020",16,"BRISCOE COUNTY","Grade 2",14
"2019-2020",16,"BRISCOE COUNTY","Grade 3",18
"2019-2020",16,"BRISCOE COUNTY","Grade 4",12
"2019-2020",16,"BRISCOE COUNTY","Grade 5",14
"2019-2020",16,"BRISCOE COUNTY","Grade 6",15
"2019-2020",16,"BRISCOE COUNTY","Grade 7",14
"2019-2020",16,"BRISCOE COUNTY","Grade 8",22
"2019-2020",16,"BRISCOE COUNTY","Grade 9",11
"2019-2020",16,"BRISCOE COUNTY","Grade 10",11
"2019-2020",16,"BRISCOE COUNTY","Grade 11",12
"2019-2020",16,"BRISCOE COUNTY","Grade 12",10
"2019-2020",01,"BROOKS COUNTY","Early Education",4
"2019-2020",01,"BROOKS COUNTY","Pre-kindergarten",144
"2019-2020",01,"BROOKS COUNTY","Kindergarten",97
"2019-2020",01,"BROOKS COUNTY","Grade 1",91
"2019-2020",01,"BROOKS COUNTY","Grade 2",121
"2019-2020",01,"BROOKS COUNTY","Grade 3",105
"2019-2020",01,"BROOKS COUNTY","Grade 4",97
"2019-2020",01,"BROOKS COUNTY","Grade 5",101
"2019-2020",01,"BROOKS COUNTY","Grade 6",127
"2019-2020",01,"BROOKS COUNTY","Grade 7",116
"2019-2020",01,"BROOKS COUNTY","Grade 8",111
"2019-2020",01,"BROOKS COUNTY","Grade 9",108
"2019-2020",01,"BROOKS COUNTY","Grade 10",108
"2019-2020",01,"BROOKS COUNTY","Grade 11",92
"2019-2020",01,"BROOKS COUNTY","Grade 12",84
"2019-2020",15,"BROWN COUNTY","Early Education",29
"2019-2020",15,"BROWN COUNTY","Pre-kindergarten",321
"2019-2020",15,"BROWN COUNTY","Kindergarten",439
"2019-2020",15,"BROWN COUNTY","Grade 1",457
"2019-2020",15,"BROWN COUNTY","Grade 2",444
"2019-2020",15,"BROWN COUNTY","Grade 3",435
"2019-2020",15,"BROWN COUNTY","Grade 4",475
"2019-2020",15,"BROWN COUNTY","Grade 5",465
"2019-2020",15,"BROWN COUNTY","Grade 6",510
"2019-2020",15,"BROWN COUNTY","Grade 7",500
"2019-2020",15,"BROWN COUNTY","Grade 8",455
"2019-2020",15,"BROWN COUNTY","Grade 9",568
"2019-2020",15,"BROWN COUNTY","Grade 10",436
"2019-2020",15,"BROWN COUNTY","Grade 11",435
"2019-2020",15,"BROWN COUNTY","Grade 12",417
"2019-2020",06,"BURLESON COUNTY","Early Education",6
"2019-2020",06,"BURLESON COUNTY","Pre-kindergarten",152
"2019-2020",06,"BURLESON COUNTY","Kindergarten",205
"2019-2020",06,"BURLESON COUNTY","Grade 1",212
"2019-2020",06,"BURLESON COUNTY","Grade 2",180
"2019-2020",06,"BURLESON COUNTY","Grade 3",193
"2019-2020",06,"BURLESON COUNTY","Grade 4",207
"2019-2020",06,"BURLESON COUNTY","Grade 5",214
"2019-2020",06,"BURLESON COUNTY","Grade 6",216
"2019-2020",06,"BURLESON COUNTY","Grade 7",222
"2019-2020",06,"BURLESON COUNTY","Grade 8",189
"2019-2020",06,"BURLESON COUNTY","Grade 9",227
"2019-2020",06,"BURLESON COUNTY","Grade 10",206
"2019-2020",06,"BURLESON COUNTY","Grade 11",174
"2019-2020",06,"BURLESON COUNTY","Grade 12",165
"2019-2020",13,"BURNET COUNTY","Early Education",39
"2019-2020",13,"BURNET COUNTY","Pre-kindergarten",419
"2019-2020",13,"BURNET COUNTY","Kindergarten",506
"2019-2020",13,"BURNET COUNTY","Grade 1",518
"2019-2020",13,"BURNET COUNTY","Grade 2",503
"2019-2020",13,"BURNET COUNTY","Grade 3",523
"2019-2020",13,"BURNET COUNTY","Grade 4",556
"2019-2020",13,"BURNET COUNTY","Grade 5",563
"2019-2020",13,"BURNET COUNTY","Grade 6",596
"2019-2020",13,"BURNET COUNTY","Grade 7",557
"2019-2020",13,"BURNET COUNTY","Grade 8",618
"2019-2020",13,"BURNET COUNTY","Grade 9",617
"2019-2020",13,"BURNET COUNTY","Grade 10",577
"2019-2020",13,"BURNET COUNTY","Grade 11",524
"2019-2020",13,"BURNET COUNTY","Grade 12",486
"2019-2020",13,"CALDWELL COUNTY","Early Education",33
"2019-2020",13,"CALDWELL COUNTY","Pre-kindergarten",414
"2019-2020",13,"CALDWELL COUNTY","Kindergarten",536
"2019-2020",13,"CALDWELL COUNTY","Grade 1",519
"2019-2020",13,"CALDWELL COUNTY","Grade 2",487
"2019-2020",13,"CALDWELL COUNTY","Grade 3",565
"2019-2020",13,"CALDWELL COUNTY","Grade 4",550
"2019-2020",13,"CALDWELL COUNTY","Grade 5",612
"2019-2020",13,"CALDWELL COUNTY","Grade 6",622
"2019-2020",13,"CALDWELL COUNTY","Grade 7",636
"2019-2020",13,"CALDWELL COUNTY","Grade 8",624
"2019-2020",13,"CALDWELL COUNTY","Grade 9",696
"2019-2020",13,"CALDWELL COUNTY","Grade 10",562
"2019-2020",13,"CALDWELL COUNTY","Grade 11",514
"2019-2020",13,"CALDWELL COUNTY","Grade 12",430
"2019-2020",03,"CALHOUN COUNTY","Early Education",12
"2019-2020",03,"CALHOUN COUNTY","Pre-kindergarten",196
"2019-2020",03,"CALHOUN COUNTY","Kindergarten",292
"2019-2020",03,"CALHOUN COUNTY","Grade 1",274
"2019-2020",03,"CALHOUN COUNTY","Grade 2",273
"2019-2020",03,"CALHOUN COUNTY","Grade 3",268
"2019-2020",03,"CALHOUN COUNTY","Grade 4",296
"2019-2020",03,"CALHOUN COUNTY","Grade 5",262
"2019-2020",03,"CALHOUN COUNTY","Grade 6",294
"2019-2020",03,"CALHOUN COUNTY","Grade 7",291
"2019-2020",03,"CALHOUN COUNTY","Grade 8",286
"2019-2020",03,"CALHOUN COUNTY","Grade 9",250
"2019-2020",03,"CALHOUN COUNTY","Grade 10",291
"2019-2020",03,"CALHOUN COUNTY","Grade 11",277
"2019-2020",03,"CALHOUN COUNTY","Grade 12",278
"2019-2020",14,"CALLAHAN COUNTY","Early Education",12
"2019-2020",14,"CALLAHAN COUNTY","Pre-kindergarten",122
"2019-2020",14,"CALLAHAN COUNTY","Kindergarten",169
"2019-2020",14,"CALLAHAN COUNTY","Grade 1",198
"2019-2020",14,"CALLAHAN COUNTY","Grade 2",184
"2019-2020",14,"CALLAHAN COUNTY","Grade 3",159
"2019-2020",14,"CALLAHAN COUNTY","Grade 4",186
"2019-2020",14,"CALLAHAN COUNTY","Grade 5",185
"2019-2020",14,"CALLAHAN COUNTY","Grade 6",200
"2019-2020",14,"CALLAHAN COUNTY","Grade 7",201
"2019-2020",14,"CALLAHAN COUNTY","Grade 8",198
"2019-2020",14,"CALLAHAN COUNTY","Grade 9",203
"2019-2020",14,"CALLAHAN COUNTY","Grade 10",163
"2019-2020",14,"CALLAHAN COUNTY","Grade 11",171
"2019-2020",14,"CALLAHAN COUNTY","Grade 12",173
"2019-2020",01,"CAMERON COUNTY","Early Education",201
"2019-2020",01,"CAMERON COUNTY","Pre-kindergarten",6531
