System ID, System Name, Total, Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
663,Glynn County,12818,546,1091,1047,976,974,993,970,925,944,956,1151,847,744,654
664,Gordon County,6782,384,548,482,501,494,479,471,498,529,549,486,512,455,394
665,Grady County,4651,251,435,381,385,358,361,333,330,314,332,363,316,232,260
666,Greene County,2284,167,203,171,188,169,175,189,188,164,146,168,150,108,98
726,Griffin-Spalding County,10626,495,898,889,848,856,837,778,764,796,791,854,701,619,500
667,Gwinnett County,169150,925,12583,12814,12960,12817,13290,12686,13154,13396,13246,15543,13835,11715,10186
668,Habersham County,6960,185,562,545,552,567,546,522,532,508,522,553,521,449,396
669,Hall County,26919,281,2089,2107,2060,2045,2087,2051,2162,2024,2162,2335,2325,1618,1573
670,Hancock County,996,60,65,66,86,72,60,57,80,89,60,80,81,67,73
671,Haralson County,3591,207,247,302,250,248,229,253,256,258,272,318,324,189,238
672,Harris County,5202,238,348,374,365,364,352,387,386,398,406,439,425,358,362
673,Hart County,3506,81,300,291,285,266,264,265,261,252,266,264,232,236,243
674,Heard County,2038,119,159,152,148,131,139,143,147,165,158,154,171,120,132
675,Henry County,40720,225,2759,2886,2795,3020,2948,3007,3203,3205,3349,3706,3512,3181,2924
676,Houston County,27948,1068,2213,2207,2107,2069,2065,1999,2163,2138,2155,2132,2024,1858,1750
677,Irwin County,1803,115,153,164,111,144,122,128,143,142,138,135,115,107,86
678,Jackson County,7304,226,533,568,577,589,538,564,574,561,565,584,554,458,413
679,Jasper County,2322,138,198,181,173,179,151,177,176,181,165,202,154,137,110
680,Jeff Davis County,3118,206,258,258,232,245,237,210,223,233,224,247,211,188,146
779,Jefferson City,3049,105,224,214,208,239,247,227,259,240,224,237,228,218,179
681,Jefferson County,2806,153,218,221,204,175,209,236,201,201,237,181,213,203,154
682,Jenkins County,1362,68,120,110,105,103,75,102,98,85,104,115,103,89,85
683,Johnson County,1147,40,84,89,87,78,73,93,92,89,91,79,89,79,84
684,Jones County,5485,239,399,418,382,429,413,390,416,431,404,461,414,342,347
685,Lamar County,2621,138,194,196,198,185,210,179,200,218,190,206,187,166,154
686,Lanier County,1820,137,202,155,142,131,159,126,118,134,129,118,100,92,77
687,Laurens County,6386,18,535,502,480,519,521,499,489,506,490,521,499,414,393
688,Lee County,6373,265,471,470,429,486,466,435,505,502,541,509,484,447,363
689,Liberty County,10210,458,844,816,700,745,749,720,654,871,834,875,705,629,610
690,Lincoln County,1199,69,88,96,86,78,79,76,82,102,96,101,85,79,82
691,Long County,3147,164,289,289,241,243,221,220,241,206,254,257,205,178,139
692,Lowndes County,10511,408,861,847,752,766,812,711,781,789,822,821,752,720,669
693,Lumpkin County,3794,23,314,327,307,290,292,279,279,318,312,338,258,239,218
694,Macon County,1645,104,121,113,103,99,113,98,118,143,150,145,140,109,89
695,Madison County,4779,129,368,370,351,348,340,380,372,378,369,402,349,316,307
781,Marietta City,8879,46,870,858,835,727,745,713,673,671,605,726,568,456,386
696,Marion County,1371,66,115,98,108,96,67,83,115,116,116,109,93,89,100
697,McDuffie County,4340,147,364,366,320,351,296,292,316,362,355,382,304,264,221
698,McIntosh County,1661,90,135,116,126,106,100,113,142,129,120,144,120,113,107
699,Meriwether County,3116,204,272,257,244,208,233,200,244,206,233,238,235,181,161
700,Miller County,1105,67,75,96,93,74,80,85,85,87,61,89,64,67,82
701,Mitchell County,2439,118,221,230,204,209,163,180,180,192,167,172,180,115,108
702,Monroe County,4025,205,282,283,292,307,244,308,289,304,321,374,321,277,218
