System ID, System Name, Total, Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
601,Appling County,3565,231,300,269,268,254,259,226,259,257,233,287,268,254,200
602,Atkinson County,1754,112,145,140,126,126,126,136,132,127,116,136,111,127,94
761,Atlanta Public Schools,49558,1098,4822,4698,4417,4289,3962,4094,3603,3471,3379,4395,2928,2346,2056
603,Bacon County,2026,103,164,173,152,147,144,147,166,164,146,146,160,98,116
604,Baker County,335,24,26,29,23,19,31,27,29,28,18,28,19,22,12
605,Baldwin County,5587,26,599,512,543,497,449,463,423,379,401,432,315,284,264
606,Banks County,2831,23,204,210,211,200,213,239,222,246,260,216,226,196,165
607,Barrow County,13031,380,1076,1090,1091,1018,970,981,983,936,922,1087,953,765,779
608,Bartow County,14203,434,1019,1114,1021,1068,1092,1071,1040,1128,1121,1319,1047,918,811
609,Ben Hill County,3292,176,396,285,247,231,246,230,225,246,260,242,193,153,162
610,Berrien County,3231,130,298,249,243,251,232,239,265,237,228,234,249,195,181
611,Bibb County,24508,795,2099,2040,2010,1936,1915,1890,1838,1765,1726,2385,1505,1294,1310
612,Bleckley County,2442,165,197,174,171,177,156,187,175,175,185,204,159,157,160
613,Brantley County,3553,218,273,284,242,269,250,268,248,282,262,283,268,216,190
763,Bremen City,2106,79,169,164,154,158,150,168,172,153,155,149,151,153,131
614,Brooks County,2279,97,207,188,174,183,180,146,175,174,158,165,156,162,114
615,Bryan County,8000,264,553,566,600,578,614,624,644,655,629,674,592,516,491
764,Buford City,3783,13,315,318,301,285,287,297,336,276,291,358,268,241,197
616,Bulloch County,9891,432,926,812,785,790,762,730,759,680,696,888,638,535,458
617,Burke County,4466,311,332,342,341,318,344,313,353,315,315,328,320,261,273
618,Butts County,3372,48,275,266,286,276,285,253,241,241,275,252,264,208,202
765,Calhoun City,3692,216,301,321,318,295,282,262,258,271,259,269,251,202,187
619,Calhoun County,656,28,63,55,57,45,52,48,53,48,39,57,38,33,40
620,Camden County,9259,269,806,766,701,698,680,677,687,660,630,714,688,681,602
621,Candler County,2159,159,175,159,187,169,185,150,141,144,149,177,135,112,117
622,Carroll County,14370,580,1170,1094,1003,1051,1088,1044,1134,1065,1093,1209,1075,941,823
766,Carrollton City,4856,103,398,404,367,370,392,379,369,366,329,394,368,298,319
767,Cartersville City,4193,146,325,335,292,359,354,341,305,334,303,322,266,262,249
623,Catoosa County,10936,237,841,771,805,813,813,807,805,892,839,889,823,852,749
624,Charlton County,1679,84,137,157,122,135,109,113,145,149,123,116,101,96,92
626,Chattahoochee County,925,41,50,38,37,41,45,44,45,58,47,155,119,121,84
627,Chattooga County,2860,107,257,222,188,203,181,230,212,227,226,248,203,190,166
628,Cherokee County,39270,504,3003,3114,3059,3119,3032,3059,3032,3132,3021,3566,2849,2514,2266
769,Chickamauga City,1407,5,96,97,100,87,108,107,107,114,131,131,110,108,106
773,City Schools of Decatur,3664,15,369,384,319,299,282,289,287,255,240,283,248,205,189
629,Clarke County,12682,814,1223,1109,996,1019,987,920,912,858,812,909,808,670,645
630,Clay County,344,35,48,33,42,28,29,30,33,35,31,0,0,0,0
631,Clayton County,51757,880,4255,4234,4229,4020,4027,3966,4145,3985,3981,4532,3646,3200,2657
632,Clinch County,1416,91,123,104,118,93,105,114,105,114,112,87,91,68,91
