"Year","Region","Grade Level Name","Gender Name","Gender Count"
"2016-2017",05,"Kindergarten","Female",2866
"2016-2017",05,"Kindergarten","Male",3080
"2016-2017",05,"Grade  1","Female",3107
"2016-2017",05,"Grade  1","Male",3328
"2016-2017",05,"Grade  2","Female",3152
"2016-2017",05,"Grade  2","Male",3326
"2016-2017",05,"Grade  3","Female",3152
"2016-2017",05,"Grade  3","Male",3285
"2016-2017",05,"Grade  4","Female",3005
"2016-2017",05,"Grade  4","Male",3262
"2016-2017",05,"Grade  5","Female",2973
"2016-2017",05,"Grade  5","Male",3111
"2016-2017",05,"Grade  6","Female",2927
"2016-2017",05,"Grade  6","Male",3075
"2016-2017",05,"Grade  7","Female",2858
"2016-2017",05,"Grade  7","Male",3046
"2016-2017",05,"Grade  8","Female",2824
"2016-2017",05,"Grade  8","Male",2968
"2016-2017",05,"Grade  9","Female",2985
"2016-2017",05,"Grade  9","Male",3290
"2016-2017",05,"Grade 10","Female",2753
"2016-2017",05,"Grade 10","Male",3058
"2016-2017",05,"Grade 11","Female",2693
"2016-2017",05,"Grade 11","Male",2798
"2016-2017",05,"Grade 12","Female",2570
"2016-2017",05,"Grade 12","Male",2632
"2016-2017",06,"Early Education","Female",316
"2016-2017",06,"Early Education","Male",570
"2016-2017",06,"Pre-kindergarten","Female",3204
"2016-2017",06,"Pre-kindergarten","Male",3230
"2016-2017",06,"Kindergarten","Female",6460
"2016-2017",06,"Kindergarten","Male",6942
"2016-2017",06,"Grade  1","Female",7110
"2016-2017",06,"Grade  1","Male",7478
"2016-2017",06,"Grade  2","Female",7184
"2016-2017",06,"Grade  2","Male",7749
"2016-2017",06,"Grade  3","Female",7321
"2016-2017",06,"Grade  3","Male",7707
"2016-2017",06,"Grade  4","Female",7267
"2016-2017",06,"Grade  4","Male",7646
"2016-2017",06,"Grade  5","Female",6985
"2016-2017",06,"Grade  5","Male",7466
"2016-2017",06,"Grade  6","Female",7058
"2016-2017",06,"Grade  6","Male",7442
"2016-2017",06,"Grade  7","Female",6992
"2016-2017",06,"Grade  7","Male",7437
"2016-2017",06,"Grade  8","Female",7160
"2016-2017",06,"Grade  8","Male",7327
"2016-2017",06,"Grade  9","Female",7392
"2016-2017",06,"Grade  9","Male",8038
"2016-2017",06,"Grade 10","Female",7194
"2016-2017",06,"Grade 10","Male",7567
"2016-2017",06,"Grade 11","Female",6653
"2016-2017",06,"Grade 11","Male",6774
"2016-2017",06,"Grade 12","Female",5984
"2016-2017",06,"Grade 12","Male",6046
"2016-2017",07,"Early Education","Female",145
"2016-2017",07,"Early Education","Male",344
"2016-2017",07,"Pre-kindergarten","Female",3760
"2016-2017",07,"Pre-kindergarten","Male",3836
"2016-2017",07,"Kindergarten","Female",5757
"2016-2017",07,"Kindergarten","Male",6365
"2016-2017",07,"Grade  1","Female",6193
"2016-2017",07,"Grade  1","Male",6588
"2016-2017",07,"Grade  2","Female",6247
"2016-2017",07,"Grade  2","Male",6590
"2016-2017",07,"Grade  3","Female",6362
"2016-2017",07,"Grade  3","Male",6548
"2016-2017",07,"Grade  4","Female",6423
"2016-2017",07,"Grade  4","Male",6783
"2016-2017",07,"Grade  5","Female",6107
"2016-2017",07,"Grade  5","Male",6518
"2016-2017",07,"Grade  6","Female",6133
"2016-2017",07,"Grade  6","Male",6666
"2016-2017",07,"Grade  7","Female",6027
"2016-2017",07,"Grade  7","Male",6418
"2016-2017",07,"Grade  8","Female",5945
"2016-2017",07,"Grade  8","Male",6444
"2016-2017",07,"Grade  9","Female",6367
"2016-2017",07,"Grade  9","Male",6878
"2016-2017",07,"Grade 10","Female",5956
"2016-2017",07,"Grade 10","Male",6390
"2016-2017",07,"Grade 11","Female",5672
"2016-2017",07,"Grade 11","Male",5899
"2016-2017",07,"Grade 12","Female",5255
"2016-2017",07,"Grade 12","Male",5266
"2016-2017",08,"Early Education","Female",93
"2016-2017",08,"Early Education","Male",179
"2016-2017",08,"Pre-kindergarten","Female",1874
"2016-2017",08,"Pre-kindergarten","Male",1877
"2016-2017",08,"Kindergarten","Female",2106
"2016-2017",08,"Kindergarten","Male",2339
"2016-2017",08,"Grade  1","Female",2202
"2016-2017",08,"Grade  1","Male",2306
"2016-2017",08,"Grade  2","Female",2252
"2016-2017",08,"Grade  2","Male",2341
"2016-2017",08,"Grade  3","Female",2299
"2016-2017",08,"Grade  3","Male",2427
"2016-2017",08,"Grade  4","Female",2296
"2016-2017",08,"Grade  4","Male",2314
"2016-2017",08,"Grade  5","Female",2129
"2016-2017",08,"Grade  5","Male",2323
"2016-2017",08,"Grade  6","Female",2215
"2016-2017",08,"Grade  6","Male",2218
"2016-2017",08,"Grade  7","Female",2147
"2016-2017",08,"Grade  7","Male",2283
"2016-2017",08,"Grade  8","Female",2131
"2016-2017",08,"Grade  8","Male",2194
"2016-2017",08,"Grade  9","Female",2192
"2016-2017",08,"Grade  9","Male",2441
"2016-2017",08,"Grade 10","Female",2091
"2016-2017",08,"Grade 10","Male",2302
"2016-2017",08,"Grade 11","Female",2007
"2016-2017",08,"Grade 11","Male",2089
"2016-2017",08,"Grade 12","Female",1941
"2016-2017",08,"Grade 12","Male",1977
"2016-2017",09,"Early Education","Female",54
"2016-2017",09,"Early Education","Male",122
"2016-2017",09,"Pre-kindergarten","Female",1042
"2016-2017",09,"Pre-kindergarten","Male",1045
"2016-2017",09,"Kindergarten","Female",1281
"2016-2017",09,"Kindergarten","Male",1371
"2016-2017",09,"Grade  1","Female",1319
"2016-2017",09,"Grade  1","Male",1514
"2016-2017",09,"Grade  2","Female",1429
"2016-2017",09,"Grade  2","Male",1441
"2016-2017",09,"Grade  3","Female",1423
"2016-2017",09,"Grade  3","Male",1506
"2016-2017",09,"Grade  4","Female",1369
