"Year","Region","Grade Level","Grade Level Name","Enrollment by Grade Level"
"2015-2016",01,01,"Early Education",1056
"2015-2016",01,02,"Pre-kindergarten",24263
"2015-2016",01,03,"Kindergarten",28775
"2015-2016",01,04,"Grade  1",32433
"2015-2016",01,05,"Grade  2",32291
"2015-2016",01,06,"Grade  3",31628
"2015-2016",01,07,"Grade  4",30754
"2015-2016",01,08,"Grade  5",30870
"2015-2016",01,09,"Grade  6",31544
"2015-2016",01,10,"Grade  7",31548
"2015-2016",01,11,"Grade  8",31576
"2015-2016",01,12,"Grade  9",36107
"2015-2016",01,13,"Grade 10",31152
"2015-2016",01,14,"Grade 11",27804
"2015-2016",01,15,"Grade 12",25870
"2015-2016",02,01,"Early Education",296
"2015-2016",02,02,"Pre-kindergarten",3829
"2015-2016",02,03,"Kindergarten",7067
"2015-2016",02,04,"Grade  1",7998
"2015-2016",02,05,"Grade  2",7909
"2015-2016",02,06,"Grade  3",7872
"2015-2016",02,07,"Grade  4",7748
"2015-2016",02,08,"Grade  5",7599
"2015-2016",02,09,"Grade  6",7509
"2015-2016",02,10,"Grade  7",7413
"2015-2016",02,11,"Grade  8",7710
"2015-2016",02,12,"Grade  9",8538
"2015-2016",02,13,"Grade 10",7514
"2015-2016",02,14,"Grade 11",6592
"2015-2016",02,15,"Grade 12",6164
"2015-2016",03,01,"Early Education",259
"2015-2016",03,02,"Pre-kindergarten",2307
"2015-2016",03,03,"Kindergarten",3932
"2015-2016",03,04,"Grade  1",4217
"2015-2016",03,05,"Grade  2",4293
"2015-2016",03,06,"Grade  3",4296
"2015-2016",03,07,"Grade  4",4042
"2015-2016",03,08,"Grade  5",3997
"2015-2016",03,09,"Grade  6",3896
"2015-2016",03,10,"Grade  7",4015
"2015-2016",03,11,"Grade  8",3990
"2015-2016",03,12,"Grade  9",4493
"2015-2016",03,13,"Grade 10",3961
"2015-2016",03,14,"Grade 11",3627
"2015-2016",03,15,"Grade 12",3164
"2015-2016",04,01,"Early Education",4934
"2015-2016",04,02,"Pre-kindergarten",51471
"2015-2016",04,03,"Kindergarten",85428
