"Year","Region","Grade Level","Grade Level Name","Enrollment by Grade Level"
"2015-2016",04,04,"Grade  1",94795
"2015-2016",04,05,"Grade  2",93531
"2015-2016",04,06,"Grade  3",93073
"2015-2016",04,07,"Grade  4",89274
"2015-2016",04,08,"Grade  5",87821
"2015-2016",04,09,"Grade  6",87537
"2015-2016",04,10,"Grade  7",87365
"2015-2016",04,11,"Grade  8",86270
"2015-2016",04,12,"Grade  9",96118
"2015-2016",04,13,"Grade 10",85633
"2015-2016",04,14,"Grade 11",78474
"2015-2016",04,15,"Grade 12",72375
"2015-2016",05,01,"Early Education",487
"2015-2016",05,02,"Pre-kindergarten",3733
"2015-2016",05,03,"Kindergarten",6129
"2015-2016",05,04,"Grade  1",6554
"2015-2016",05,05,"Grade  2",6407
"2015-2016",05,06,"Grade  3",6359
"2015-2016",05,07,"Grade  4",6105
"2015-2016",05,08,"Grade  5",5953
"2015-2016",05,09,"Grade  6",5909
"2015-2016",05,10,"Grade  7",5813
"2015-2016",05,11,"Grade  8",5854
"2015-2016",05,12,"Grade  9",6295
"2015-2016",05,13,"Grade 10",5914
"2015-2016",05,14,"Grade 11",5387
"2015-2016",05,15,"Grade 12",5126
"2015-2016",06,01,"Early Education",854
"2015-2016",06,02,"Pre-kindergarten",6351
"2015-2016",06,03,"Kindergarten",13624
"2015-2016",06,04,"Grade  1",14916
"2015-2016",06,05,"Grade  2",14803
"2015-2016",06,06,"Grade  3",14710
"2015-2016",06,07,"Grade  4",14144
"2015-2016",06,08,"Grade  5",14346
"2015-2016",06,09,"Grade  6",13954
"2015-2016",06,10,"Grade  7",14233
"2015-2016",06,11,"Grade  8",14107
"2015-2016",06,12,"Grade  9",15344
"2015-2016",06,13,"Grade 10",14436
"2015-2016",06,14,"Grade 11",12729
"2015-2016",06,15,"Grade 12",11606
"2015-2016",07,01,"Early Education",436
"2015-2016",07,02,"Pre-kindergarten",7694
"2015-2016",07,03,"Kindergarten",12573
"2015-2016",07,04,"Grade  1",13446
"2015-2016",07,05,"Grade  2",13277
"2015-2016",07,06,"Grade  3",13501
"2015-2016",07,07,"Grade  4",12878
"2015-2016",07,08,"Grade  5",12934
"2015-2016",07,09,"Grade  6",12615
"2015-2016",07,10,"Grade  7",12636
"2015-2016",07,11,"Grade  8",12666
"2015-2016",07,12,"Grade  9",13424
"2015-2016",07,13,"Grade 10",12470
"2015-2016",07,14,"Grade 11",11489
"2015-2016",07,15,"Grade 12",10605
"2015-2016",08,01,"Early Education",236
"2015-2016",08,02,"Pre-kindergarten",3656
"2015-2016",08,03,"Kindergarten",4493
"2015-2016",08,04,"Grade  1",4700
"2015-2016",08,05,"Grade  2",4781
"2015-2016",08,06,"Grade  3",4657
"2015-2016",08,07,"Grade  4",4417
"2015-2016",08,08,"Grade  5",4411
"2015-2016",08,09,"Grade  6",4422
"2015-2016",08,10,"Grade  7",4328
"2015-2016",08,11,"Grade  8",4413
"2015-2016",08,12,"Grade  9",4628
"2015-2016",08,13,"Grade 10",4280
"2015-2016",08,14,"Grade 11",4161
"2015-2016",08,15,"Grade 12",3774
"2015-2016",09,01,"Early Education",186
"2015-2016",09,02,"Pre-kindergarten",1981
"2015-2016",09,03,"Kindergarten",2786
"2015-2016",09,04,"Grade  1",2916
"2015-2016",09,05,"Grade  2",2927
"2015-2016",09,06,"Grade  3",2812
"2015-2016",09,07,"Grade  4",2798
"2015-2016",09,08,"Grade  5",2716
"2015-2016",09,09,"Grade  6",2822
"2015-2016",09,10,"Grade  7",2631
"2015-2016",09,11,"Grade  8",2761
"2015-2016",09,12,"Grade  9",2731
"2015-2016",09,13,"Grade 10",2662
"2015-2016",09,14,"Grade 11",2523
"2015-2016",09,15,"Grade 12",2410
"2015-2016",10,01,"Early Education",3556
"2015-2016",10,02,"Pre-kindergarten",30204
"2015-2016",10,03,"Kindergarten",58834
"2015-2016",10,04,"Grade  1",63440
"2015-2016",10,05,"Grade  2",64558
"2015-2016",10,06,"Grade  3",64508
"2015-2016",10,07,"Grade  4",62975
"2015-2016",10,08,"Grade  5",62153
"2015-2016",10,09,"Grade  6",61089
"2015-2016",10,10,"Grade  7",60754
"2015-2016",10,11,"Grade  8",60128
"2015-2016",10,12,"Grade  9",66427
"2015-2016",10,13,"Grade 10",60455
"2015-2016",10,14,"Grade 11",55051
"2015-2016",10,15,"Grade 12",49782
"2015-2016",11,01,"Early Education",2258
"2015-2016",11,02,"Pre-kindergarten",19764
"2015-2016",11,03,"Kindergarten",40095
"2015-2016",11,04,"Grade  1",43121
"2015-2016",11,05,"Grade  2",44080
"2015-2016",11,06,"Grade  3",44049
"2015-2016",11,07,"Grade  4",43624
"2015-2016",11,08,"Grade  5",43231
"2015-2016",11,09,"Grade  6",42832
"2015-2016",11,10,"Grade  7",42845
"2015-2016",11,11,"Grade  8",42338
"2015-2016",11,12,"Grade  9",48648
"2015-2016",11,13,"Grade 10",44378
"2015-2016",11,14,"Grade 11",40675
"2015-2016",11,15,"Grade 12",36972
"2015-2016",12,01,"Early Education",513
"2015-2016",12,02,"Pre-kindergarten",9028
"2015-2016",12,03,"Kindergarten",12691
"2015-2016",12,04,"Grade  1",13636
"2015-2016",12,05,"Grade  2",13478
"2015-2016",12,06,"Grade  3",13430
"2015-2016",12,07,"Grade  4",12864
"2015-2016",12,08,"Grade  5",12598
"2015-2016",12,09,"Grade  6",12316
"2015-2016",12,10,"Grade  7",12659
"2015-2016",12,11,"Grade  8",12325
"2015-2016",12,12,"Grade  9",13418
"2015-2016",12,13,"Grade 10",11838
"2015-2016",12,14,"Grade 11",10540
"2015-2016",12,15,"Grade 12",9802
"2015-2016",13,01,"Early Education",2032
"2015-2016",13,02,"Pre-kindergarten",13779
"2015-2016",13,03,"Kindergarten",29078
"2015-2016",13,04,"Grade  1",30798
"2015-2016",13,05,"Grade  2",31644
"2015-2016",13,06,"Grade  3",31296
"2015-2016",13,07,"Grade  4",30938
"2015-2016",13,08,"Grade  5",30618
"2015-2016",13,09,"Grade  6",30349
"2015-2016",13,10,"Grade  7",29854
"2015-2016",13,11,"Grade  8",29754
"2015-2016",13,12,"Grade  9",32256
"2015-2016",13,13,"Grade 10",29468
"2015-2016",13,14,"Grade 11",26815
"2015-2016",13,15,"Grade 12",25167
"2015-2016",14,01,"Early Education",401
"2015-2016",14,02,"Pre-kindergarten",2379
"2015-2016",14,03,"Kindergarten",4634
"2015-2016",14,04,"Grade  1",4742
"2015-2016",14,05,"Grade  2",4668
"2015-2016",14,06,"Grade  3",4793
"2015-2016",14,07,"Grade  4",4792
"2015-2016",14,08,"Grade  5",4719
"2015-2016",14,09,"Grade  6",4782
"2015-2016",14,10,"Grade  7",4700
"2015-2016",14,11,"Grade  8",4676
"2015-2016",14,12,"Grade  9",3871
"2015-2016",14,13,"Grade 10",3536
"2015-2016",14,14,"Grade 11",3175
"2015-2016",14,15,"Grade 12",2836
"2015-2016",15,01,"Early Education",709
"2015-2016",15,02,"Pre-kindergarten",1761
"2015-2016",15,03,"Kindergarten",3628
"2015-2016",15,04,"Grade  1",3991
"2015-2016",15,05,"Grade  2",4100
"2015-2016",15,06,"Grade  3",3855
"2015-2016",15,07,"Grade  4",3771
"2015-2016",15,08,"Grade  5",3825
"2015-2016",15,09,"Grade  6",3704
"2015-2016",15,10,"Grade  7",3652
"2015-2016",15,11,"Grade  8",3576
"2015-2016",15,12,"Grade  9",3702
"2015-2016",15,13,"Grade 10",3555
"2015-2016",15,14,"Grade 11",3454
"2015-2016",15,15,"Grade 12",3032
"2015-2016",16,01,"Early Education",381
"2015-2016",16,02,"Pre-kindergarten",4492
"2015-2016",16,03,"Kindergarten",6307
"2015-2016",16,04,"Grade  1",6712
"2015-2016",16,05,"Grade  2",6723
"2015-2016",16,06,"Grade  3",6667
"2015-2016",16,07,"Grade  4",6325
"2015-2016",16,08,"Grade  5",6450
"2015-2016",16,09,"Grade  6",6328
"2015-2016",16,10,"Grade  7",6316
"2015-2016",16,11,"Grade  8",6148
"2015-2016",16,12,"Grade  9",6575
"2015-2016",16,13,"Grade 10",5955
"2015-2016",16,14,"Grade 11",5692
"2015-2016",16,15,"Grade 12",5410
"2015-2016",17,01,"Early Education",410
"2015-2016",17,02,"Pre-kindergarten",4006
"2015-2016",17,03,"Kindergarten",6663
"2015-2016",17,04,"Grade  1",7044
"2015-2016",17,05,"Grade  2",6893
"2015-2016",17,06,"Grade  3",6980
"2015-2016",17,07,"Grade  4",6201
"2015-2016",17,08,"Grade  5",6273
"2015-2016",17,09,"Grade  6",6115
"2015-2016",17,10,"Grade  7",6192
"2015-2016",17,11,"Grade  8",5945
"2015-2016",17,12,"Grade  9",6299
"2015-2016",17,13,"Grade 10",5801
"2015-2016",17,14,"Grade 11",5266
"2015-2016",17,15,"Grade 12",4916
"2015-2016",18,01,"Early Education",281
"2015-2016",18,02,"Pre-kindergarten",3197
"2015-2016",18,03,"Kindergarten",6922
"2015-2016",18,04,"Grade  1",7402
"2015-2016",18,05,"Grade  2",7368
"2015-2016",18,06,"Grade  3",7259
"2015-2016",18,07,"Grade  4",6766
"2015-2016",18,08,"Grade  5",6752
"2015-2016",18,09,"Grade  6",6605
"2015-2016",18,10,"Grade  7",6629
"2015-2016",18,11,"Grade  8",6331
"2015-2016",18,12,"Grade  9",7149
"2015-2016",18,13,"Grade 10",5873
"2015-2016",18,14,"Grade 11",5304
"2015-2016",18,15,"Grade 12",4481
"2015-2016",19,01,"Early Education",906
"2015-2016",19,02,"Pre-kindergarten",7632
"2015-2016",19,03,"Kindergarten",11871
"2015-2016",19,04,"Grade  1",13015
"2015-2016",19,05,"Grade  2",13132
"2015-2016",19,06,"Grade  3",13244
"2015-2016",19,07,"Grade  4",13004
"2015-2016",19,08,"Grade  5",12873
"2015-2016",19,09,"Grade  6",13012
"2015-2016",19,10,"Grade  7",13018
"2015-2016",19,11,"Grade  8",12971
"2015-2016",19,12,"Grade  9",15478
"2015-2016",19,13,"Grade 10",13961
"2015-2016",19,14,"Grade 11",12902
"2015-2016",19,15,"Grade 12",12432
"2015-2016",20,01,"Early Education",1925
"2015-2016",20,02,"Pre-kindergarten",19804
"2015-2016",20,03,"Kindergarten",31283
"2015-2016",20,04,"Grade  1",34101
"2015-2016",20,05,"Grade  2",34423
"2015-2016",20,06,"Grade  3",34402
"2015-2016",20,07,"Grade  4",33636
"2015-2016",20,08,"Grade  5",33981
"2015-2016",20,09,"Grade  6",33182
"2015-2016",20,10,"Grade  7",32918
"2015-2016",20,11,"Grade  8",33023
"2015-2016",20,12,"Grade  9",37203
"2015-2016",20,13,"Grade 10",33692
"2015-2016",20,14,"Grade 11",30659
"2015-2016",20,15,"Grade 12",27554

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

