"Year","Region","County Name","District Name","District Number","Charter Status","Grade Level Name","Gender Name","Gender Count"
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Female",251
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Male",238
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Kindergarten","Female",142
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Kindergarten","Male",107
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  1","Female",127
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  1","Male",116
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  2","Female",138
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  2","Male",121
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  3","Female",126
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  3","Male",117
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  4","Female",122
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  4","Male",106
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  5","Female",74
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  5","Male",85
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  6","Female",83
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  6","Male",63
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  7","Female",73
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  7","Male",58
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  8","Female",70
"2016-2017",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  8","Male",61
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Female",20
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Pre-kindergarten","Male",25
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Kindergarten","Female",23
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Kindergarten","Male",37
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  1","Female",45
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  1","Male",23
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  2","Female",37
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  2","Male",38
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  3","Female",36
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  3","Male",39
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  4","Female",44
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  4","Male",31
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  5","Female",38
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  5","Male",37
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  6","Female",38
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  6","Male",37
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  7","Female",45
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  7","Male",56
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  8","Female",48
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  8","Male",52
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  9","Female",43
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  9","Male",56
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10","Female",50
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10","Male",30
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11","Female",37
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11","Male",36
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12","Female",31
"2016-2017",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12","Male",37
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  6","Female",20
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  6","Male",26
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  7","Female",14
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  7","Male",14
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  8","Female",7
"2016-2017",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  8","Male",13
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education","Female",0
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education","Male",-9999999
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",8
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",9
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Kindergarten","Female",11
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Kindergarten","Male",9
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  1","Female",9
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  1","Male",9
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  2","Female",8
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  2","Male",11
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  3","Female",5
"2016-2017",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  3","Male",7
