School Year,LEA TYPE,LEA Name,School Name,Total K-12,K,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Female,Male,American Indian,AfAm/Black,Asian,Hispanic,Multiple Race,Pacific Islander,White,Economically Disadvantaged,English Learner,Student With a Disability,Homeless,Preschool
2021,District,Alpine District,Alpine Online School,694,78,57,48,57,41,65,36,154,158,0,0,0,0,340,354,1,5,9,77,29,6,567,135,19,44,0,0
2021,District,Alpine District,Alpine School,640,61,97,94,74,112,97,105,0,0,0,0,0,0,312,328,0,1,14,30,35,2,558,40,8,55,0,26
2021,District,Alpine District,American Fork High,2449,0,0,0,0,0,0,0,0,0,7,824,810,808,1208,1240,3,18,19,204,83,24,2098,266,29,160,1,0
2021,District,Alpine District,American Fork Jr High,1955,0,0,0,0,0,0,0,616,667,672,0,0,0,947,1008,12,6,11,190,63,16,1657,283,66,195,9,0
2021,District,Alpine District,Aspen School,400,50,48,49,54,51,76,72,0,0,0,0,0,0,206,194,1,4,1,55,20,6,313,105,28,53,0,3
2021,District,Alpine District,Barratt School,516,51,72,73,67,86,82,85,0,0,0,0,0,0,231,285,2,2,4,45,22,3,438,100,20,50,1,35
2021,District,Alpine District,Belmont School,862,143,133,148,134,91,109,104,0,0,0,0,0,0,423,439,5,7,9,86,39,17,699,143,25,87,2,43
2021,District,Alpine District,Black Ridge School,1071,133,146,156,167,148,163,158,0,0,0,0,0,0,526,545,4,9,9,61,26,11,951,108,11,73,3,4
2021,District,Alpine District,Bonneville School,510,70,79,64,68,76,84,69,0,0,0,0,0,0,239,271,3,1,6,135,19,27,319,216,74,65,1,49
2021,District,Alpine District,Brookhaven School,782,120,130,118,113,99,97,105,0,0,0,0,0,0,381,401,0,4,5,80,40,6,647,98,17,87,0,39
2021,District,Alpine District,Canyon View Jr High,1207,0,0,0,0,0,0,0,420,402,385,0,0,0,538,669,7,16,14,321,46,23,780,344,141,123,4,0
2021,District,Alpine District,Cascade School,695,85,96,113,99,113,97,92,0,0,0,0,0,0,312,383,2,3,27,68,52,16,527,138,31,54,0,20
2021,District,Alpine District,Cedar Ridge School,702,86,87,103,90,116,110,110,0,0,0,0,0,0,359,343,3,0,7,32,27,3,630,63,5,67,0,25
2021,District,Alpine District,Cedar Valley High,2347,0,0,0,0,0,0,0,2,1,656,627,605,456,1148,1198,5,17,12,280,94,26,1913,388,47,214,14,0
2021,District,Alpine District,Cedar Valley School,89,13,10,19,14,12,12,9,0,0,0,0,0,0,39,50,0,0,0,7,2,0,80,14,4,11,0,0
2021,District,Alpine District,Centennial Elementary,727,114,98,83,97,106,111,118,0,0,0,0,0,0,322,405,4,10,7,151,35,14,506,226,78,121,0,32
2021,District,Alpine District,Central School,479,78,60,75,61,62,82,61,0,0,0,0,0,0,223,256,0,2,2,72,12,1,390,155,50,46,3,30
2021,District,Alpine District,Cherry Hill School,670,72,103,101,102,94,90,108,0,0,0,0,0,0,323,347,1,4,4,242,40,20,359,338,137,73,7,36
2021,District,Alpine District,Dan W. Peterson,222,3,3,5,8,5,6,3,4,5,8,9,11,152,87,135,2,4,5,29,11,4,167,68,12,222,1,23
2021,District,Alpine District,Deerfield School,579,60,72,80,83,85,85,114,0,0,0,0,0,0,281,298,1,6,5,29,24,4,510,43,4,35,0,59
2021,District,Alpine District,Dry Creek School,941,135,129,147,135,143,121,131,0,0,0,0,0,0,458,483,0,4,6,68,33,12,818,99,27,62,0,37
2021,District,Alpine District,Eagle Valley School,752,115,115,133,95,104,92,98,0,0,0,0,0,0,368,384,2,4,3,121,43,13,566,224,25,89,0,31
2021,District,Alpine District,Eaglecrest School,856,95,112,128,124,125,144,128,0,0,0,0,0,0,407,449,3,5,2,41,35,8,762,62,6,81,2,39
2021,District,Alpine District,Foothill School,563,69,72,79,93,85,72,93,0,0,0,0,0,0,253,310,3,2,13,49,14,7,475,88,23,76,0,28
2021,District,Alpine District,Forbes School,414,44,51,69,65,53,63,69,0,0,0,0,0,0,209,205,2,5,0,60,23,14,310,124,21,72,6,2
2021,District,Alpine District,Fox Hollow School,674,100,100,102,95,94,101,82,0,0,0,0,0,0,311,363,1,4,4,53,22,6,584,63,17,70,1,4
2021,District,Alpine District,Freedom School,816,103,91,111,117,113,127,154,0,0,0,0,0,0,386,430,3,6,5,28,13,4,757,69,3,71,2,30
2021,District,Alpine District,Frontier Middle School,1426,0,0,0,0,0,0,0,761,665,0,0,0,0,713,713,3,8,9,146,52,19,1189,288,25,157,2,0
2021,District,Alpine District,Geneva School,264,30,34,45,35,36,37,47,0,0,0,0,0,0,125,139,0,3,3,153,13,6,86,146,104,34,1,58
2021,District,Alpine District,Greenwood School,684,103,106,80,116,80,90,109,0,0,0,0,0,0,328,356,0,3,6,145,33,17,480,243,104,94,7,55
2021,District,Alpine District,Grovecrest School,656,77,86,88,85,101,99,120,0,0,0,0,0,0,335,321,1,5,2,36,33,3,576,109,7,79,0,2
2021,District,Alpine District,Harvest School,943,144,125,143,119,135,130,147,0,0,0,0,0,0,494,449,0,1,10,163,39,10,720,102,25,85,0,53
2021,District,Alpine District,Hidden Hollow School,997,149,142,134,136,132,151,153,0,0,0,0,0,0,515,482,5,4,1,104,52,17,814,209,21,91,2,38
2021,District,Alpine District,Highland School,725,67,76,94,113,120,130,125,0,0,0,0,0,0,318,407,0,3,19,15,36,5,647,70,5,86,2,0
2021,District,Alpine District,Horizon School,116,1,2,2,4,1,6,3,3,5,5,4,4,76,44,72,0,3,4,10,2,2,95,20,3,116,0,5
2021,District,Alpine District,Lake Mountain Middle,1341,0,0,0,0,0,0,0,445,449,447,0,0,0,656,685,4,11,5,131,76,14,1100,149,27,124,4,0
2021,District,Alpine District,Lakeridge Jr High,1197,0,0,0,0,0,0,0,427,418,352,0,0,0,596,601,4,16,11,317,51,27,771,372,135,112,5,0
2021,District,Alpine District,Legacy School,751,95,112,114,119,95,95,121,0,0,0,0,0,0,361,390,1,4,2,61,33,2,648,79,7,53,0,67
2021,District,Alpine District,Lehi High,1756,0,0,0,0,0,0,0,0,0,34,647,560,515,905,850,6,10,12,161,50,13,1504,141,25,118,0,0
2021,District,Alpine District,Lehi Jr High,1362,0,0,0,0,0,0,0,690,672,0,0,0,0,667,695,3,8,13,104,55,23,1156,130,33,113,0,0
2021,District,Alpine District,Lehi School,551,92,65,68,76,80,76,94,0,0,0,0,0,0,253,298,2,5,2,69,19,7,447,112,41,48,0,23
2021,District,Alpine District,Liberty Hills Elementary,532,89,93,77,70,71,64,68,0,0,0,0,0,0,252,280,0,2,16,67,31,9,407,69,14,51,0,41
2021,District,Alpine District,Lindon School,615,85,86,75,79,93,95,102,0,0,0,0,0,0,280,335,0,5,3,54,31,6,516,95,33,64,1,25
2021,District,Alpine District,Lone Peak High,2559,0,0,0,0,0,0,0,0,0,59,819,845,836,1278,1281,1,14,24,135,115,17,2253,107,10,133,0,0
2021,District,Alpine District,Manila School,603,58,70,88,87,99,103,98,0,0,0,0,0,0,297,306,3,2,0,57,16,4,521,49,8,41,2,1
2021,District,Alpine District,Meadow School,705,87,94,79,126,106,98,115,0,0,0,0,0,0,326,379,3,1,3,40,17,12,629,72,3,67,0,7
2021,District,Alpine District,Mount Mahogany School,682,98,100,102,84,98,87,113,0,0,0,0,0,0,330,352,2,3,6,170,31,7,463,297,88,90,2,37
2021,District,Alpine District,Mountain Ridge Jr High,1160,0,0,0,0,0,0,0,371,383,406,0,0,0,594,566,2,6,13,62,50,12,1015,88,8,84,2,0
2021,District,Alpine District,Mountain Trails School,832,125,157,114,120,110,110,96,0,0,0,0,0,0,407,425,4,0,5,74,31,1,717,231,24,78,4,49
2021,District,Alpine District,Mountain View High,1397,0,0,0,0,0,0,0,0,0,20,465,464,448,672,725,7,14,19,487,52,31,787,385,168,132,7,0
2021,District,Alpine District,North Point School,701,104,98,105,104,91,95,104,0,0,0,0,0,0,345,356,2,5,6,81,29,6,572,92,27,56,4,23
2021,District,Alpine District,Northridge School,622,72,79,86,90,109,94,92,0,0,0,0,0,0,291,331,0,4,3,48,23,3,541,93,21,97,0,6
2021,District,Alpine District,Oak Canyon Jr High,1366,0,0,0,0,0,0,0,443,474,449,0,0,0,650,716,5,8,11,144,46,10,1142,168,54,149,0,0
2021,District,Alpine District,Orchard School,659,79,105,102,88,90,99,96,0,0,0,0,0,0,322,337,2,4,8,162,31,10,442,125,58,55,0,35
2021,District,Alpine District,Orem High,1290,0,0,0,0,0,0,0,0,0,45,407,428,410,635,655,6,6,14,261,59,55,889,241,57,79,4,0
2021,District,Alpine District,Orem Jr High,1030,0,0,0,0,0,0,0,330,395,305,0,0,0,515,515,6,5,15,359,41,36,568,382,189,121,7,0
2021,District,Alpine District,Orem School,638,88,97,80,81,90,96,106,0,0,0,0,0,0,296,342,3,4,6,129,27,7,462,179,65,83,0,46
2021,District,Alpine District,Pleasant Grove High,2274,0,0,0,0,0,0,0,0,0,57,762,716,739,1117,1157,4,23,12,245,77,20,1893,275,57,180,1,0
2021,District,Alpine District,Pleasant Grove Jr High,1355,0,0,0,0,0,0,0,421,478,456,0,0,0,678,677,1,17,6,189,41,6,1095,266,63,136,2,0
2021,District,Alpine District,Polaris High School,113,0,0,0,0,0,0,0,0,0,0,9,43,61,56,57,1,0,0,36,4,3,69,44,17,32,2,0
2021,District,Alpine District,Polaris West High,123,0,0,0,0,0,0,0,0,0,0,2,36,85,47,76,0,3,0,22,8,2,88,33,5,28,1,0
2021,District,Alpine District,Pony Express School,915,164,125,131,127,138,113,117,0,0,0,0,0,0,462,453,6,6,3,76,57,22,745,202,10,106,2,62
2021,District,Alpine District,Ridgeline School,906,124,108,114,153,128,128,151,0,0,0,0,0,0,458,448,1,3,10,53,39,8,792,53,6,94,0,39
2021,District,Alpine District,River Rock School,929,145,148,132,136,135,136,97,0,0,0,0,0,0,451,477,0,6,4,39,46,0,834,48,3,90,0,40
2021,District,Alpine District,Riverview School,934,129,119,151,135,139,135,126,0,0,0,0,0,0,450,484,4,6,10,106,43,21,744,123,40,94,0,18
2021,District,Alpine District,Rocky Mountain School,584,64,83,87,90,92,85,83,0,0,0,0,0,0,276,308,0,7,2,112,20,5,438,106,54,68,0,35
2021,District,Alpine District,Sage Hills School,1033,131,155,129,150,159,145,164,0,0,0,0,0,0,498,535,0,10,6,94,39,26,858,125,13,101,0,30
2021,District,Alpine District,Saratoga Shores School,825,90,99,99,127,116,147,147,0,0,0,0,0,0,390,435,1,5,8,23,44,10,734,73,7,89,1,37
2021,District,Alpine District,Sego Lily School,665,79,87,74,88,96,111,130,0,0,0,0,0,0,324,341,0,2,5,39,19,8,592,77,13,62,0,48
2021,District,Alpine District,Sharon School,353,52,50,52,58,30,47,64,0,0,0,0,0,0,161,192,4,1,6,214,9,5,114,201,157,65,1,35
2021,District,Alpine District,Shelley School,833,113,108,113,122,121,129,127,0,0,0,0,0,0,420,413,1,4,5,54,22,5,742,99,13,92,2,1
2021,District,Alpine District,Silver Lake Elementary,601,106,94,103,82,85,70,61,0,0,0,0,0,0,297,304,6,4,2,84,21,11,473,81,13,48,2,38
2021,District,Alpine District,Skyridge High School,3014,0,0,0,0,0,0,0,0,6,764,787,745,712,1471,1540,12,24,33,253,112,69,2511,266,43,187,4,0
2021,District,Alpine District,Snow Springs School,812,139,115,113,87,124,109,125,0,0,0,0,0,0,399,413,2,2,17,62,16,9,704,98,10,112,3,43
2021,District,Alpine District,Springside School,871,136,144,120,118,131,119,103,0,0,0,0,0,0,427,444,3,1,5,59,41,3,759,108,11,56,2,19
2021,District,Alpine District,Summit High,57,0,0,0,0,0,0,0,0,3,5,8,19,22,22,35,0,4,0,12,4,1,36,43,1,20,1,0
2021,District,Alpine District,Suncrest School,339,49,52,45,46,45,53,49,0,0,0,0,0,0,165,174,0,2,3,199,7,6,122,229,140,34,6,49
2021,District,Alpine District,Thunder Ridge School,715,99,111,103,111,93,97,101,0,0,0,0,0,0,323,392,1,5,5,67,30,8,599,94,16,109,2,38
2021,District,Alpine District,Timberline Middle,1438,0,0,0,0,0,0,0,457,503,478,0,0,0,741,697,1,9,23,55,62,7,1281,69,9,102,1,0
2021,District,Alpine District,Timpanogos High,1422,0,0,0,0,0,0,0,0,0,48,427,475,472,672,750,13,12,17,336,45,8,991,307,110,117,3,0
2021,District,Alpine District,Traverse Mountain School,678,75,91,96,102,91,126,97,0,0,0,0,0,0,335,343,4,4,12,37,19,12,590,47,10,79,0,80
2021,District,Alpine District,Valley View School,402,54,58,50,58,64,54,64,0,0,0,0,0,0,202,200,1,1,2,20,4,8,366,70,6,43,1,22
2021,District,Alpine District,Vineyard School,1230,211,194,187,167,168,159,144,0,0,0,0,0,0,595,635,7,2,14,235,63,34,875,272,115,117,0,52
2021,District,Alpine District,Vista Heights Middle,1308,0,0,0,0,0,0,0,468,448,392,0,0,0,641,666,2,13,6,138,57,14,1078,167,33,128,1,0
2021,District,Alpine District,Westfield School,568,42,53,88,68,94,98,125,0,0,0,0,0,0,283,285,2,9,0,33,16,0,508,26,3,67,3,29
2021,District,Alpine District,Westlake High,2357,0,0,0,0,0,0,0,0,0,1,807,807,742,1182,1175,9,32,16,215,118,20,1947,227,41,200,5,0
2021,District,Alpine District,Westmore School,421,68,58,68,50,64,52,61,0,0,0,0,0,0,209,212,0,7,3,149,17,11,234,202,86,49,1,55
2021,District,Alpine District,Willowcreek Middle,2093,0,0,0,0,0,0,0,744,665,684,0,0,0,1016,1076,6,14,10,178,79,24,1782,219,35,170,5,0
2021,District,Alpine District,Windsor School,532,82,86,86,81,72,73,52,0,0,0,0,0,0,255,277,3,2,1,265,10,2,249,228,147,48,11,46
2021,District,Beaver District,Beaver High,488,0,0,0,0,0,0,0,80,60,87,86,82,93,223,265,0,0,1,76,6,0,405,142,18,72,1,0
