"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","GRADE","ENROLLMENT"
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Kindergarten",72
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 1",56
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 2",51
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 3",52
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 4",59
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 5",55
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 6",51
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 7",62
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 8",63
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 9",69
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 10",58
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 11",63
"2019-2020",17,"HALE COUNTY",095901,"ABERNATHY ISD","TRADITIONAL ISD/CSD","Grade 12",68
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Early Education",203
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",807
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Kindergarten",1238
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 1",1304
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 2",1222
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 3",1209
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 4",1207
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 5",1192
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 6",1255
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 7",1203
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 8",1238
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 9",1397
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 10",1150
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 11",1006
"2019-2020",14,"TAYLOR COUNTY",221901,"ABILENE ISD","TRADITIONAL ISD/CSD","Grade 12",981
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","OPEN ENROLLMENT CHARTER","Grade 6","<10"
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","OPEN ENROLLMENT CHARTER","Grade 7",33
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","OPEN ENROLLMENT CHARTER","Grade 8",65
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","OPEN ENROLLMENT CHARTER","Grade 9",259
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","OPEN ENROLLMENT CHARTER","Grade 10",94
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","OPEN ENROLLMENT CHARTER","Grade 11",25
"2019-2020",10,"DALLAS COUNTY",057814,"ACADEMY FOR ACADEMIC EXCELLENCE","OPEN ENROLLMENT CHARTER","Grade 12","<10"
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<50"
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Kindergarten",139
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 1",141
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 2",136
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 3",127
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 4",121
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 5",148
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 6",143
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 7",131
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 8",134
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 9",122
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 10",108
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 11",114
"2019-2020",12,"BELL COUNTY",014901,"ACADEMY ISD","TRADITIONAL ISD/CSD","Grade 12",111
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","OPEN ENROLLMENT CHARTER","Pre-kindergarten",132
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","OPEN ENROLLMENT CHARTER","Kindergarten",123
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","OPEN ENROLLMENT CHARTER","Grade 1",110
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","OPEN ENROLLMENT CHARTER","Grade 2",99
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","OPEN ENROLLMENT CHARTER","Grade 3",100
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","OPEN ENROLLMENT CHARTER","Grade 4",86
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","OPEN ENROLLMENT CHARTER","Grade 5",92
"2019-2020",04,"HARRIS COUNTY",101810,"ACADEMY OF ACCELERATED LEARNING IN","OPEN ENROLLMENT CHARTER","Grade 6",45
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Pre-kindergarten",162
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Kindergarten",41
"2019-2020",10,"DALLAS COUNTY",057810,"ACADEMY OF DALLAS","OPEN ENROLLMENT CHARTER","Grade 1",37
