"YEAR","REGION","COUNTY NAME","DISTRICT","DISTRICT NAME","CHARTER STATUS","GRADE","ENROLLMENT"
"2019-2020",04,"FORT BEND COUNTY",079907,"FORT BEND ISD","TRADITIONAL ISD/CSD","Grade 11",6154
"2019-2020",04,"FORT BEND COUNTY",079907,"FORT BEND ISD","TRADITIONAL ISD/CSD","Grade 12",5752
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<10"
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Kindergarten",11
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 1",11
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 2",11
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 3",12
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 4",10
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 5",12
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 6",11
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 7","<10"
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 8","<10"
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 9","<10"
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 10",10
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 11",11
"2019-2020",16,"WHEELER COUNTY",242906,"FORT ELLIOTT CISD","TRADITIONAL ISD/CSD","Grade 12",13
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Early Education",17
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",17
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Kindergarten",186
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 1",178
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 2",180
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 3",181
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 4",173
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 5",227
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 6",212
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 7",215
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 8",165
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 9",223
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 10",193
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 11",157
"2019-2020",18,"PECOS COUNTY",186902,"FORT STOCKTON ISD","TRADITIONAL ISD/CSD","Grade 12",140
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 3",39
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 4",56
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 5",57
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 6",56
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 7",63
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 8",61
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 9",39
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 10",57
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 11",45
"2019-2020",11,"TARRANT COUNTY",220809,"FORT WORTH ACADEMY OF FINE ARTS","OPEN ENROLLMENT CHARTER","Grade 12",51
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Early Education",296
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",5430
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Kindergarten",5895
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 1",5916
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 2",5879
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 3",6047
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 4",6347
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 5",6588
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 6",5948
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 7",6152
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 8",6041
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 9",6979
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 10",5516
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 11",5084
"2019-2020",11,"TARRANT COUNTY",220905,"FORT WORTH ISD","TRADITIONAL ISD/CSD","Grade 12",4773
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",78
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Kindergarten",91
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 1",84
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 2",81
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 3",80
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 4",101
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 5",87
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 6",106
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 7",109
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 8",85
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 9",94
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 10",94
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 11",88
"2019-2020",06,"ROBERTSON COUNTY",198903,"FRANKLIN ISD","TRADITIONAL ISD/CSD","Grade 12","<70"
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<30"
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Kindergarten",71
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 1",58
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 2",39
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 3",55
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 4",57
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 5",78
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 6",58
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 7",60
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 8",58
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 9",71
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 10",56
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 11",47
"2019-2020",07,"ANDERSON COUNTY",001904,"FRANKSTON ISD","TRADITIONAL ISD/CSD","Grade 12",54
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<160"
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Kindergarten",216
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 1",200
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 2",210
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 3",233
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 4",221
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 5",239
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 6",230
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 7",236
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 8",220
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 9",283
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 10",252
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 11",238
"2019-2020",13,"GILLESPIE COUNTY",086901,"FREDERICKSBURG ISD","TRADITIONAL ISD/CSD","Grade 12",240
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",66
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Kindergarten",53
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 1",50
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 2",54
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 3",62
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 4",54
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 5",75
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 6","<40"
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 7",59
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 8",57
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 9",63
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 10",69
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 11",53
"2019-2020",02,"DUVAL COUNTY",066903,"FREER ISD","TRADITIONAL ISD/CSD","Grade 12",37
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Early Education",49
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",334
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Kindergarten",756
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 1",751
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 2",774
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 3",733
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 4",807
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 5",761
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 6",895
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 7",874
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 8",764
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 9",758
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 10",702
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 11",660
"2019-2020",17,"LUBBOCK COUNTY",152907,"FRENSHIP ISD","TRADITIONAL ISD/CSD","Grade 12",651
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Early Education",35
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",23
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Kindergarten",442
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 1",417
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 2",449
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 3",430
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 4",442
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 5",433
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 6",495
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 7",503
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 8",466
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 9",519
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 10",521
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 11",525
"2019-2020",04,"GALVESTON COUNTY",084911,"FRIENDSWOOD ISD","TRADITIONAL ISD/CSD","Grade 12",527
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Early Education","<10"
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",72
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Kindergarten",96
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 1",88
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 2",88
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 3",84
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 4",76
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 5",85
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 6",86
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 7",72
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 8",75
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 9",83
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 10",76
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 11","<70"
"2019-2020",16,"PARMER COUNTY",185903,"FRIONA ISD","TRADITIONAL ISD/CSD","Grade 12",87
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Early Education",406
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",453
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Kindergarten",3976
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 1",4294
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 2",4517
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 3",4580
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 4",4773
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 5",4890
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 6",5134
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 7",5159
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 8",5087
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 9",5171
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 10",5194
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 11",4626
"2019-2020",10,"COLLIN COUNTY",043905,"FRISCO ISD","TRADITIONAL ISD/CSD","Grade 12",4445
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",20
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Kindergarten",37
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 1",17
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 2",31
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 3",24
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 4",38
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 5",30
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 6",40
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 7",40
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 8",34
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 9",29
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 10",38
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 11",29
"2019-2020",12,"NAVARRO COUNTY",175905,"FROST ISD","TRADITIONAL ISD/CSD","Grade 12",23
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",35
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Kindergarten",29
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 1",28
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 2",31
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 3",33
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 4",27
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 5",39
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 6",35
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 7",35
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 8",34
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 9",30
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 10",27
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 11",24
"2019-2020",07,"VAN ZANDT COUNTY",234909,"FRUITVALE ISD","TRADITIONAL ISD/CSD","Grade 12",22
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Pre-kindergarten","<10"
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Kindergarten",10
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 1","<10"
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 2",11
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 3",22
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 4",13
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 5",15
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 6",20
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 7",17
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 8",22
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 9",19
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 10",24
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 11",14
"2019-2020",18,"JEFF DAVIS COUNTY",122901,"FT DAVIS ISD","TRADITIONAL ISD/CSD","Grade 12",20
"2019-2020",19,"HUDSPETH COUNTY",115901,"FT HANCOCK ISD","TRADITIONAL ISD/CSD","Pre-kindergarten",19
"2019-2020",19,"HUDSPETH COUNTY",115901,"FT HANCOCK ISD","TRADITIONAL ISD/CSD","Kindergarten",27
"2019-2020",19,"HUDSPETH COUNTY",115901,"FT HANCOCK ISD","TRADITIONAL ISD/CSD","Grade 1",32
"2019-2020",19,"HUDSPETH COUNTY",115901,"FT HANCOCK ISD","TRADITIONAL ISD/CSD","Grade 2",27
"2019-2020",19,"HUDSPETH COUNTY",115901,"FT HANCOCK ISD","TRADITIONAL ISD/CSD","Grade 3",29
