T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","GENDER","ENROLLMENT"
"2018-2019","FEMALE",2647524
"2018-2019","MALE",2784386

