"Year","Region","Gender","Gender Name","Enrollment by Gender"
"2015-2016",01,"F","Female",208891
"2015-2016",01,"M","Male",218780
"2015-2016",02,"F","Female",49230
"2015-2016",02,"M","Male",52528
"2015-2016",03,"F","Female",26346
"2015-2016",03,"M","Male",28143
"2015-2016",04,"F","Female",581681
"2015-2016",04,"M","Male",612418
"2015-2016",05,"F","Female",39745
"2015-2016",05,"M","Male",42280
"2015-2016",06,"F","Female",92554
"2015-2016",06,"M","Male",97603
"2015-2016",07,"F","Female",83707
"2015-2016",07,"M","Male",88937
"2015-2016",08,"F","Female",29875
"2015-2016",08,"M","Male",31482
"2015-2016",09,"F","Female",18244
"2015-2016",09,"M","Male",19418
"2015-2016",10,"F","Female",402570
"2015-2016",10,"M","Male",421344
"2015-2016",11,"F","Female",281545
"2015-2016",11,"M","Male",297365
"2015-2016",12,"F","Female",83101
"2015-2016",12,"M","Male",88035
"2015-2016",13,"F","Female",196114
"2015-2016",13,"M","Male",207732
"2015-2016",14,"F","Female",28832
"2015-2016",14,"M","Male",29872
"2015-2016",15,"F","Female",24449
"2015-2016",15,"M","Male",25866
"2015-2016",16,"F","Female",42117
"2015-2016",16,"M","Male",44364
"2015-2016",17,"F","Female",41505
"2015-2016",17,"M","Male",43499
"2015-2016",18,"F","Female",42858
"2015-2016",18,"M","Male",45461
"2015-2016",19,"F","Female",87617
"2015-2016",19,"M","Male",91834
"2015-2016",20,"F","Female",220011
"2015-2016",20,"M","Male",231775

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

