"Year","Region","County Name","District Name","District Number","Charter Status","Grade Level Name","Gender Name","Gender Count"
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  8","Male",58
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  9","Female",56
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  9","Male",47
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10","Female",43
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10","Male",50
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11","Female",49
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11","Male",27
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12","Female",35
"2017-2018",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12","Male",35
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  6","Female",26
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  6","Male",37
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  7","Female",18
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  7","Male",40
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  8","Female",17
"2017-2018",04,"HARRIS COUNTY","A+ UNLIMITED POTENTIAL",101871,"OPEN ENROLLMENT CHARTER","Grade  8","Male",17
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education","Female",0
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education","Male",-9999999
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",7
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",10
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Kindergarten","Female",8
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Kindergarten","Male",10
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  1","Female",10
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  1","Male",10
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  2","Female",11
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  2","Male",10
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  3","Female",7
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  3","Male",12
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  4","Female",5
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  4","Male",7
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  5","Female",6
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  5","Male",15
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  6","Female",10
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  6","Male",8
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  7","Female",13
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  7","Male",9
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  8","Female",17
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  8","Male",11
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  9","Female",12
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  9","Male",7
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 10","Female",17
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 10","Male",10
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 11","Female",12
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 11","Male",14
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 12","Female",10
"2017-2018",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 12","Male",11
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Early Education","Female",-9999999
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Early Education","Male",-9999999
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",19
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",20
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Kindergarten","Female",27
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Kindergarten","Male",22
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  1","Female",23
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  1","Male",22
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  2","Female",25
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  2","Male",32
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  3","Female",25
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  3","Male",26
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  4","Female",28
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  4","Male",20
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  5","Female",27
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  5","Male",36
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  6","Female",30
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  6","Male",33
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  7","Female",26
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  7","Male",35
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  8","Female",31
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  8","Male",28
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  9","Female",25
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  9","Male",34
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 10","Female",34
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 10","Male",32
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 11","Female",29
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 11","Male",34
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 12","Female",23
"2017-2018",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 12","Male",19
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Early Education","Female",94
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Early Education","Male",102
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",394
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",431
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Kindergarten","Female",643
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Kindergarten","Male",626
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  1","Female",626
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  1","Male",679
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  2","Female",623
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  2","Male",623
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  3","Female",612
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  3","Male",627
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  4","Female",600
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  4","Male",692
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  5","Female",622
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  5","Male",695
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  6","Female",595
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  6","Male",647
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  7","Female",608
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  7","Male",629
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  8","Female",603
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  8","Male",627
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  9","Female",643
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  9","Male",681
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 10","Female",571
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 10","Male",562
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 11","Female",546
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 11","Male",490
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 12","Female",468
"2017-2018",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 12","Male",483
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  5","Female",0
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  5","Male",-9999999
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  6","Female",5
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  6","Male",8
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  7","Female",8
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  7","Male",40
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  8","Female",12
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  8","Male",64
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  9","Female",45
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  9","Male",213
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 10","Female",19
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 10","Male",68
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 11","Female",10
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 11","Male",17
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 12","Female",-9999999
"2017-2018",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 12","Male",6
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Early Education","Female",-9999999
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Early Education","Male",-9999999
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Female",21
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Pre-kindergarten","Male",16
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Kindergarten","Female",59
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Kindergarten","Male",57
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  1","Female",52
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  1","Male",63
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  2","Female",56
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  2","Male",55
"2017-2018",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  3","Female",68
