"Year","Region","County Name","Grade Level Name","Enrollment by Grade Level"
"2015-2016",07,"ANDERSON COUNTY","Early Education",20
"2015-2016",07,"ANDERSON COUNTY","Pre-kindergarten",393
"2015-2016",07,"ANDERSON COUNTY","Kindergarten",609
"2015-2016",07,"ANDERSON COUNTY","Grade  1",685
"2015-2016",07,"ANDERSON COUNTY","Grade  2",647
"2015-2016",07,"ANDERSON COUNTY","Grade  3",632
"2015-2016",07,"ANDERSON COUNTY","Grade  4",610
"2015-2016",07,"ANDERSON COUNTY","Grade  5",617
"2015-2016",07,"ANDERSON COUNTY","Grade  6",636
"2015-2016",07,"ANDERSON COUNTY","Grade  7",613
"2015-2016",07,"ANDERSON COUNTY","Grade  8",620
"2015-2016",07,"ANDERSON COUNTY","Grade  9",669
"2015-2016",07,"ANDERSON COUNTY","Grade 10",611
"2015-2016",07,"ANDERSON COUNTY","Grade 11",588
"2015-2016",07,"ANDERSON COUNTY","Grade 12",499
"2015-2016",18,"ANDREWS COUNTY","Early Education",12
"2015-2016",18,"ANDREWS COUNTY","Pre-kindergarten",132
"2015-2016",18,"ANDREWS COUNTY","Kindergarten",296
"2015-2016",18,"ANDREWS COUNTY","Grade  1",324
"2015-2016",18,"ANDREWS COUNTY","Grade  2",297
"2015-2016",18,"ANDREWS COUNTY","Grade  3",344
"2015-2016",18,"ANDREWS COUNTY","Grade  4",291
"2015-2016",18,"ANDREWS COUNTY","Grade  5",310
"2015-2016",18,"ANDREWS COUNTY","Grade  6",318
"2015-2016",18,"ANDREWS COUNTY","Grade  7",324
"2015-2016",18,"ANDREWS COUNTY","Grade  8",279
"2015-2016",18,"ANDREWS COUNTY","Grade  9",305
"2015-2016",18,"ANDREWS COUNTY","Grade 10",255
"2015-2016",18,"ANDREWS COUNTY","Grade 11",261
"2015-2016",18,"ANDREWS COUNTY","Grade 12",228
"2015-2016",07,"ANGELINA COUNTY","Early Education",37
"2015-2016",07,"ANGELINA COUNTY","Pre-kindergarten",1087
"2015-2016",07,"ANGELINA COUNTY","Kindergarten",1219
"2015-2016",07,"ANGELINA COUNTY","Grade  1",1341
"2015-2016",07,"ANGELINA COUNTY","Grade  2",1339
"2015-2016",07,"ANGELINA COUNTY","Grade  3",1379
"2015-2016",07,"ANGELINA COUNTY","Grade  4",1293
"2015-2016",07,"ANGELINA COUNTY","Grade  5",1236
"2015-2016",07,"ANGELINA COUNTY","Grade  6",1323
"2015-2016",07,"ANGELINA COUNTY","Grade  7",1179
"2015-2016",07,"ANGELINA COUNTY","Grade  8",1271
"2015-2016",07,"ANGELINA COUNTY","Grade  9",1326
"2015-2016",07,"ANGELINA COUNTY","Grade 10",1280
"2015-2016",07,"ANGELINA COUNTY","Grade 11",1215
"2015-2016",07,"ANGELINA COUNTY","Grade 12",1081
"2015-2016",02,"ARANSAS COUNTY","Early Education",11
"2015-2016",02,"ARANSAS COUNTY","Pre-kindergarten",88
"2015-2016",02,"ARANSAS COUNTY","Kindergarten",257
"2015-2016",02,"ARANSAS COUNTY","Grade  1",248
"2015-2016",02,"ARANSAS COUNTY","Grade  2",259
"2015-2016",02,"ARANSAS COUNTY","Grade  3",247
"2015-2016",02,"ARANSAS COUNTY","Grade  4",268
"2015-2016",02,"ARANSAS COUNTY","Grade  5",258
"2015-2016",02,"ARANSAS COUNTY","Grade  6",289
"2015-2016",02,"ARANSAS COUNTY","Grade  7",224
"2015-2016",02,"ARANSAS COUNTY","Grade  8",256
"2015-2016",02,"ARANSAS COUNTY","Grade  9",277
"2015-2016",02,"ARANSAS COUNTY","Grade 10",291
"2015-2016",02,"ARANSAS COUNTY","Grade 11",226
"2015-2016",02,"ARANSAS COUNTY","Grade 12",206
"2015-2016",09,"ARCHER COUNTY","Early Education",8
"2015-2016",09,"ARCHER COUNTY","Pre-kindergarten",43
"2015-2016",09,"ARCHER COUNTY","Kindergarten",124
"2015-2016",09,"ARCHER COUNTY","Grade  1",117
"2015-2016",09,"ARCHER COUNTY","Grade  2",134
"2015-2016",09,"ARCHER COUNTY","Grade  3",124
"2015-2016",09,"ARCHER COUNTY","Grade  4",129
"2015-2016",09,"ARCHER COUNTY","Grade  5",139
"2015-2016",09,"ARCHER COUNTY","Grade  6",146
"2015-2016",09,"ARCHER COUNTY","Grade  7",143
"2015-2016",09,"ARCHER COUNTY","Grade  8",146
"2015-2016",09,"ARCHER COUNTY","Grade  9",147
"2015-2016",09,"ARCHER COUNTY","Grade 10",150
"2015-2016",09,"ARCHER COUNTY","Grade 11",163
"2015-2016",09,"ARCHER COUNTY","Grade 12",138
"2015-2016",16,"ARMSTRONG COUNTY","Early Education",-9999999
"2015-2016",16,"ARMSTRONG COUNTY","Pre-kindergarten",15
"2015-2016",16,"ARMSTRONG COUNTY","Kindergarten",27
"2015-2016",16,"ARMSTRONG COUNTY","Grade  1",20
"2015-2016",16,"ARMSTRONG COUNTY","Grade  2",24
"2015-2016",16,"ARMSTRONG COUNTY","Grade  3",25
"2015-2016",16,"ARMSTRONG COUNTY","Grade  4",25
"2015-2016",16,"ARMSTRONG COUNTY","Grade  5",28
"2015-2016",16,"ARMSTRONG COUNTY","Grade  6",23
"2015-2016",16,"ARMSTRONG COUNTY","Grade  7",30
"2015-2016",16,"ARMSTRONG COUNTY","Grade  8",25
"2015-2016",16,"ARMSTRONG COUNTY","Grade  9",30
"2015-2016",16,"ARMSTRONG COUNTY","Grade 10",21
"2015-2016",16,"ARMSTRONG COUNTY","Grade 11",31
"2015-2016",16,"ARMSTRONG COUNTY","Grade 12",28
"2015-2016",20,"ATASCOSA COUNTY","Early Education",25
"2015-2016",20,"ATASCOSA COUNTY","Pre-kindergarten",398
"2015-2016",20,"ATASCOSA COUNTY","Kindergarten",640
"2015-2016",20,"ATASCOSA COUNTY","Grade  1",717
"2015-2016",20,"ATASCOSA COUNTY","Grade  2",671
"2015-2016",20,"ATASCOSA COUNTY","Grade  3",718
"2015-2016",20,"ATASCOSA COUNTY","Grade  4",653
"2015-2016",20,"ATASCOSA COUNTY","Grade  5",668
"2015-2016",20,"ATASCOSA COUNTY","Grade  6",686
"2015-2016",20,"ATASCOSA COUNTY","Grade  7",640
"2015-2016",20,"ATASCOSA COUNTY","Grade  8",682
"2015-2016",20,"ATASCOSA COUNTY","Grade  9",746
"2015-2016",20,"ATASCOSA COUNTY","Grade 10",642
"2015-2016",20,"ATASCOSA COUNTY","Grade 11",589
"2015-2016",20,"ATASCOSA COUNTY","Grade 12",606
"2015-2016",06,"AUSTIN COUNTY","Early Education",23
