"Year","Region","County Name","Grade Level Name","Enrollment by Grade Level"
"2015-2016",06,"AUSTIN COUNTY","Pre-kindergarten",173
"2015-2016",06,"AUSTIN COUNTY","Kindergarten",416
"2015-2016",06,"AUSTIN COUNTY","Grade  1",432
"2015-2016",06,"AUSTIN COUNTY","Grade  2",469
"2015-2016",06,"AUSTIN COUNTY","Grade  3",430
"2015-2016",06,"AUSTIN COUNTY","Grade  4",401
"2015-2016",06,"AUSTIN COUNTY","Grade  5",427
"2015-2016",06,"AUSTIN COUNTY","Grade  6",424
"2015-2016",06,"AUSTIN COUNTY","Grade  7",466
"2015-2016",06,"AUSTIN COUNTY","Grade  8",450
"2015-2016",06,"AUSTIN COUNTY","Grade  9",475
"2015-2016",06,"AUSTIN COUNTY","Grade 10",480
"2015-2016",06,"AUSTIN COUNTY","Grade 11",416
"2015-2016",06,"AUSTIN COUNTY","Grade 12",389
"2015-2016",17,"BAILEY COUNTY","Early Education",11
"2015-2016",17,"BAILEY COUNTY","Pre-kindergarten",94
"2015-2016",17,"BAILEY COUNTY","Kindergarten",110
"2015-2016",17,"BAILEY COUNTY","Grade  1",124
"2015-2016",17,"BAILEY COUNTY","Grade  2",114
"2015-2016",17,"BAILEY COUNTY","Grade  3",118
"2015-2016",17,"BAILEY COUNTY","Grade  4",110
"2015-2016",17,"BAILEY COUNTY","Grade  5",118
"2015-2016",17,"BAILEY COUNTY","Grade  6",108
"2015-2016",17,"BAILEY COUNTY","Grade  7",93
"2015-2016",17,"BAILEY COUNTY","Grade  8",92
"2015-2016",17,"BAILEY COUNTY","Grade  9",108
"2015-2016",17,"BAILEY COUNTY","Grade 10",104
"2015-2016",17,"BAILEY COUNTY","Grade 11",84
"2015-2016",17,"BAILEY COUNTY","Grade 12",80
"2015-2016",20,"BANDERA COUNTY","Early Education",17
"2015-2016",20,"BANDERA COUNTY","Pre-kindergarten",118
"2015-2016",20,"BANDERA COUNTY","Kindergarten",151
"2015-2016",20,"BANDERA COUNTY","Grade  1",184
"2015-2016",20,"BANDERA COUNTY","Grade  2",185
"2015-2016",20,"BANDERA COUNTY","Grade  3",182
"2015-2016",20,"BANDERA COUNTY","Grade  4",175
"2015-2016",20,"BANDERA COUNTY","Grade  5",194
"2015-2016",20,"BANDERA COUNTY","Grade  6",170
"2015-2016",20,"BANDERA COUNTY","Grade  7",173
"2015-2016",20,"BANDERA COUNTY","Grade  8",186
"2015-2016",20,"BANDERA COUNTY","Grade  9",217
"2015-2016",20,"BANDERA COUNTY","Grade 10",194
"2015-2016",20,"BANDERA COUNTY","Grade 11",169
"2015-2016",20,"BANDERA COUNTY","Grade 12",187
"2015-2016",13,"BASTROP COUNTY","Early Education",79
"2015-2016",13,"BASTROP COUNTY","Pre-kindergarten",702
"2015-2016",13,"BASTROP COUNTY","Kindergarten",1048
"2015-2016",13,"BASTROP COUNTY","Grade  1",1220
"2015-2016",13,"BASTROP COUNTY","Grade  2",1237
"2015-2016",13,"BASTROP COUNTY","Grade  3",1276
"2015-2016",13,"BASTROP COUNTY","Grade  4",1260
"2015-2016",13,"BASTROP COUNTY","Grade  5",1212
"2015-2016",13,"BASTROP COUNTY","Grade  6",1222
"2015-2016",13,"BASTROP COUNTY","Grade  7",1246
"2015-2016",13,"BASTROP COUNTY","Grade  8",1256
"2015-2016",13,"BASTROP COUNTY","Grade  9",1402
"2015-2016",13,"BASTROP COUNTY","Grade 10",1271
"2015-2016",13,"BASTROP COUNTY","Grade 11",1096
"2015-2016",13,"BASTROP COUNTY","Grade 12",1081
"2015-2016",09,"BAYLOR COUNTY","Early Education",-9999999
"2015-2016",09,"BAYLOR COUNTY","Pre-kindergarten",15
"2015-2016",09,"BAYLOR COUNTY","Kindergarten",51
"2015-2016",09,"BAYLOR COUNTY","Grade  1",47
"2015-2016",09,"BAYLOR COUNTY","Grade  2",39
"2015-2016",09,"BAYLOR COUNTY","Grade  3",36
"2015-2016",09,"BAYLOR COUNTY","Grade  4",52
"2015-2016",09,"BAYLOR COUNTY","Grade  5",54
"2015-2016",09,"BAYLOR COUNTY","Grade  6",44
"2015-2016",09,"BAYLOR COUNTY","Grade  7",44
"2015-2016",09,"BAYLOR COUNTY","Grade  8",44
"2015-2016",09,"BAYLOR COUNTY","Grade  9",42
"2015-2016",09,"BAYLOR COUNTY","Grade 10",37
"2015-2016",09,"BAYLOR COUNTY","Grade 11",49
"2015-2016",09,"BAYLOR COUNTY","Grade 12",39
"2015-2016",02,"BEE COUNTY","Early Education",29
"2015-2016",02,"BEE COUNTY","Pre-kindergarten",390
"2015-2016",02,"BEE COUNTY","Kindergarten",388
"2015-2016",02,"BEE COUNTY","Grade  1",433
"2015-2016",02,"BEE COUNTY","Grade  2",443
"2015-2016",02,"BEE COUNTY","Grade  3",422
"2015-2016",02,"BEE COUNTY","Grade  4",407
"2015-2016",02,"BEE COUNTY","Grade  5",390
"2015-2016",02,"BEE COUNTY","Grade  6",357
"2015-2016",02,"BEE COUNTY","Grade  7",387
"2015-2016",02,"BEE COUNTY","Grade  8",385
"2015-2016",02,"BEE COUNTY","Grade  9",447
"2015-2016",02,"BEE COUNTY","Grade 10",382
"2015-2016",02,"BEE COUNTY","Grade 11",330
"2015-2016",02,"BEE COUNTY","Grade 12",277
"2015-2016",12,"BELL COUNTY/12","Early Education",234
"2015-2016",12,"BELL COUNTY/12","Pre-kindergarten",4647
"2015-2016",12,"BELL COUNTY/12","Kindergarten",5527
"2015-2016",12,"BELL COUNTY/12","Grade  1",5925
"2015-2016",12,"BELL COUNTY/12","Grade  2",5819
"2015-2016",12,"BELL COUNTY/12","Grade  3",5673
"2015-2016",12,"BELL COUNTY/12","Grade  4",5379
"2015-2016",12,"BELL COUNTY/12","Grade  5",5155
"2015-2016",12,"BELL COUNTY/12","Grade  6",4899
"2015-2016",12,"BELL COUNTY/12","Grade  7",5036
"2015-2016",12,"BELL COUNTY/12","Grade  8",4950
"2015-2016",12,"BELL COUNTY/12","Grade  9",5459
"2015-2016",12,"BELL COUNTY/12","Grade 10",4685
"2015-2016",12,"BELL COUNTY/12","Grade 11",4076
"2015-2016",12,"BELL COUNTY/12","Grade 12",3824
"2015-2016",13,"BELL COUNTY/13","Pre-kindergarten",22
"2015-2016",13,"BELL COUNTY/13","Kindergarten",28
"2015-2016",13,"BELL COUNTY/13","Grade  1",30
"2015-2016",13,"BELL COUNTY/13","Grade  2",23
"2015-2016",13,"BELL COUNTY/13","Grade  3",42
"2015-2016",13,"BELL COUNTY/13","Grade  4",22
"2015-2016",13,"BELL COUNTY/13","Grade  5",24
"2015-2016",13,"BELL COUNTY/13","Grade  6",24
"2015-2016",13,"BELL COUNTY/13","Grade  7",28
"2015-2016",13,"BELL COUNTY/13","Grade  8",20
"2015-2016",13,"BELL COUNTY/13","Grade  9",26
"2015-2016",13,"BELL COUNTY/13","Grade 10",26
"2015-2016",13,"BELL COUNTY/13","Grade 11",29
"2015-2016",13,"BELL COUNTY/13","Grade 12",25
"2015-2016",20,"BELL COUNTY/20","Grade  9",483
"2015-2016",20,"BELL COUNTY/20","Grade 10",577
"2015-2016",20,"BELL COUNTY/20","Grade 11",479
"2015-2016",20,"BELL COUNTY/20","Grade 12",494
"2015-2016","AL","BELL COUNTY/ALL","Early Education",234
"2015-2016","AL","BELL COUNTY/ALL","Pre-kindergarten",4669
"2015-2016","AL","BELL COUNTY/ALL","Kindergarten",5555
"2015-2016","AL","BELL COUNTY/ALL","Grade  1",5955
"2015-2016","AL","BELL COUNTY/ALL","Grade  2",5842
"2015-2016","AL","BELL COUNTY/ALL","Grade  3",5715
"2015-2016","AL","BELL COUNTY/ALL","Grade  4",5401
"2015-2016","AL","BELL COUNTY/ALL","Grade  5",5179
"2015-2016","AL","BELL COUNTY/ALL","Grade  6",4923
"2015-2016","AL","BELL COUNTY/ALL","Grade  7",5064
"2015-2016","AL","BELL COUNTY/ALL","Grade  8",4970
"2015-2016","AL","BELL COUNTY/ALL","Grade  9",5968
"2015-2016","AL","BELL COUNTY/ALL","Grade 10",5288
"2015-2016","AL","BELL COUNTY/ALL","Grade 11",4584
"2015-2016","AL","BELL COUNTY/ALL","Grade 12",4343
"2015-2016",20,"BEXAR COUNTY","Early Education",1470
"2015-2016",20,"BEXAR COUNTY","Pre-kindergarten",16474
"2015-2016",20,"BEXAR COUNTY","Kindergarten",24837
"2015-2016",20,"BEXAR COUNTY","Grade  1",27043
"2015-2016",20,"BEXAR COUNTY","Grade  2",27346
"2015-2016",20,"BEXAR COUNTY","Grade  3",27323
"2015-2016",20,"BEXAR COUNTY","Grade  4",26647
"2015-2016",20,"BEXAR COUNTY","Grade  5",26768
"2015-2016",20,"BEXAR COUNTY","Grade  6",26011
"2015-2016",20,"BEXAR COUNTY","Grade  7",25850
"2015-2016",20,"BEXAR COUNTY","Grade  8",25655
"2015-2016",20,"BEXAR COUNTY","Grade  9",28446
"2015-2016",20,"BEXAR COUNTY","Grade 10",25721
"2015-2016",20,"BEXAR COUNTY","Grade 11",23221
"2015-2016",20,"BEXAR COUNTY","Grade 12",20809
"2015-2016",13,"BLANCO COUNTY","Early Education",9
"2015-2016",13,"BLANCO COUNTY","Pre-kindergarten",27
"2015-2016",13,"BLANCO COUNTY","Kindergarten",102
"2015-2016",13,"BLANCO COUNTY","Grade  1",113
"2015-2016",13,"BLANCO COUNTY","Grade  2",121
"2015-2016",13,"BLANCO COUNTY","Grade  3",136
"2015-2016",13,"BLANCO COUNTY","Grade  4",121
"2015-2016",13,"BLANCO COUNTY","Grade  5",144
"2015-2016",13,"BLANCO COUNTY","Grade  6",138
"2015-2016",13,"BLANCO COUNTY","Grade  7",115
"2015-2016",13,"BLANCO COUNTY","Grade  8",139
"2015-2016",13,"BLANCO COUNTY","Grade  9",130
"2015-2016",13,"BLANCO COUNTY","Grade 10",141
"2015-2016",13,"BLANCO COUNTY","Grade 11",135
"2015-2016",13,"BLANCO COUNTY","Grade 12",121
"2015-2016",17,"BORDEN COUNTY","Kindergarten",17
"2015-2016",17,"BORDEN COUNTY","Grade  1",17
"2015-2016",17,"BORDEN COUNTY","Grade  2",18
"2015-2016",17,"BORDEN COUNTY","Grade  3",19
"2015-2016",17,"BORDEN COUNTY","Grade  4",21
"2015-2016",17,"BORDEN COUNTY","Grade  5",14
"2015-2016",17,"BORDEN COUNTY","Grade  6",15
"2015-2016",17,"BORDEN COUNTY","Grade  7",26
"2015-2016",17,"BORDEN COUNTY","Grade  8",22
"2015-2016",17,"BORDEN COUNTY","Grade  9",21
"2015-2016",17,"BORDEN COUNTY","Grade 10",19
"2015-2016",17,"BORDEN COUNTY","Grade 11",17
"2015-2016",17,"BORDEN COUNTY","Grade 12",17
"2015-2016",12,"BOSQUE COUNTY","Early Education",6
"2015-2016",12,"BOSQUE COUNTY","Pre-kindergarten",117
"2015-2016",12,"BOSQUE COUNTY","Kindergarten",208
"2015-2016",12,"BOSQUE COUNTY","Grade  1",201
"2015-2016",12,"BOSQUE COUNTY","Grade  2",222
"2015-2016",12,"BOSQUE COUNTY","Grade  3",219
"2015-2016",12,"BOSQUE COUNTY","Grade  4",192
"2015-2016",12,"BOSQUE COUNTY","Grade  5",222
"2015-2016",12,"BOSQUE COUNTY","Grade  6",191
"2015-2016",12,"BOSQUE COUNTY","Grade  7",197
"2015-2016",12,"BOSQUE COUNTY","Grade  8",238
"2015-2016",12,"BOSQUE COUNTY","Grade  9",208
"2015-2016",12,"BOSQUE COUNTY","Grade 10",237
"2015-2016",12,"BOSQUE COUNTY","Grade 11",226
"2015-2016",12,"BOSQUE COUNTY","Grade 12",188
"2015-2016",08,"BOWIE COUNTY","Early Education",53
"2015-2016",08,"BOWIE COUNTY","Pre-kindergarten",1154
"2015-2016",08,"BOWIE COUNTY","Kindergarten",1288
"2015-2016",08,"BOWIE COUNTY","Grade  1",1383
"2015-2016",08,"BOWIE COUNTY","Grade  2",1294
"2015-2016",08,"BOWIE COUNTY","Grade  3",1386
"2015-2016",08,"BOWIE COUNTY","Grade  4",1247
"2015-2016",08,"BOWIE COUNTY","Grade  5",1266
"2015-2016",08,"BOWIE COUNTY","Grade  6",1256
"2015-2016",08,"BOWIE COUNTY","Grade  7",1266
"2015-2016",08,"BOWIE COUNTY","Grade  8",1281
"2015-2016",08,"BOWIE COUNTY","Grade  9",1353
"2015-2016",08,"BOWIE COUNTY","Grade 10",1239
"2015-2016",08,"BOWIE COUNTY","Grade 11",1230
"2015-2016",08,"BOWIE COUNTY","Grade 12",1098
"2015-2016",04,"BRAZORIA COUNTY","Early Education",292
"2015-2016",04,"BRAZORIA COUNTY","Pre-kindergarten",1871
"2015-2016",04,"BRAZORIA COUNTY","Kindergarten",5011
"2015-2016",04,"BRAZORIA COUNTY","Grade  1",5179
"2015-2016",04,"BRAZORIA COUNTY","Grade  2",5318
"2015-2016",04,"BRAZORIA COUNTY","Grade  3",5142
"2015-2016",04,"BRAZORIA COUNTY","Grade  4",5196
"2015-2016",04,"BRAZORIA COUNTY","Grade  5",5099
"2015-2016",04,"BRAZORIA COUNTY","Grade  6",5130
"2015-2016",04,"BRAZORIA COUNTY","Grade  7",5196
"2015-2016",04,"BRAZORIA COUNTY","Grade  8",5180
"2015-2016",04,"BRAZORIA COUNTY","Grade  9",5629
"2015-2016",04,"BRAZORIA COUNTY","Grade 10",5276
"2015-2016",04,"BRAZORIA COUNTY","Grade 11",4737
"2015-2016",04,"BRAZORIA COUNTY","Grade 12",4241
"2015-2016",06,"BRAZOS COUNTY","Early Education",222
"2015-2016",06,"BRAZOS COUNTY","Pre-kindergarten",981
"2015-2016",06,"BRAZOS COUNTY","Kindergarten",2466
"2015-2016",06,"BRAZOS COUNTY","Grade  1",2571
"2015-2016",06,"BRAZOS COUNTY","Grade  2",2567
"2015-2016",06,"BRAZOS COUNTY","Grade  3",2462
"2015-2016",06,"BRAZOS COUNTY","Grade  4",2282
"2015-2016",06,"BRAZOS COUNTY","Grade  5",2340
"2015-2016",06,"BRAZOS COUNTY","Grade  6",2088
"2015-2016",06,"BRAZOS COUNTY","Grade  7",2128
"2015-2016",06,"BRAZOS COUNTY","Grade  8",1986
"2015-2016",06,"BRAZOS COUNTY","Grade  9",2379
"2015-2016",06,"BRAZOS COUNTY","Grade 10",2167
"2015-2016",06,"BRAZOS COUNTY","Grade 11",1909
"2015-2016",06,"BRAZOS COUNTY","Grade 12",1601
"2015-2016",18,"BREWSTER COUNTY","Early Education",-9999999
"2015-2016",18,"BREWSTER COUNTY","Pre-kindergarten",51
"2015-2016",18,"BREWSTER COUNTY","Kindergarten",101
"2015-2016",18,"BREWSTER COUNTY","Grade  1",84
"2015-2016",18,"BREWSTER COUNTY","Grade  2",90
"2015-2016",18,"BREWSTER COUNTY","Grade  3",88
"2015-2016",18,"BREWSTER COUNTY","Grade  4",117
"2015-2016",18,"BREWSTER COUNTY","Grade  5",86
"2015-2016",18,"BREWSTER COUNTY","Grade  6",101
"2015-2016",18,"BREWSTER COUNTY","Grade  7",105
"2015-2016",18,"BREWSTER COUNTY","Grade  8",83
"2015-2016",18,"BREWSTER COUNTY","Grade  9",97
"2015-2016",18,"BREWSTER COUNTY","Grade 10",95
"2015-2016",18,"BREWSTER COUNTY","Grade 11",78
"2015-2016",18,"BREWSTER COUNTY","Grade 12",75
"2015-2016",16,"BRISCOE COUNTY","Pre-kindergarten",19
"2015-2016",16,"BRISCOE COUNTY","Kindergarten",12
"2015-2016",16,"BRISCOE COUNTY","Grade  1",11
"2015-2016",16,"BRISCOE COUNTY","Grade  2",15
"2015-2016",16,"BRISCOE COUNTY","Grade  3",13
"2015-2016",16,"BRISCOE COUNTY","Grade  4",18
"2015-2016",16,"BRISCOE COUNTY","Grade  5",10
"2015-2016",16,"BRISCOE COUNTY","Grade  6",8
"2015-2016",16,"BRISCOE COUNTY","Grade  7",15
"2015-2016",16,"BRISCOE COUNTY","Grade  8",9
"2015-2016",16,"BRISCOE COUNTY","Grade  9",19
"2015-2016",16,"BRISCOE COUNTY","Grade 10",13
"2015-2016",16,"BRISCOE COUNTY","Grade 11",13
"2015-2016",16,"BRISCOE COUNTY","Grade 12",12
"2015-2016",02,"BROOKS COUNTY","Early Education",7
"2015-2016",02,"BROOKS COUNTY","Pre-kindergarten",74
"2015-2016",02,"BROOKS COUNTY","Kindergarten",107
"2015-2016",02,"BROOKS COUNTY","Grade  1",110
"2015-2016",02,"BROOKS COUNTY","Grade  2",138
"2015-2016",02,"BROOKS COUNTY","Grade  3",123
"2015-2016",02,"BROOKS COUNTY","Grade  4",129
"2015-2016",02,"BROOKS COUNTY","Grade  5",105
"2015-2016",02,"BROOKS COUNTY","Grade  6",114
"2015-2016",02,"BROOKS COUNTY","Grade  7",106
"2015-2016",02,"BROOKS COUNTY","Grade  8",107
"2015-2016",02,"BROOKS COUNTY","Grade  9",124
"2015-2016",02,"BROOKS COUNTY","Grade 10",99
"2015-2016",02,"BROOKS COUNTY","Grade 11",100
"2015-2016",02,"BROOKS COUNTY","Grade 12",99
"2015-2016",15,"BROWN COUNTY","Early Education",33
"2015-2016",15,"BROWN COUNTY","Pre-kindergarten",328
"2015-2016",15,"BROWN COUNTY","Kindergarten",476
"2015-2016",15,"BROWN COUNTY","Grade  1",490
"2015-2016",15,"BROWN COUNTY","Grade  2",519
"2015-2016",15,"BROWN COUNTY","Grade  3",499
"2015-2016",15,"BROWN COUNTY","Grade  4",484
"2015-2016",15,"BROWN COUNTY","Grade  5",502
"2015-2016",15,"BROWN COUNTY","Grade  6",519
"2015-2016",15,"BROWN COUNTY","Grade  7",497
"2015-2016",15,"BROWN COUNTY","Grade  8",517
"2015-2016",15,"BROWN COUNTY","Grade  9",551
"2015-2016",15,"BROWN COUNTY","Grade 10",508
"2015-2016",15,"BROWN COUNTY","Grade 11",449
"2015-2016",15,"BROWN COUNTY","Grade 12",405
"2015-2016",06,"BURLESON COUNTY","Early Education",-9999999
"2015-2016",06,"BURLESON COUNTY","Pre-kindergarten",133
"2015-2016",06,"BURLESON COUNTY","Kindergarten",176
"2015-2016",06,"BURLESON COUNTY","Grade  1",212
"2015-2016",06,"BURLESON COUNTY","Grade  2",221
"2015-2016",06,"BURLESON COUNTY","Grade  3",211
"2015-2016",06,"BURLESON COUNTY","Grade  4",191
"2015-2016",06,"BURLESON COUNTY","Grade  5",215
"2015-2016",06,"BURLESON COUNTY","Grade  6",196
"2015-2016",06,"BURLESON COUNTY","Grade  7",190
"2015-2016",06,"BURLESON COUNTY","Grade  8",177
"2015-2016",06,"BURLESON COUNTY","Grade  9",226
"2015-2016",06,"BURLESON COUNTY","Grade 10",225
"2015-2016",06,"BURLESON COUNTY","Grade 11",198
"2015-2016",06,"BURLESON COUNTY","Grade 12",171
"2015-2016",13,"BURNET COUNTY","Early Education",32
"2015-2016",13,"BURNET COUNTY","Pre-kindergarten",244
"2015-2016",13,"BURNET COUNTY","Kindergarten",476
"2015-2016",13,"BURNET COUNTY","Grade  1",541
"2015-2016",13,"BURNET COUNTY","Grade  2",565
"2015-2016",13,"BURNET COUNTY","Grade  3",528
"2015-2016",13,"BURNET COUNTY","Grade  4",572
"2015-2016",13,"BURNET COUNTY","Grade  5",552
"2015-2016",13,"BURNET COUNTY","Grade  6",524
"2015-2016",13,"BURNET COUNTY","Grade  7",517
"2015-2016",13,"BURNET COUNTY","Grade  8",574
"2015-2016",13,"BURNET COUNTY","Grade  9",598
"2015-2016",13,"BURNET COUNTY","Grade 10",562
"2015-2016",13,"BURNET COUNTY","Grade 11",521
"2015-2016",13,"BURNET COUNTY","Grade 12",508
"2015-2016",13,"CALDWELL COUNTY","Early Education",24
"2015-2016",13,"CALDWELL COUNTY","Pre-kindergarten",322
"2015-2016",13,"CALDWELL COUNTY","Kindergarten",464
"2015-2016",13,"CALDWELL COUNTY","Grade  1",526
"2015-2016",13,"CALDWELL COUNTY","Grade  2",562
"2015-2016",13,"CALDWELL COUNTY","Grade  3",549
"2015-2016",13,"CALDWELL COUNTY","Grade  4",539
"2015-2016",13,"CALDWELL COUNTY","Grade  5",531
"2015-2016",13,"CALDWELL COUNTY","Grade  6",532
"2015-2016",13,"CALDWELL COUNTY","Grade  7",501
"2015-2016",13,"CALDWELL COUNTY","Grade  8",473
"2015-2016",13,"CALDWELL COUNTY","Grade  9",556
"2015-2016",13,"CALDWELL COUNTY","Grade 10",478
"2015-2016",13,"CALDWELL COUNTY","Grade 11",493
"2015-2016",13,"CALDWELL COUNTY","Grade 12",425
"2015-2016",03,"CALHOUN COUNTY","Early Education",15
"2015-2016",03,"CALHOUN COUNTY","Pre-kindergarten",171
"2015-2016",03,"CALHOUN COUNTY","Kindergarten",323
"2015-2016",03,"CALHOUN COUNTY","Grade  1",312
"2015-2016",03,"CALHOUN COUNTY","Grade  2",289
"2015-2016",03,"CALHOUN COUNTY","Grade  3",336
"2015-2016",03,"CALHOUN COUNTY","Grade  4",305
"2015-2016",03,"CALHOUN COUNTY","Grade  5",265
"2015-2016",03,"CALHOUN COUNTY","Grade  6",304
"2015-2016",03,"CALHOUN COUNTY","Grade  7",315
"2015-2016",03,"CALHOUN COUNTY","Grade  8",330
"2015-2016",03,"CALHOUN COUNTY","Grade  9",313
"2015-2016",03,"CALHOUN COUNTY","Grade 10",333
