"Year","Grade Level Name","Enrollment by Grade Level"
"2017-2018","Early Education",23998
"2017-2018","Pre-kindergarten",232177
"2017-2018","Kindergarten",371618
"2017-2018","Grade  1",388637
"2017-2018","Grade  2",394362
"2017-2018","Grade  3",409974
"2017-2018","Grade  4",413819
"2017-2018","Grade  5",414386
"2017-2018","Grade  6",402596
"2017-2018","Grade  7",402472
"2017-2018","Grade  8",398598
"2017-2018","Grade  9",432951
"2017-2018","Grade 10",397209
"2017-2018","Grade 11",371871
"2017-2018","Grade 12",345014
"2017-2018","All Grade Levels",5399682

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

