"Year","Region","Grade Level","Grade Level Name","Enrollment by Grade Level"
"2017-2018",01,01,"Early Education",941
"2017-2018",01,02,"Pre-kindergarten",28522
"2017-2018",01,03,"Kindergarten",28536
"2017-2018",01,04,"Grade  1",30832
"2017-2018",01,05,"Grade  2",30281
"2017-2018",01,06,"Grade  3",31357
"2017-2018",01,07,"Grade  4",31220
"2017-2018",01,08,"Grade  5",31006
"2017-2018",01,09,"Grade  6",31686
"2017-2018",01,10,"Grade  7",32138
"2017-2018",01,11,"Grade  8",31783
"2017-2018",01,12,"Grade  9",35392
"2017-2018",01,13,"Grade 10",32090
"2017-2018",01,14,"Grade 11",29849
"2017-2018",01,15,"Grade 12",27538
"2017-2018",02,01,"Early Education",345
"2017-2018",02,02,"Pre-kindergarten",4281
"2017-2018",02,03,"Kindergarten",7086
"2017-2018",02,04,"Grade  1",7568
"2017-2018",02,05,"Grade  2",7525
"2017-2018",02,06,"Grade  3",7882
"2017-2018",02,07,"Grade  4",8064
"2017-2018",02,08,"Grade  5",7851
"2017-2018",02,09,"Grade  6",7868
"2017-2018",02,10,"Grade  7",7889
"2017-2018",02,11,"Grade  8",7649
"2017-2018",02,12,"Grade  9",8173
"2017-2018",02,13,"Grade 10",7596
"2017-2018",02,14,"Grade 11",7279
"2017-2018",02,15,"Grade 12",6884
"2017-2018",03,01,"Early Education",281
"2017-2018",03,02,"Pre-kindergarten",2341
"2017-2018",03,03,"Kindergarten",3646
"2017-2018",03,04,"Grade  1",3762
"2017-2018",03,05,"Grade  2",3876
"2017-2018",03,06,"Grade  3",4037
"2017-2018",03,07,"Grade  4",4213
"2017-2018",03,08,"Grade  5",4161
"2017-2018",03,09,"Grade  6",3982
"2017-2018",03,10,"Grade  7",3938
"2017-2018",03,11,"Grade  8",3877
"2017-2018",03,12,"Grade  9",4438
"2017-2018",03,13,"Grade 10",4020
"2017-2018",03,14,"Grade 11",3754
"2017-2018",03,15,"Grade 12",3350
"2017-2018",04,01,"Early Education",5532
"2017-2018",04,02,"Pre-kindergarten",51519
"2017-2018",04,03,"Kindergarten",82522
"2017-2018",04,04,"Grade  1",88299
"2017-2018",04,05,"Grade  2",90205
"2017-2018",04,06,"Grade  3",94094
"2017-2018",04,07,"Grade  4",92979
"2017-2018",04,08,"Grade  5",92946
"2017-2018",04,09,"Grade  6",89860
"2017-2018",04,10,"Grade  7",89325
"2017-2018",04,11,"Grade  8",88851
"2017-2018",04,12,"Grade  9",97883
"2017-2018",04,13,"Grade 10",88200
"2017-2018",04,14,"Grade 11",82401
"2017-2018",04,15,"Grade 12",77781
"2017-2018",05,01,"Early Education",587
"2017-2018",05,02,"Pre-kindergarten",3927
"2017-2018",05,03,"Kindergarten",5988
"2017-2018",05,04,"Grade  1",6281
"2017-2018",05,05,"Grade  2",6365
"2017-2018",05,06,"Grade  3",6508
"2017-2018",05,07,"Grade  4",6437
"2017-2018",05,08,"Grade  5",6318
"2017-2018",05,09,"Grade  6",6206
"2017-2018",05,10,"Grade  7",6064
"2017-2018",05,11,"Grade  8",5953
"2017-2018",05,12,"Grade  9",6364
"2017-2018",05,13,"Grade 10",5851
"2017-2018",05,14,"Grade 11",5501
"2017-2018",05,15,"Grade 12",5404
"2017-2018",06,01,"Early Education",830
"2017-2018",06,02,"Pre-kindergarten",6707
"2017-2018",06,03,"Kindergarten",13779
"2017-2018",06,04,"Grade  1",14297
"2017-2018",06,05,"Grade  2",14684
"2017-2018",06,06,"Grade  3",15358
"2017-2018",06,07,"Grade  4",15455
"2017-2018",06,08,"Grade  5",15410
"2017-2018",06,09,"Grade  6",14828
"2017-2018",06,10,"Grade  7",15081
"2017-2018",06,11,"Grade  8",14798
"2017-2018",06,12,"Grade  9",15863
"2017-2018",06,13,"Grade 10",14987
"2017-2018",06,14,"Grade 11",13922
"2017-2018",06,15,"Grade 12",12782
"2017-2018",07,01,"Early Education",470
"2017-2018",07,02,"Pre-kindergarten",7739
