System ID, System Name, Total, Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
663,Glynn County,12743,580,1104,1051,974,970,987,970,914,946,953,1136,814,672,672
664,Gordon County,6753,383,543,479,500,482,487,478,498,526,550,495,499,433,400
665,Grady County,4658,274,436,383,385,363,368,334,324,329,337,352,298,236,239
666,Greene County,2275,167,205,166,184,170,174,188,187,167,152,163,137,101,114
726,Griffin-Spalding County,10450,506,898,887,849,847,831,753,761,785,775,863,640,566,489
667,Gwinnett County,169154,1229,12764,12906,12980,12925,13175,12965,13208,13425,13364,15187,13545,10695,10786
668,Habersham County,6853,207,568,550,548,568,544,510,522,496,525,529,495,417,374
669,Hall County,26902,344,2085,2113,2073,2075,2098,2073,2186,2019,2167,2304,2240,1508,1617
670,Hancock County,997,60,64,66,83,72,60,60,78,88,60,83,80,69,74
671,Haralson County,3608,207,243,294,263,257,236,242,258,274,273,313,313,203,232
672,Harris County,5218,243,355,379,368,363,353,389,390,400,401,428,428,359,362
673,Hart County,3528,94,304,292,284,264,276,263,259,259,269,261,228,241,234
674,Heard County,2020,117,153,149,145,125,138,143,153,161,158,150,174,124,130
675,Henry County,40915,309,2802,2922,2853,3049,2980,3050,3218,3231,3370,3627,3466,3081,2957
676,Houston County,27878,1116,2215,2210,2111,2070,2067,2003,2166,2128,2133,2121,1982,1808,1748
677,Irwin County,1796,122,155,159,112,147,119,126,142,141,138,139,106,106,84
678,Jackson County,7288,241,543,566,586,590,543,560,573,560,566,588,529,452,391
679,Jasper County,2306,141,198,180,178,173,151,177,172,184,158,197,151,137,109
680,Jeff Davis County,3051,210,257,253,224,233,228,207,222,233,223,243,197,175,146
779,Jefferson City,3069,111,222,217,204,241,248,233,261,239,233,237,229,212,182
681,Jefferson County,2832,159,227,229,205,183,211,238,200,204,232,186,214,198,146
682,Jenkins County,1315,67,114,103,98,97,73,99,95,83,106,114,96,84,86
683,Johnson County,1172,59,84,91,88,77,76,91,94,89,93,84,87,79,80
684,Jones County,5501,247,406,416,389,430,415,399,416,441,407,456,406,337,336
685,Lamar County,2637,137,194,201,204,188,205,180,205,226,195,207,184,159,152
686,Lanier County,1784,138,202,156,140,133,159,123,118,124,122,109,94,86,80
687,Laurens County,6678,338,542,496,478,522,518,496,496,510,492,510,484,407,389
688,Lee County,6333,289,476,474,438,493,477,436,494,489,547,496,463,407,354
689,Liberty County,10084,464,859,823,717,739,735,705,657,856,824,803,682,618,602
690,Lincoln County,1208,70,90,100,83,76,79,75,87,101,96,99,80,88,84
691,Long County,3116,166,281,291,236,250,214,216,237,219,249,250,197,158,152
692,Lowndes County,10421,429,875,852,750,771,806,708,784,802,804,796,741,689,614
693,Lumpkin County,3705,0,310,321,300,283,288,284,275,320,305,315,254,228,222
694,Macon County,1609,98,118,114,101,101,111,101,113,136,152,125,125,118,96
695,Madison County,4766,161,368,370,351,356,335,377,367,385,378,387,334,303,294
781,Marietta City,8781,59,866,856,834,715,744,693,685,664,611,683,544,405,422
696,Marion County,1400,66,117,97,110,101,71,82,119,123,114,112,97,91,100
697,McDuffie County,4279,154,362,354,319,359,290,287,312,355,358,370,289,262,208
698,McIntosh County,1657,88,133,122,127,117,106,110,139,126,123,135,116,103,112
699,Meriwether County,3102,214,274,258,243,209,224,198,243,202,231,239,227,178,162
700,Miller County,1067,64,72,88,91,73,79,85,84,79,57,86,65,65,79
701,Mitchell County,2397,126,225,227,196,205,161,175,170,186,166,166,174,115,105
702,Monroe County,4010,210,278,281,292,306,253,304,297,306,320,362,307,262,232
703,Montgomery County,1281,58,80,80,77,76,83,74,69,98,93,124,152,113,104
704,Morgan County,3289,99,234,265,211,264,219,253,244,230,289,255,247,238,241
705,Murray County,7691,389,626,622,621,580,537,564,569,565,604,535,561,452,466
706,Muscogee County,31885,1234,2673,2759,2486,2416,2308,2246,2287,2413,2302,2438,2255,2066,2002
7991893,,180,1,7,5,8,10,12,12,9,13,17,21,16,14,35
7991895,,116,11,0,3,9,4,3,7,5,11,11,12,8,9,23
7991894,,119,1,4,5,7,1,7,1,9,5,11,17,17,12,22
707,Newton County,19429,726,1477,1526,1499,1492,1470,1495,1496,1496,1555,1582,1413,1149,1053
708,Oconee County,6825,77,440,488,508,521,475,513,557,572,556,585,530,545,458
709,Oglethorpe County,2237,46,153,163,161,168,164,158,184,170,180,186,185,170,149
710,Paulding County,28434,227,2030,2087,2138,2209,2100,2326,2191,2318,2302,2550,2216,1859,1881
711,Peach County,3705,34,308,291,312,301,270,272,324,307,301,284,266,226,209
784,Pelham City,1498,88,117,120,114,111,96,81,107,89,112,142,120,88,113
712,Pickens County,4330,33,303,342,321,313,302,359,365,395,324,382,366,282,243
713,Pierce County,3689,150,269,273,287,271,270,264,280,295,281,323,252,238,236
714,Pike County,3404,103,195,201,224,253,246,269,241,304,287,294,315,231,241
715,Polk County,7654,364,701,611,613,586,580,550,590,552,563,632,471,448,393
716,Pulaski County,1398,97,133,96,104,98,88,88,105,110,97,106,100,92,84
717,Putnam County,2775,122,273,237,239,210,202,198,214,194,218,237,160,117,154
718,Quitman County,314,24,18,21,26,21,21,27,27,26,27,18,17,21,20
719,Rabun County,2203,94,167,176,137,168,186,141,162,173,168,180,158,163,130
720,Randolph County,1101,146,73,70,92,58,65,53,59,70,68,91,92,81,83
721,Richmond County,31501,1322,2717,2809,2563,2383,2334,2360,2373,2277,2301,2458,2138,1832,1634
722,Rockdale County,16225,343,1340,1170,1146,1156,1174,1172,1177,1268,1270,1416,1750,754,1089
785,Rome City,5992,234,515,526,507,444,463,436,425,492,422,458,421,360,289
625,Savannah-Chatham County,37168,1642,3643,3432,3235,3132,2872,2857,2732,2614,2594,3110,2157,1733,1415
723,Schley County,1359,69,98,83,116,101,104,88,109,106,127,97,97,90,74
724,Screven County,2355,108,196,190,197,176,133,187,167,168,199,174,164,161,135
725,Seminole County,1660,70,127,144,112,112,112,122,120,141,128,145,128,97,102
786,Social Circle City,1660,66,119,120,110,126,124,115,115,143,142,123,113,130,114
7830410,State Charter Schools II- Atlanta Heights Charter School,662,0,99,84,86,78,80,68,61,60,46,0,0,0,0
7830610,State Charter Schools II- Coweta Charter Academy,607,0,126,92,93,93,92,71,40,0,0,0,0,0,0
7830310,State Charter Schools II- Fulton Leadership Academy,232,0,0,0,0,0,0,0,58,61,53,60,0,0,0
7830110,State Charter Schools II- Ivy Preparatory Academy at Gwinnett,336,0,0,0,0,0,0,0,94,89,114,16,13,10,0
7830210,State Charter Schools II- Pataula Charter Academy,423,0,44,35,44,42,46,47,47,39,43,36,0,0,0
7830103,State Charter Schools II- Statesboro STEAM Academy,147,0,0,0,0,0,0,0,25,21,24,19,19,19,20
7820212,State Charter Schools- Cherokee Charter Academy,1079,0,118,135,122,116,117,117,113,118,96,27,0,0,0
7820412,State Charter Schools- Georgia Connections Academy,3223,0,117,146,157,148,148,191,255,329,350,469,452,340,121
7820119,State Charter Schools- Graduation Achievement Center Charter High School,1645,0,0,0,0,0,0,0,0,0,0,308,459,492,386
7820312,State Charter Schools- Heritage Preparatory Academy School,178,0,0,0,0,0,0,0,62,59,57,0,0,0,0
7820612,State Charter Schools- Ivy Preparatory Academy  Inc,328,0,34,45,49,46,24,24,26,43,37,0,0,0,0
7820512,State Charter Schools- Ivy Preparatory Young Men's Leadership Academy  Inc.,324,0,32,39,49,43,24,18,26,50,43,0,0,0,0
7820108,State Charter Schools- Mountain Education Charter High School,1503,0,0,0,0,0,0,0,0,0,0,281,331,263,628
7820110,State Charter Schools- Odyssey Charter School,12404,0,603,732,781,857,885,928,1185,1492,1613,1249,1093,660,326
7820112,State Charter Schools- Scholars Academy Charter School,228,0,45,46,42,40,33,22,0,0,0,0,0,0,0
727,Stephens County,4018,143,343,351,312,287,278,307,287,318,319,304,292,251,226
728,Stewart County,533,43,47,47,48,30,43,40,36,35,38,39,28,35,24
729,Sumter County,4849,276,440,393,377,381,347,333,355,322,364,395,352,265,249
730,Talbot County,521,22,33,43,29,40,31,34,46,42,44,43,48,37,29
731,Taliaferro County,209,16,19,18,18,19,13,16,13,12,10,13,18,13,11
732,Tattnall County,3689,229,322,306,302,261,278,290,260,270,252,303,218,232,166
733,Taylor County,1501,93,118,103,99,101,98,113,107,106,120,122,113,105,103
734,Telfair County,1717,114,149,126,133,120,116,125,135,126,148,131,110,79,105
735,Terrell County,1490,94,115,111,118,123,99,99,116,117,102,121,96,96,83
736,Thomas County,5543,302,381,413,379,394,363,376,412,446,465,491,441,350,330
745,Thomaston-Upson County,4327,167,275,339,360,299,301,311,351,336,358,376,334,258,262
789,Thomasville City,3043,223,273,268,234,241,225,190,214,212,191,271,190,167,144
737,Tift County,7855,357,637,644,688,596,574,532,612,567,596,522,587,501,442
738,Toombs County,3037,187,220,243,222,219,233,200,220,240,255,231,202,184,181
739,Towns County,1053,11,76,62,77,66,74,79,86,88,94,100,80,84,76
740,Treutlen County,1189,75,93,87,105,75,98,77,82,89,88,89,94,70,67
791,Trion City,1391,86,106,101,99,86,97,90,98,111,91,108,119,102,97
741,Troup County,12604,551,1137,1031,983,945,881,913,898,944,917,1102,824,724,754
742,Turner County,1459,112,105,118,103,108,98,97,112,99,119,108,109,80,91
743,Twiggs County,897,37,77,66,64,77,42,69,73,59,80,68,71,71,43
744,Union County,2677,18,213,230,195,201,204,189,207,223,230,237,212,189,129
792,Valdosta City,7862,251,783,786,695,590,634,556,567,546,565,591,512,456,330
793,Vidalia City,2622,163,197,216,196,204,179,174,181,216,182,196,185,162,171
746,Walker County,9130,348,743,752,669,677,671,687,671,719,712,768,637,537,539
747,Walton County,13676,480,1075,1017,1061,1033,1079,990,1071,1057,1063,1184,942,851,773
748,Ware County,6041,348,579,530,484,481,450,380,435,436,433,437,413,298,337
749,Warren County,679,49,61,75,53,53,50,65,42,47,45,41,31,34,33
750,Washington County,3097,93,279,276,258,244,240,209,208,231,218,235,200,213,193
751,Wayne County,5364,316,471,446,394,404,401,400,422,402,397,424,320,270,297
752,Webster County,412,22,28,21,39,32,28,25,33,45,28,30,25,34,22
753,Wheeler County,1035,68,74,79,73,72,92,92,79,71,75,80,47,74,59
754,White County,3802,27,317,283,288,313,293,291,302,286,299,307,286,259,251
755,Whitfield County,13271,311,1083,1032,1031,1032,1029,973,1022,1018,998,1178,1006,741,817
756,Wilcox County,1219,70,87,97,113,89,86,89,92,61,104,102,84,77,68
757,Wilkes County,1645,103,125,123,117,112,119,131,111,129,139,130,112,104,90
758,Wilkinson County,1579,107,111,126,144,112,109,115,105,115,128,104,101,95,107
759,Worth County,3377,168,293,289,265,220,229,230,246,252,268,273,231,210,203
 ,State-Wide Total,1716905,49208,137283,137394,133217,131268,129287,128707,129416,131841,131124,143992,124936,105746,103486
