"Year","Region","Grade Level Name","Gender Name","Gender Count"
"2015-2016",01,"Early Education","Female",327
"2015-2016",01,"Early Education","Male",729
"2015-2016",01,"Pre-kindergarten","Female",12149
"2015-2016",01,"Pre-kindergarten","Male",12114
"2015-2016",01,"Kindergarten","Female",14197
"2015-2016",01,"Kindergarten","Male",14578
"2015-2016",01,"Grade  1","Female",15726
"2015-2016",01,"Grade  1","Male",16707
"2015-2016",01,"Grade  2","Female",15776
"2015-2016",01,"Grade  2","Male",16515
"2015-2016",01,"Grade  3","Female",15546
"2015-2016",01,"Grade  3","Male",16082
"2015-2016",01,"Grade  4","Female",15020
"2015-2016",01,"Grade  4","Male",15734
"2015-2016",01,"Grade  5","Female",15065
"2015-2016",01,"Grade  5","Male",15805
"2015-2016",01,"Grade  6","Female",15456
"2015-2016",01,"Grade  6","Male",16088
"2015-2016",01,"Grade  7","Female",15247
"2015-2016",01,"Grade  7","Male",16301
"2015-2016",01,"Grade  8","Female",15474
"2015-2016",01,"Grade  8","Male",16102
"2015-2016",01,"Grade  9","Female",17257
"2015-2016",01,"Grade  9","Male",18850
"2015-2016",01,"Grade 10","Female",15235
"2015-2016",01,"Grade 10","Male",15917
"2015-2016",01,"Grade 11","Female",13555
"2015-2016",01,"Grade 11","Male",14249
"2015-2016",01,"Grade 12","Female",12861
"2015-2016",01,"Grade 12","Male",13009
"2015-2016",02,"Early Education","Female",77
"2015-2016",02,"Early Education","Male",219
"2015-2016",02,"Pre-kindergarten","Female",1929
"2015-2016",02,"Pre-kindergarten","Male",1900
"2015-2016",02,"Kindergarten","Female",3474
"2015-2016",02,"Kindergarten","Male",3593
"2015-2016",02,"Grade  1","Female",3914
"2015-2016",02,"Grade  1","Male",4084
"2015-2016",02,"Grade  2","Female",3856
"2015-2016",02,"Grade  2","Male",4053
"2015-2016",02,"Grade  3","Female",3745
"2015-2016",02,"Grade  3","Male",4127
"2015-2016",02,"Grade  4","Female",3685
"2015-2016",02,"Grade  4","Male",4063
"2015-2016",02,"Grade  5","Female",3707
"2015-2016",02,"Grade  5","Male",3892
"2015-2016",02,"Grade  6","Female",3609
"2015-2016",02,"Grade  6","Male",3900
"2015-2016",02,"Grade  7","Female",3605
"2015-2016",02,"Grade  7","Male",3808
"2015-2016",02,"Grade  8","Female",3721
"2015-2016",02,"Grade  8","Male",3989
"2015-2016",02,"Grade  9","Female",4065
"2015-2016",02,"Grade  9","Male",4473
"2015-2016",02,"Grade 10","Female",3688
"2015-2016",02,"Grade 10","Male",3826
"2015-2016",02,"Grade 11","Female",3180
"2015-2016",02,"Grade 11","Male",3412
"2015-2016",02,"Grade 12","Female",2975
"2015-2016",02,"Grade 12","Male",3189
"2015-2016",03,"Early Education","Female",87
"2015-2016",03,"Early Education","Male",172
"2015-2016",03,"Pre-kindergarten","Female",1158
"2015-2016",03,"Pre-kindergarten","Male",1149
"2015-2016",03,"Kindergarten","Female",1906
"2015-2016",03,"Kindergarten","Male",2026
"2015-2016",03,"Grade  1","Female",2035
"2015-2016",03,"Grade  1","Male",2182
"2015-2016",03,"Grade  2","Female",2011
"2015-2016",03,"Grade  2","Male",2282
"2015-2016",03,"Grade  3","Female",2067
"2015-2016",03,"Grade  3","Male",2229
"2015-2016",03,"Grade  4","Female",1948
"2015-2016",03,"Grade  4","Male",2094
"2015-2016",03,"Grade  5","Female",1969
"2015-2016",03,"Grade  5","Male",2028
"2015-2016",03,"Grade  6","Female",1899
"2015-2016",03,"Grade  6","Male",1997
"2015-2016",03,"Grade  7","Female",2015
"2015-2016",03,"Grade  7","Male",2000
"2015-2016",03,"Grade  8","Female",1893
"2015-2016",03,"Grade  8","Male",2097
"2015-2016",03,"Grade  9","Female",2080
"2015-2016",03,"Grade  9","Male",2413
"2015-2016",03,"Grade 10","Female",1927
"2015-2016",03,"Grade 10","Male",2034
"2015-2016",03,"Grade 11","Female",1809
"2015-2016",03,"Grade 11","Male",1818
"2015-2016",03,"Grade 12","Female",1542
"2015-2016",03,"Grade 12","Male",1622
"2015-2016",04,"Early Education","Female",1471
"2015-2016",04,"Early Education","Male",3463
"2015-2016",04,"Pre-kindergarten","Female",25751
"2015-2016",04,"Pre-kindergarten","Male",25720
"2015-2016",04,"Kindergarten","Female",41745
"2015-2016",04,"Kindergarten","Male",43683
"2015-2016",04,"Grade  1","Female",46197
"2015-2016",04,"Grade  1","Male",48598
"2015-2016",04,"Grade  2","Female",45338
"2015-2016",04,"Grade  2","Male",48193
"2015-2016",04,"Grade  3","Female",45399
"2015-2016",04,"Grade  3","Male",47674
"2015-2016",04,"Grade  4","Female",43583
"2015-2016",04,"Grade  4","Male",45691
"2015-2016",04,"Grade  5","Female",42747
"2015-2016",04,"Grade  5","Male",45074
"2015-2016",04,"Grade  6","Female",42753
"2015-2016",04,"Grade  6","Male",44784
"2015-2016",04,"Grade  7","Female",42398
"2015-2016",04,"Grade  7","Male",44967
"2015-2016",04,"Grade  8","Female",41984
"2015-2016",04,"Grade  8","Male",44286
"2015-2016",04,"Grade  9","Female",45746
"2015-2016",04,"Grade  9","Male",50372
"2015-2016",04,"Grade 10","Female",41850
"2015-2016",04,"Grade 10","Male",43783
"2015-2016",04,"Grade 11","Female",38878
"2015-2016",04,"Grade 11","Male",39596
"2015-2016",04,"Grade 12","Female",35841
"2015-2016",04,"Grade 12","Male",36534
"2015-2016",05,"Early Education","Female",190
"2015-2016",05,"Early Education","Male",297
"2015-2016",05,"Pre-kindergarten","Female",1844
"2015-2016",05,"Pre-kindergarten","Male",1889
"2015-2016",05,"Kindergarten","Female",2932
"2015-2016",05,"Kindergarten","Male",3197
"2015-2016",05,"Grade  1","Female",3167
"2015-2016",05,"Grade  1","Male",3387
"2015-2016",05,"Grade  2","Female",3137
"2015-2016",05,"Grade  2","Male",3270
"2015-2016",05,"Grade  3","Female",3072
"2015-2016",05,"Grade  3","Male",3287
"2015-2016",05,"Grade  4","Female",2955
"2015-2016",05,"Grade  4","Male",3150
