"Year","Region","Grade Level Name","Gender Name","Gender Count"
"2015-2016",05,"Grade  5","Female",2897
"2015-2016",05,"Grade  5","Male",3056
"2015-2016",05,"Grade  6","Female",2876
"2015-2016",05,"Grade  6","Male",3033
"2015-2016",05,"Grade  7","Female",2830
"2015-2016",05,"Grade  7","Male",2983
"2015-2016",05,"Grade  8","Female",2837
"2015-2016",05,"Grade  8","Male",3017
"2015-2016",05,"Grade  9","Female",2963
"2015-2016",05,"Grade  9","Male",3332
"2015-2016",05,"Grade 10","Female",2833
"2015-2016",05,"Grade 10","Male",3081
"2015-2016",05,"Grade 11","Female",2643
"2015-2016",05,"Grade 11","Male",2744
"2015-2016",05,"Grade 12","Female",2569
"2015-2016",05,"Grade 12","Male",2557
"2015-2016",06,"Early Education","Female",283
"2015-2016",06,"Early Education","Male",571
"2015-2016",06,"Pre-kindergarten","Female",3181
"2015-2016",06,"Pre-kindergarten","Male",3170
"2015-2016",06,"Kindergarten","Female",6657
"2015-2016",06,"Kindergarten","Male",6967
"2015-2016",06,"Grade  1","Female",7162
"2015-2016",06,"Grade  1","Male",7754
"2015-2016",06,"Grade  2","Female",7170
"2015-2016",06,"Grade  2","Male",7633
"2015-2016",06,"Grade  3","Female",7174
"2015-2016",06,"Grade  3","Male",7536
"2015-2016",06,"Grade  4","Female",6838
"2015-2016",06,"Grade  4","Male",7306
"2015-2016",06,"Grade  5","Female",6978
"2015-2016",06,"Grade  5","Male",7368
"2015-2016",06,"Grade  6","Female",6755
"2015-2016",06,"Grade  6","Male",7199
"2015-2016",06,"Grade  7","Female",6986
"2015-2016",06,"Grade  7","Male",7247
"2015-2016",06,"Grade  8","Female",6874
"2015-2016",06,"Grade  8","Male",7233
"2015-2016",06,"Grade  9","Female",7378
"2015-2016",06,"Grade  9","Male",7966
"2015-2016",06,"Grade 10","Female",6984
"2015-2016",06,"Grade 10","Male",7452
"2015-2016",06,"Grade 11","Female",6298
"2015-2016",06,"Grade 11","Male",6431
"2015-2016",06,"Grade 12","Female",5836
"2015-2016",06,"Grade 12","Male",5770
"2015-2016",07,"Early Education","Female",149
"2015-2016",07,"Early Education","Male",287
"2015-2016",07,"Pre-kindergarten","Female",3758
"2015-2016",07,"Pre-kindergarten","Male",3936
"2015-2016",07,"Kindergarten","Female",6038
"2015-2016",07,"Kindergarten","Male",6535
"2015-2016",07,"Grade  1","Female",6495
"2015-2016",07,"Grade  1","Male",6951
"2015-2016",07,"Grade  2","Female",6508
"2015-2016",07,"Grade  2","Male",6769
"2015-2016",07,"Grade  3","Female",6528
"2015-2016",07,"Grade  3","Male",6973
"2015-2016",07,"Grade  4","Female",6208
"2015-2016",07,"Grade  4","Male",6670
"2015-2016",07,"Grade  5","Female",6222
"2015-2016",07,"Grade  5","Male",6712
"2015-2016",07,"Grade  6","Female",6119
"2015-2016",07,"Grade  6","Male",6496
"2015-2016",07,"Grade  7","Female",6067
"2015-2016",07,"Grade  7","Male",6569
"2015-2016",07,"Grade  8","Female",6193
"2015-2016",07,"Grade  8","Male",6473
"2015-2016",07,"Grade  9","Female",6372
"2015-2016",07,"Grade  9","Male",7052
"2015-2016",07,"Grade 10","Female",6097
"2015-2016",07,"Grade 10","Male",6373
"2015-2016",07,"Grade 11","Female",5680
"2015-2016",07,"Grade 11","Male",5809
"2015-2016",07,"Grade 12","Female",5273
"2015-2016",07,"Grade 12","Male",5332
"2015-2016",08,"Early Education","Female",81
"2015-2016",08,"Early Education","Male",155
"2015-2016",08,"Pre-kindergarten","Female",1806
"2015-2016",08,"Pre-kindergarten","Male",1850
"2015-2016",08,"Kindergarten","Female",2149
"2015-2016",08,"Kindergarten","Male",2344
"2015-2016",08,"Grade  1","Female",2308
"2015-2016",08,"Grade  1","Male",2392
"2015-2016",08,"Grade  2","Female",2334
"2015-2016",08,"Grade  2","Male",2447
"2015-2016",08,"Grade  3","Female",2323
"2015-2016",08,"Grade  3","Male",2334
"2015-2016",08,"Grade  4","Female",2107
"2015-2016",08,"Grade  4","Male",2310
"2015-2016",08,"Grade  5","Female",2200
"2015-2016",08,"Grade  5","Male",2211
"2015-2016",08,"Grade  6","Female",2156
"2015-2016",08,"Grade  6","Male",2266
"2015-2016",08,"Grade  7","Female",2129
"2015-2016",08,"Grade  7","Male",2199
"2015-2016",08,"Grade  8","Female",2101
"2015-2016",08,"Grade  8","Male",2312
"2015-2016",08,"Grade  9","Female",2164
"2015-2016",08,"Grade  9","Male",2464
"2015-2016",08,"Grade 10","Female",2079
"2015-2016",08,"Grade 10","Male",2201
"2015-2016",08,"Grade 11","Female",2071
"2015-2016",08,"Grade 11","Male",2090
"2015-2016",08,"Grade 12","Female",1867
"2015-2016",08,"Grade 12","Male",1907
"2015-2016",09,"Early Education","Female",57
"2015-2016",09,"Early Education","Male",129
"2015-2016",09,"Pre-kindergarten","Female",979
"2015-2016",09,"Pre-kindergarten","Male",1002
"2015-2016",09,"Kindergarten","Female",1300
"2015-2016",09,"Kindergarten","Male",1486
"2015-2016",09,"Grade  1","Female",1429
"2015-2016",09,"Grade  1","Male",1487
"2015-2016",09,"Grade  2","Female",1411
"2015-2016",09,"Grade  2","Male",1516
"2015-2016",09,"Grade  3","Female",1375
"2015-2016",09,"Grade  3","Male",1437
"2015-2016",09,"Grade  4","Female",1325
"2015-2016",09,"Grade  4","Male",1473
"2015-2016",09,"Grade  5","Female",1284
"2015-2016",09,"Grade  5","Male",1432
"2015-2016",09,"Grade  6","Female",1414
"2015-2016",09,"Grade  6","Male",1408
"2015-2016",09,"Grade  7","Female",1297
"2015-2016",09,"Grade  7","Male",1334
"2015-2016",09,"Grade  8","Female",1361
"2015-2016",09,"Grade  8","Male",1400
"2015-2016",09,"Grade  9","Female",1324
"2015-2016",09,"Grade  9","Male",1407
"2015-2016",09,"Grade 10","Female",1307
"2015-2016",09,"Grade 10","Male",1355
"2015-2016",09,"Grade 11","Female",1221
"2015-2016",09,"Grade 11","Male",1302
"2015-2016",09,"Grade 12","Female",1160
"2015-2016",09,"Grade 12","Male",1250
"2015-2016",10,"Early Education","Female",1051
"2015-2016",10,"Early Education","Male",2505
"2015-2016",10,"Pre-kindergarten","Female",15045
"2015-2016",10,"Pre-kindergarten","Male",15159
"2015-2016",10,"Kindergarten","Female",28614
"2015-2016",10,"Kindergarten","Male",30220
"2015-2016",10,"Grade  1","Female",31059
"2015-2016",10,"Grade  1","Male",32381
"2015-2016",10,"Grade  2","Female",31510
"2015-2016",10,"Grade  2","Male",33048
"2015-2016",10,"Grade  3","Female",31338
"2015-2016",10,"Grade  3","Male",33170
"2015-2016",10,"Grade  4","Female",30893
"2015-2016",10,"Grade  4","Male",32082
"2015-2016",10,"Grade  5","Female",30432
"2015-2016",10,"Grade  5","Male",31721
"2015-2016",10,"Grade  6","Female",29759
"2015-2016",10,"Grade  6","Male",31330
"2015-2016",10,"Grade  7","Female",29778
"2015-2016",10,"Grade  7","Male",30976
"2015-2016",10,"Grade  8","Female",29342
"2015-2016",10,"Grade  8","Male",30786
"2015-2016",10,"Grade  9","Female",32032
"2015-2016",10,"Grade  9","Male",34395
"2015-2016",10,"Grade 10","Female",29408
"2015-2016",10,"Grade 10","Male",31047
"2015-2016",10,"Grade 11","Female",27629
"2015-2016",10,"Grade 11","Male",27422
"2015-2016",10,"Grade 12","Female",24680
"2015-2016",10,"Grade 12","Male",25102
"2015-2016",11,"Early Education","Female",640
"2015-2016",11,"Early Education","Male",1618
"2015-2016",11,"Pre-kindergarten","Female",9737
"2015-2016",11,"Pre-kindergarten","Male",10027
"2015-2016",11,"Kindergarten","Female",19389
"2015-2016",11,"Kindergarten","Male",20706
"2015-2016",11,"Grade  1","Female",21040
"2015-2016",11,"Grade  1","Male",22081
"2015-2016",11,"Grade  2","Female",21368
"2015-2016",11,"Grade  2","Male",22712
"2015-2016",11,"Grade  3","Female",21236
"2015-2016",11,"Grade  3","Male",22813
"2015-2016",11,"Grade  4","Female",21273
"2015-2016",11,"Grade  4","Male",22351
"2015-2016",11,"Grade  5","Female",20860
"2015-2016",11,"Grade  5","Male",22371
"2015-2016",11,"Grade  6","Female",20908
"2015-2016",11,"Grade  6","Male",21924
"2015-2016",11,"Grade  7","Female",20838
"2015-2016",11,"Grade  7","Male",22007
"2015-2016",11,"Grade  8","Female",20488
"2015-2016",11,"Grade  8","Male",21850
"2015-2016",11,"Grade  9","Female",23435
"2015-2016",11,"Grade  9","Male",25213
"2015-2016",11,"Grade 10","Female",21719
"2015-2016",11,"Grade 10","Male",22659
"2015-2016",11,"Grade 11","Female",20226
"2015-2016",11,"Grade 11","Male",20449
"2015-2016",11,"Grade 12","Female",18388
"2015-2016",11,"Grade 12","Male",18584
"2015-2016",12,"Early Education","Female",140
"2015-2016",12,"Early Education","Male",373
"2015-2016",12,"Pre-kindergarten","Female",4500
"2015-2016",12,"Pre-kindergarten","Male",4528
"2015-2016",12,"Kindergarten","Female",6170
"2015-2016",12,"Kindergarten","Male",6521
"2015-2016",12,"Grade  1","Female",6588
"2015-2016",12,"Grade  1","Male",7048
"2015-2016",12,"Grade  2","Female",6498
"2015-2016",12,"Grade  2","Male",6980
"2015-2016",12,"Grade  3","Female",6405
"2015-2016",12,"Grade  3","Male",7025
"2015-2016",12,"Grade  4","Female",6186
"2015-2016",12,"Grade  4","Male",6678
"2015-2016",12,"Grade  5","Female",6138
"2015-2016",12,"Grade  5","Male",6460
"2015-2016",12,"Grade  6","Female",6054
"2015-2016",12,"Grade  6","Male",6262
"2015-2016",12,"Grade  7","Female",6239
"2015-2016",12,"Grade  7","Male",6420
"2015-2016",12,"Grade  8","Female",5947
"2015-2016",12,"Grade  8","Male",6378
"2015-2016",12,"Grade  9","Female",6450
"2015-2016",12,"Grade  9","Male",6968
"2015-2016",12,"Grade 10","Female",5774
"2015-2016",12,"Grade 10","Male",6064
"2015-2016",12,"Grade 11","Female",5172
"2015-2016",12,"Grade 11","Male",5368
"2015-2016",12,"Grade 12","Female",4840
"2015-2016",12,"Grade 12","Male",4962
"2015-2016",13,"Early Education","Female",627
"2015-2016",13,"Early Education","Male",1405
"2015-2016",13,"Pre-kindergarten","Female",6813
"2015-2016",13,"Pre-kindergarten","Male",6966
"2015-2016",13,"Kindergarten","Female",14034
"2015-2016",13,"Kindergarten","Male",15044
"2015-2016",13,"Grade  1","Female",14945
"2015-2016",13,"Grade  1","Male",15853
"2015-2016",13,"Grade  2","Female",15512
"2015-2016",13,"Grade  2","Male",16132
"2015-2016",13,"Grade  3","Female",15292
"2015-2016",13,"Grade  3","Male",16004
"2015-2016",13,"Grade  4","Female",15039
"2015-2016",13,"Grade  4","Male",15899
"2015-2016",13,"Grade  5","Female",14686
"2015-2016",13,"Grade  5","Male",15932
"2015-2016",13,"Grade  6","Female",14825
"2015-2016",13,"Grade  6","Male",15524
"2015-2016",13,"Grade  7","Female",14490
"2015-2016",13,"Grade  7","Male",15364
"2015-2016",13,"Grade  8","Female",14511
"2015-2016",13,"Grade  8","Male",15243
"2015-2016",13,"Grade  9","Female",15376
"2015-2016",13,"Grade  9","Male",16880
"2015-2016",13,"Grade 10","Female",14361
"2015-2016",13,"Grade 10","Male",15107
"2015-2016",13,"Grade 11","Female",13206
"2015-2016",13,"Grade 11","Male",13609
"2015-2016",13,"Grade 12","Female",12397
"2015-2016",13,"Grade 12","Male",12770
"2015-2016",14,"Early Education","Female",169
"2015-2016",14,"Early Education","Male",232
"2015-2016",14,"Pre-kindergarten","Female",1174
"2015-2016",14,"Pre-kindergarten","Male",1205
"2015-2016",14,"Kindergarten","Female",2272
"2015-2016",14,"Kindergarten","Male",2362
"2015-2016",14,"Grade  1","Female",2327
"2015-2016",14,"Grade  1","Male",2415
"2015-2016",14,"Grade  2","Female",2182
"2015-2016",14,"Grade  2","Male",2486
"2015-2016",14,"Grade  3","Female",2368
"2015-2016",14,"Grade  3","Male",2425
"2015-2016",14,"Grade  4","Female",2339
"2015-2016",14,"Grade  4","Male",2453
"2015-2016",14,"Grade  5","Female",2300
"2015-2016",14,"Grade  5","Male",2419
"2015-2016",14,"Grade  6","Female",2366
"2015-2016",14,"Grade  6","Male",2416
"2015-2016",14,"Grade  7","Female",2363
"2015-2016",14,"Grade  7","Male",2337
"2015-2016",14,"Grade  8","Female",2380
"2015-2016",14,"Grade  8","Male",2296
"2015-2016",14,"Grade  9","Female",1894
"2015-2016",14,"Grade  9","Male",1977
"2015-2016",14,"Grade 10","Female",1744
"2015-2016",14,"Grade 10","Male",1792
"2015-2016",14,"Grade 11","Female",1545
"2015-2016",14,"Grade 11","Male",1630
"2015-2016",14,"Grade 12","Female",1409
"2015-2016",14,"Grade 12","Male",1427
"2015-2016",15,"Early Education","Female",304
"2015-2016",15,"Early Education","Male",405
"2015-2016",15,"Pre-kindergarten","Female",883
"2015-2016",15,"Pre-kindergarten","Male",878
"2015-2016",15,"Kindergarten","Female",1751
"2015-2016",15,"Kindergarten","Male",1877
"2015-2016",15,"Grade  1","Female",1936
"2015-2016",15,"Grade  1","Male",2055
"2015-2016",15,"Grade  2","Female",2018
"2015-2016",15,"Grade  2","Male",2082
"2015-2016",15,"Grade  3","Female",1897
"2015-2016",15,"Grade  3","Male",1958
"2015-2016",15,"Grade  4","Female",1828
"2015-2016",15,"Grade  4","Male",1943
"2015-2016",15,"Grade  5","Female",1877
"2015-2016",15,"Grade  5","Male",1948
"2015-2016",15,"Grade  6","Female",1821
"2015-2016",15,"Grade  6","Male",1883
"2015-2016",15,"Grade  7","Female",1758
"2015-2016",15,"Grade  7","Male",1894
"2015-2016",15,"Grade  8","Female",1736
"2015-2016",15,"Grade  8","Male",1840
"2015-2016",15,"Grade  9","Female",1777
"2015-2016",15,"Grade  9","Male",1925
"2015-2016",15,"Grade 10","Female",1723
"2015-2016",15,"Grade 10","Male",1832
"2015-2016",15,"Grade 11","Female",1656
"2015-2016",15,"Grade 11","Male",1798
"2015-2016",15,"Grade 12","Female",1484
"2015-2016",15,"Grade 12","Male",1548
"2015-2016",16,"Early Education","Female",116
"2015-2016",16,"Early Education","Male",265
"2015-2016",16,"Pre-kindergarten","Female",2209
"2015-2016",16,"Pre-kindergarten","Male",2283
"2015-2016",16,"Kindergarten","Female",3036
"2015-2016",16,"Kindergarten","Male",3271
"2015-2016",16,"Grade  1","Female",3291
"2015-2016",16,"Grade  1","Male",3421
"2015-2016",16,"Grade  2","Female",3257
"2015-2016",16,"Grade  2","Male",3466
"2015-2016",16,"Grade  3","Female",3263
"2015-2016",16,"Grade  3","Male",3404
"2015-2016",16,"Grade  4","Female",3100
"2015-2016",16,"Grade  4","Male",3225
"2015-2016",16,"Grade  5","Female",3170
"2015-2016",16,"Grade  5","Male",3280
"2015-2016",16,"Grade  6","Female",3112
"2015-2016",16,"Grade  6","Male",3216
"2015-2016",16,"Grade  7","Female",3143
"2015-2016",16,"Grade  7","Male",3173
"2015-2016",16,"Grade  8","Female",2928
"2015-2016",16,"Grade  8","Male",3220
"2015-2016",16,"Grade  9","Female",3141
"2015-2016",16,"Grade  9","Male",3434
"2015-2016",16,"Grade 10","Female",2922
"2015-2016",16,"Grade 10","Male",3033
"2015-2016",16,"Grade 11","Female",2814
"2015-2016",16,"Grade 11","Male",2878
"2015-2016",16,"Grade 12","Female",2615
"2015-2016",16,"Grade 12","Male",2795
"2015-2016",17,"Early Education","Female",140
"2015-2016",17,"Early Education","Male",270
"2015-2016",17,"Pre-kindergarten","Female",1965
"2015-2016",17,"Pre-kindergarten","Male",2041
"2015-2016",17,"Kindergarten","Female",3206
"2015-2016",17,"Kindergarten","Male",3457
"2015-2016",17,"Grade  1","Female",3413
"2015-2016",17,"Grade  1","Male",3631
"2015-2016",17,"Grade  2","Female",3403
"2015-2016",17,"Grade  2","Male",3490
"2015-2016",17,"Grade  3","Female",3366
"2015-2016",17,"Grade  3","Male",3614
"2015-2016",17,"Grade  4","Female",3067
"2015-2016",17,"Grade  4","Male",3134
"2015-2016",17,"Grade  5","Female",3088
"2015-2016",17,"Grade  5","Male",3185
"2015-2016",17,"Grade  6","Female",3003
"2015-2016",17,"Grade  6","Male",3112
"2015-2016",17,"Grade  7","Female",3002
"2015-2016",17,"Grade  7","Male",3190
"2015-2016",17,"Grade  8","Female",2929
"2015-2016",17,"Grade  8","Male",3016
"2015-2016",17,"Grade  9","Female",3092
"2015-2016",17,"Grade  9","Male",3207
"2015-2016",17,"Grade 10","Female",2853
"2015-2016",17,"Grade 10","Male",2948
"2015-2016",17,"Grade 11","Female",2589
"2015-2016",17,"Grade 11","Male",2677
"2015-2016",17,"Grade 12","Female",2389
"2015-2016",17,"Grade 12","Male",2527
"2015-2016",18,"Early Education","Female",76
"2015-2016",18,"Early Education","Male",205
"2015-2016",18,"Pre-kindergarten","Female",1587
"2015-2016",18,"Pre-kindergarten","Male",1610
"2015-2016",18,"Kindergarten","Female",3350
"2015-2016",18,"Kindergarten","Male",3572
"2015-2016",18,"Grade  1","Female",3592
"2015-2016",18,"Grade  1","Male",3810
"2015-2016",18,"Grade  2","Female",3616
"2015-2016",18,"Grade  2","Male",3752
"2015-2016",18,"Grade  3","Female",3535
"2015-2016",18,"Grade  3","Male",3724
"2015-2016",18,"Grade  4","Female",3310
"2015-2016",18,"Grade  4","Male",3456
"2015-2016",18,"Grade  5","Female",3268
"2015-2016",18,"Grade  5","Male",3484
"2015-2016",18,"Grade  6","Female",3170
"2015-2016",18,"Grade  6","Male",3435
"2015-2016",18,"Grade  7","Female",3234
"2015-2016",18,"Grade  7","Male",3395
"2015-2016",18,"Grade  8","Female",3051
"2015-2016",18,"Grade  8","Male",3280
"2015-2016",18,"Grade  9","Female",3370
"2015-2016",18,"Grade  9","Male",3779
"2015-2016",18,"Grade 10","Female",2829
"2015-2016",18,"Grade 10","Male",3044
"2015-2016",18,"Grade 11","Female",2619
"2015-2016",18,"Grade 11","Male",2685
"2015-2016",18,"Grade 12","Female",2251
"2015-2016",18,"Grade 12","Male",2230
"2015-2016",19,"Early Education","Female",308
"2015-2016",19,"Early Education","Male",598
"2015-2016",19,"Pre-kindergarten","Female",3814
"2015-2016",19,"Pre-kindergarten","Male",3818
"2015-2016",19,"Kindergarten","Female",5773
"2015-2016",19,"Kindergarten","Male",6098
"2015-2016",19,"Grade  1","Female",6320
"2015-2016",19,"Grade  1","Male",6695
"2015-2016",19,"Grade  2","Female",6508
"2015-2016",19,"Grade  2","Male",6624
"2015-2016",19,"Grade  3","Female",6410
"2015-2016",19,"Grade  3","Male",6834
"2015-2016",19,"Grade  4","Female",6420
"2015-2016",19,"Grade  4","Male",6584
"2015-2016",19,"Grade  5","Female",6286
"2015-2016",19,"Grade  5","Male",6587
"2015-2016",19,"Grade  6","Female",6362
"2015-2016",19,"Grade  6","Male",6650
"2015-2016",19,"Grade  7","Female",6332
"2015-2016",19,"Grade  7","Male",6686
"2015-2016",19,"Grade  8","Female",6361
"2015-2016",19,"Grade  8","Male",6610
"2015-2016",19,"Grade  9","Female",7394
"2015-2016",19,"Grade  9","Male",8084
"2015-2016",19,"Grade 10","Female",6765
"2015-2016",19,"Grade 10","Male",7196
"2015-2016",19,"Grade 11","Female",6476
"2015-2016",19,"Grade 11","Male",6426
"2015-2016",19,"Grade 12","Female",6088
"2015-2016",19,"Grade 12","Male",6344
"2015-2016",20,"Early Education","Female",567
"2015-2016",20,"Early Education","Male",1358
"2015-2016",20,"Pre-kindergarten","Female",9778
"2015-2016",20,"Pre-kindergarten","Male",10026
"2015-2016",20,"Kindergarten","Female",15276
"2015-2016",20,"Kindergarten","Male",16007
"2015-2016",20,"Grade  1","Female",16229
"2015-2016",20,"Grade  1","Male",17872
"2015-2016",20,"Grade  2","Female",16703
"2015-2016",20,"Grade  2","Male",17720
"2015-2016",20,"Grade  3","Female",16778
"2015-2016",20,"Grade  3","Male",17624
"2015-2016",20,"Grade  4","Female",16442
"2015-2016",20,"Grade  4","Male",17194
"2015-2016",20,"Grade  5","Female",16690
"2015-2016",20,"Grade  5","Male",17291
"2015-2016",20,"Grade  6","Female",16277
"2015-2016",20,"Grade  6","Male",16905
"2015-2016",20,"Grade  7","Female",16087
"2015-2016",20,"Grade  7","Male",16831
"2015-2016",20,"Grade  8","Female",16042
"2015-2016",20,"Grade  8","Male",16981
"2015-2016",20,"Grade  9","Female",17913
"2015-2016",20,"Grade  9","Male",19290
"2015-2016",20,"Grade 10","Female",16346
"2015-2016",20,"Grade 10","Male",17346
"2015-2016",20,"Grade 11","Female",15187
"2015-2016",20,"Grade 11","Male",15472
"2015-2016",20,"Grade 12","Female",13696
"2015-2016",20,"Grade 12","Male",13858

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

