"Year","Region","County Name","District Name","District Number","Charter Status","Grade Level Name","Enrollment by Grade Level"
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Pre-kindergarten",538
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Kindergarten",233
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  1",251
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  2",242
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  3",222
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  4",150
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  5",151
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  6",140
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  7",121
"2015-2016",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Grade  8",113
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Pre-kindergarten",41
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Kindergarten",63
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  1",63
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  2",64
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  3",65
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  4",73
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  5",71
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  6",72
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  7",72
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  8",72
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade  9",71
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 10",72
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 11",71
"2015-2016",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Grade 12",70
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Early Education",-9999999
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Pre-kindergarten",17
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Kindergarten",19
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  1",14
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  2",13
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  3",19
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  4",18
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  5",21
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  6",22
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  7",16
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  8",26
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade  9",23
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 10",21
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 11",20
"2015-2016",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Grade 12",20
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Early Education",-9999999
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Pre-kindergarten",32
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Kindergarten",58
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  1",50
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  2",43
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  3",66
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  4",63
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  5",54
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  6",57
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  7",69
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  8",67
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade  9",71
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 10",37
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 11",64
"2015-2016",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Grade 12",45
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Early Education",187
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Pre-kindergarten",810
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Kindergarten",1376
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  1",1331
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  2",1385
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  3",1349
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  4",1279
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  5",1280
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  6",1293
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  7",1160
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  8",1205
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade  9",1314
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 10",1093
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 11",1032
"2015-2016",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Grade 12",884
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  5",-9999999
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  6",13
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  7",46
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  8",72
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade  9",212
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 10",105
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 11",34
"2015-2016",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Grade 12",-9999999
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Early Education",-9999999
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Pre-kindergarten",31
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Kindergarten",106
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  1",122
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  2",121
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  3",91
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  4",106
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  5",100
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  6",97
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  7",105
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  8",125
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade  9",112
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 10",108
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 11",110
"2015-2016",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Grade 12",76
