T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2019-2020

"YEAR","ETHNICITY","ENROLLMENT"
"2019-2020","American Indian or Alaska Nat",20062
"2019-2020","Asian",250463
"2019-2020","Black or African American",692925
"2019-2020","Hispanic/Latino",2899504
"2019-2020","Native Hawaiian/Other Pacific",8481
"2019-2020","Two or more races",138817
"2019-2020","White",1483688

