"YEAR","REGION","COUNTY NAME","GRADE","ENROLLMENT"
"2018-2019",07,"ANDERSON COUNTY","Early Education",15
"2018-2019",07,"ANDERSON COUNTY","Pre-kindergarten",379
"2018-2019",07,"ANDERSON COUNTY","Kindergarten",607
"2018-2019",07,"ANDERSON COUNTY","Grade 1",579
"2018-2019",07,"ANDERSON COUNTY","Grade 2",610
"2018-2019",07,"ANDERSON COUNTY","Grade 3",579
"2018-2019",07,"ANDERSON COUNTY","Grade 4",644
"2018-2019",07,"ANDERSON COUNTY","Grade 5",622
"2018-2019",07,"ANDERSON COUNTY","Grade 6",587
"2018-2019",07,"ANDERSON COUNTY","Grade 7",624
"2018-2019",07,"ANDERSON COUNTY","Grade 8",652
"2018-2019",07,"ANDERSON COUNTY","Grade 9",691
"2018-2019",07,"ANDERSON COUNTY","Grade 10",593
"2018-2019",07,"ANDERSON COUNTY","Grade 11",614
"2018-2019",07,"ANDERSON COUNTY","Grade 12",510
"2018-2019",18,"ANDREWS COUNTY","Early Education",16
"2018-2019",18,"ANDREWS COUNTY","Pre-kindergarten",102
"2018-2019",18,"ANDREWS COUNTY","Kindergarten",361
"2018-2019",18,"ANDREWS COUNTY","Grade 1",347
"2018-2019",18,"ANDREWS COUNTY","Grade 2",309
"2018-2019",18,"ANDREWS COUNTY","Grade 3",300
"2018-2019",18,"ANDREWS COUNTY","Grade 4",346
"2018-2019",18,"ANDREWS COUNTY","Grade 5",328
"2018-2019",18,"ANDREWS COUNTY","Grade 6",381
"2018-2019",18,"ANDREWS COUNTY","Grade 7",311
"2018-2019",18,"ANDREWS COUNTY","Grade 8",335
"2018-2019",18,"ANDREWS COUNTY","Grade 9",351
"2018-2019",18,"ANDREWS COUNTY","Grade 10",318
"2018-2019",18,"ANDREWS COUNTY","Grade 11",257
"2018-2019",18,"ANDREWS COUNTY","Grade 12",257
"2018-2019",07,"ANGELINA COUNTY","Early Education",47
"2018-2019",07,"ANGELINA COUNTY","Pre-kindergarten",1007
"2018-2019",07,"ANGELINA COUNTY","Kindergarten",1194
"2018-2019",07,"ANGELINA COUNTY","Grade 1",1297
"2018-2019",07,"ANGELINA COUNTY","Grade 2",1204
"2018-2019",07,"ANGELINA COUNTY","Grade 3",1195
"2018-2019",07,"ANGELINA COUNTY","Grade 4",1247
"2018-2019",07,"ANGELINA COUNTY","Grade 5",1286
"2018-2019",07,"ANGELINA COUNTY","Grade 6",1362
"2018-2019",07,"ANGELINA COUNTY","Grade 7",1301
"2018-2019",07,"ANGELINA COUNTY","Grade 8",1235
"2018-2019",07,"ANGELINA COUNTY","Grade 9",1344
"2018-2019",07,"ANGELINA COUNTY","Grade 10",1178
"2018-2019",07,"ANGELINA COUNTY","Grade 11",1202
"2018-2019",07,"ANGELINA COUNTY","Grade 12",1108
"2018-2019",02,"ARANSAS COUNTY","Early Education",-999
"2018-2019",02,"ARANSAS COUNTY","Pre-kindergarten",-999
"2018-2019",02,"ARANSAS COUNTY","Kindergarten",170
"2018-2019",02,"ARANSAS COUNTY","Grade 1",197
"2018-2019",02,"ARANSAS COUNTY","Grade 2",224
"2018-2019",02,"ARANSAS COUNTY","Grade 3",219
"2018-2019",02,"ARANSAS COUNTY","Grade 4",192
"2018-2019",02,"ARANSAS COUNTY","Grade 5",239
"2018-2019",02,"ARANSAS COUNTY","Grade 6",211
"2018-2019",02,"ARANSAS COUNTY","Grade 7",220
"2018-2019",02,"ARANSAS COUNTY","Grade 8",217
"2018-2019",02,"ARANSAS COUNTY","Grade 9",263
"2018-2019",02,"ARANSAS COUNTY","Grade 10",185
"2018-2019",02,"ARANSAS COUNTY","Grade 11",216
"2018-2019",02,"ARANSAS COUNTY","Grade 12",194
"2018-2019",09,"ARCHER COUNTY","Early Education",-999
"2018-2019",09,"ARCHER COUNTY","Pre-kindergarten",-999
"2018-2019",09,"ARCHER COUNTY","Kindergarten",131
"2018-2019",09,"ARCHER COUNTY","Grade 1",138
"2018-2019",09,"ARCHER COUNTY","Grade 2",133
"2018-2019",09,"ARCHER COUNTY","Grade 3",121
"2018-2019",09,"ARCHER COUNTY","Grade 4",146
"2018-2019",09,"ARCHER COUNTY","Grade 5",148
"2018-2019",09,"ARCHER COUNTY","Grade 6",143
"2018-2019",09,"ARCHER COUNTY","Grade 7",152
"2018-2019",09,"ARCHER COUNTY","Grade 8",159
"2018-2019",09,"ARCHER COUNTY","Grade 9",170
"2018-2019",09,"ARCHER COUNTY","Grade 10",144
"2018-2019",09,"ARCHER COUNTY","Grade 11",156
"2018-2019",09,"ARCHER COUNTY","Grade 12",143
"2018-2019",16,"ARMSTRONG COUNTY","Early Education",-999
"2018-2019",16,"ARMSTRONG COUNTY","Pre-kindergarten",-999
"2018-2019",16,"ARMSTRONG COUNTY","Kindergarten",31
"2018-2019",16,"ARMSTRONG COUNTY","Grade 1",29
"2018-2019",16,"ARMSTRONG COUNTY","Grade 2",29
"2018-2019",16,"ARMSTRONG COUNTY","Grade 3",25
"2018-2019",16,"ARMSTRONG COUNTY","Grade 4",28
"2018-2019",16,"ARMSTRONG COUNTY","Grade 5",27
"2018-2019",16,"ARMSTRONG COUNTY","Grade 6",31
"2018-2019",16,"ARMSTRONG COUNTY","Grade 7",22
"2018-2019",16,"ARMSTRONG COUNTY","Grade 8",31
"2018-2019",16,"ARMSTRONG COUNTY","Grade 9",23
"2018-2019",16,"ARMSTRONG COUNTY","Grade 10",21
"2018-2019",16,"ARMSTRONG COUNTY","Grade 11",19
"2018-2019",16,"ARMSTRONG COUNTY","Grade 12",24
"2018-2019",20,"ATASCOSA COUNTY","Early Education",44
"2018-2019",20,"ATASCOSA COUNTY","Pre-kindergarten",408
"2018-2019",20,"ATASCOSA COUNTY","Kindergarten",668
"2018-2019",20,"ATASCOSA COUNTY","Grade 1",649
"2018-2019",20,"ATASCOSA COUNTY","Grade 2",679
"2018-2019",20,"ATASCOSA COUNTY","Grade 3",654
"2018-2019",20,"ATASCOSA COUNTY","Grade 4",713
"2018-2019",20,"ATASCOSA COUNTY","Grade 5",671
"2018-2019",20,"ATASCOSA COUNTY","Grade 6",714
"2018-2019",20,"ATASCOSA COUNTY","Grade 7",648
"2018-2019",20,"ATASCOSA COUNTY","Grade 8",667
"2018-2019",20,"ATASCOSA COUNTY","Grade 9",707
"2018-2019",20,"ATASCOSA COUNTY","Grade 10",637
"2018-2019",20,"ATASCOSA COUNTY","Grade 11",617
"2018-2019",20,"ATASCOSA COUNTY","Grade 12",595
"2018-2019",06,"AUSTIN COUNTY","Early Education",41
"2018-2019",06,"AUSTIN COUNTY","Pre-kindergarten",172
"2018-2019",06,"AUSTIN COUNTY","Kindergarten",365
"2018-2019",06,"AUSTIN COUNTY","Grade 1",430
"2018-2019",06,"AUSTIN COUNTY","Grade 2",380
"2018-2019",06,"AUSTIN COUNTY","Grade 3",437
"2018-2019",06,"AUSTIN COUNTY","Grade 4",445
"2018-2019",06,"AUSTIN COUNTY","Grade 5",468
"2018-2019",06,"AUSTIN COUNTY","Grade 6",462
"2018-2019",06,"AUSTIN COUNTY","Grade 7",437
"2018-2019",06,"AUSTIN COUNTY","Grade 8",448
"2018-2019",06,"AUSTIN COUNTY","Grade 9",492
"2018-2019",06,"AUSTIN COUNTY","Grade 10",475
"2018-2019",06,"AUSTIN COUNTY","Grade 11",433
"2018-2019",06,"AUSTIN COUNTY","Grade 12",383
"2018-2019",17,"BAILEY COUNTY","Early Education",12
"2018-2019",17,"BAILEY COUNTY","Pre-kindergarten",62
"2018-2019",17,"BAILEY COUNTY","Kindergarten",91
"2018-2019",17,"BAILEY COUNTY","Grade 1",103
"2018-2019",17,"BAILEY COUNTY","Grade 2",125
"2018-2019",17,"BAILEY COUNTY","Grade 3",90
"2018-2019",17,"BAILEY COUNTY","Grade 4",117
"2018-2019",17,"BAILEY COUNTY","Grade 5",112
"2018-2019",17,"BAILEY COUNTY","Grade 6",115
"2018-2019",17,"BAILEY COUNTY","Grade 7",110
"2018-2019",17,"BAILEY COUNTY","Grade 8",115
"2018-2019",17,"BAILEY COUNTY","Grade 9",94
"2018-2019",17,"BAILEY COUNTY","Grade 10",86
"2018-2019",17,"BAILEY COUNTY","Grade 11",85
"2018-2019",17,"BAILEY COUNTY","Grade 12",100
"2018-2019",20,"BANDERA COUNTY","Early Education",-999
"2018-2019",20,"BANDERA COUNTY","Pre-kindergarten",-999
"2018-2019",20,"BANDERA COUNTY","Kindergarten",188
"2018-2019",20,"BANDERA COUNTY","Grade 1",177
"2018-2019",20,"BANDERA COUNTY","Grade 2",172
"2018-2019",20,"BANDERA COUNTY","Grade 3",162
"2018-2019",20,"BANDERA COUNTY","Grade 4",179
"2018-2019",20,"BANDERA COUNTY","Grade 5",194
