T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2018-2019

"YEAR","REGION","GRADE","ENROLLMENT"
"2018-2019",10,"Grade 4",66937
"2018-2019",10,"Grade 5",68203
"2018-2019",10,"Grade 6",68208
"2018-2019",10,"Grade 7",66095
"2018-2019",10,"Grade 8",65345
"2018-2019",10,"Grade 9",70170
"2018-2019",10,"Grade 10",64636
"2018-2019",10,"Grade 11",60352
"2018-2019",10,"Grade 12",56341
"2018-2019",11,"Early Education",2712
"2018-2019",11,"Pre-kindergarten",21268
"2018-2019",11,"Kindergarten",40649
"2018-2019",11,"Grade 1",41102
"2018-2019",11,"Grade 2",41464
"2018-2019",11,"Grade 3",42662
"2018-2019",11,"Grade 4",44499
"2018-2019",11,"Grade 5",45760
"2018-2019",11,"Grade 6",45251
"2018-2019",11,"Grade 7",45020
"2018-2019",11,"Grade 8",44650
"2018-2019",11,"Grade 9",49374
"2018-2019",11,"Grade 10",45864
"2018-2019",11,"Grade 11",42545
"2018-2019",11,"Grade 12",40696
"2018-2019",12,"Early Education",606
"2018-2019",12,"Pre-kindergarten",9263
"2018-2019",12,"Kindergarten",12876
"2018-2019",12,"Grade 1",13186
"2018-2019",12,"Grade 2",12918
"2018-2019",12,"Grade 3",13073
"2018-2019",12,"Grade 4",13420
"2018-2019",12,"Grade 5",13370
"2018-2019",12,"Grade 6",13617
"2018-2019",12,"Grade 7",13104
"2018-2019",12,"Grade 8",12921
"2018-2019",12,"Grade 9",13500
"2018-2019",12,"Grade 10",12290
"2018-2019",12,"Grade 11",11219
"2018-2019",12,"Grade 12",10866
"2018-2019",13,"Early Education",2166
"2018-2019",13,"Pre-kindergarten",16493
"2018-2019",13,"Kindergarten",29369
"2018-2019",13,"Grade 1",29629
"2018-2019",13,"Grade 2",30241
"2018-2019",13,"Grade 3",30345
"2018-2019",13,"Grade 4",31291
"2018-2019",13,"Grade 5",32509
"2018-2019",13,"Grade 6",32031
"2018-2019",13,"Grade 7",31426
"2018-2019",13,"Grade 8",30894
"2018-2019",13,"Grade 9",32859
"2018-2019",13,"Grade 10",29964
"2018-2019",13,"Grade 11",27677
"2018-2019",13,"Grade 12",26080
"2018-2019",14,"Early Education",413
"2018-2019",14,"Pre-kindergarten",2308
"2018-2019",14,"Kindergarten",4569
"2018-2019",14,"Grade 1",4613
"2018-2019",14,"Grade 2",4392
"2018-2019",14,"Grade 3",4572
"2018-2019",14,"Grade 4",4468
"2018-2019",14,"Grade 5",4604
"2018-2019",14,"Grade 6",4528
"2018-2019",14,"Grade 7",4479
"2018-2019",14,"Grade 8",4476
"2018-2019",14,"Grade 9",4263
"2018-2019",14,"Grade 10",3621
"2018-2019",14,"Grade 11",3395
"2018-2019",14,"Grade 12",3019
"2018-2019",15,"Early Education",757
"2018-2019",15,"Pre-kindergarten",1798
"2018-2019",15,"Kindergarten",3559
"2018-2019",15,"Grade 1",3686
"2018-2019",15,"Grade 2",3564
"2018-2019",15,"Grade 3",3743
"2018-2019",15,"Grade 4",3890
"2018-2019",15,"Grade 5",4010
"2018-2019",15,"Grade 6",3752
"2018-2019",15,"Grade 7",3731
"2018-2019",15,"Grade 8",3761
"2018-2019",15,"Grade 9",3868
"2018-2019",15,"Grade 10",3563
"2018-2019",15,"Grade 11",3276
"2018-2019",15,"Grade 12",3217
"2018-2019",16,"Early Education",364
"2018-2019",16,"Pre-kindergarten",4322
"2018-2019",16,"Kindergarten",6183
"2018-2019",16,"Grade 1",6043
"2018-2019",16,"Grade 2",6171
"2018-2019",16,"Grade 3",6202
"2018-2019",16,"Grade 4",6520
"2018-2019",16,"Grade 5",6530
"2018-2019",16,"Grade 6",6588
"2018-2019",16,"Grade 7",6232
"2018-2019",16,"Grade 8",6361
"2018-2019",16,"Grade 9",6522
"2018-2019",16,"Grade 10",6058
"2018-2019",16,"Grade 11",5630
"2018-2019",16,"Grade 12",5292
"2018-2019",17,"Early Education",412
"2018-2019",17,"Pre-kindergarten",4130
"2018-2019",17,"Kindergarten",6003
"2018-2019",17,"Grade 1",6121
"2018-2019",17,"Grade 2",6059
"2018-2019",17,"Grade 3",6419
"2018-2019",17,"Grade 4",6633
"2018-2019",17,"Grade 5",6600
"2018-2019",17,"Grade 6",6833
"2018-2019",17,"Grade 7",6131
"2018-2019",17,"Grade 8",6192
"2018-2019",17,"Grade 9",6256
"2018-2019",17,"Grade 10",5956
"2018-2019",17,"Grade 11",5448
"2018-2019",17,"Grade 12",5310
"2018-2019",18,"Early Education",286
"2018-2019",18,"Pre-kindergarten",3596
"2018-2019",18,"Kindergarten",7438
"2018-2019",18,"Grade 1",7487
"2018-2019",18,"Grade 2",7104
"2018-2019",18,"Grade 3",7152
"2018-2019",18,"Grade 4",7520
"2018-2019",18,"Grade 5",7551
"2018-2019",18,"Grade 6",7421
"2018-2019",18,"Grade 7",6783
"2018-2019",18,"Grade 8",6828
"2018-2019",18,"Grade 9",7196
"2018-2019",18,"Grade 10",6516
"2018-2019",18,"Grade 11",5552
"2018-2019",18,"Grade 12",5029
"2018-2019",19,"Early Education",756
"2018-2019",19,"Pre-kindergarten",8340
"2018-2019",19,"Kindergarten",11067
"2018-2019",19,"Grade 1",11949
"2018-2019",19,"Grade 2",11706
"2018-2019",19,"Grade 3",12189
"2018-2019",19,"Grade 4",12631
"2018-2019",19,"Grade 5",13102
"2018-2019",19,"Grade 6",13099
"2018-2019",19,"Grade 7",13243
"2018-2019",19,"Grade 8",13316
"2018-2019",19,"Grade 9",15474
"2018-2019",19,"Grade 10",14035
"2018-2019",19,"Grade 11",13089
"2018-2019",19,"Grade 12",12998
"2018-2019",20,"Early Education",2371
"2018-2019",20,"Pre-kindergarten",20956
"2018-2019",20,"Kindergarten",32268
"2018-2019",20,"Grade 1",33586
"2018-2019",20,"Grade 2",33852
"2018-2019",20,"Grade 3",34855
"2018-2019",20,"Grade 4",36477
"2018-2019",20,"Grade 5",37392
"2018-2019",20,"Grade 6",36623
"2018-2019",20,"Grade 7",35339
"2018-2019",20,"Grade 8",35727
"2018-2019",20,"Grade 9",40000
"2018-2019",20,"Grade 10",35587
"2018-2019",20,"Grade 11",33421
"2018-2019",20,"Grade 12",30851

