"Year","Region","County Name","Grade Level Name","Enrollment by Grade Level"
"2017-2018",07,"ANDERSON COUNTY","Early Education",11
"2017-2018",07,"ANDERSON COUNTY","Pre-kindergarten",422
"2017-2018",07,"ANDERSON COUNTY","Kindergarten",583
"2017-2018",07,"ANDERSON COUNTY","Grade  1",643
"2017-2018",07,"ANDERSON COUNTY","Grade  2",581
"2017-2018",07,"ANDERSON COUNTY","Grade  3",659
"2017-2018",07,"ANDERSON COUNTY","Grade  4",619
"2017-2018",07,"ANDERSON COUNTY","Grade  5",588
"2017-2018",07,"ANDERSON COUNTY","Grade  6",613
"2017-2018",07,"ANDERSON COUNTY","Grade  7",652
"2017-2018",07,"ANDERSON COUNTY","Grade  8",661
"2017-2018",07,"ANDERSON COUNTY","Grade  9",671
"2017-2018",07,"ANDERSON COUNTY","Grade 10",644
"2017-2018",07,"ANDERSON COUNTY","Grade 11",563
"2017-2018",07,"ANDERSON COUNTY","Grade 12",532
"2017-2018",18,"ANDREWS COUNTY","Early Education",14
"2017-2018",18,"ANDREWS COUNTY","Pre-kindergarten",140
"2017-2018",18,"ANDREWS COUNTY","Kindergarten",328
"2017-2018",18,"ANDREWS COUNTY","Grade  1",303
"2017-2018",18,"ANDREWS COUNTY","Grade  2",296
"2017-2018",18,"ANDREWS COUNTY","Grade  3",314
"2017-2018",18,"ANDREWS COUNTY","Grade  4",294
"2017-2018",18,"ANDREWS COUNTY","Grade  5",354
"2017-2018",18,"ANDREWS COUNTY","Grade  6",295
"2017-2018",18,"ANDREWS COUNTY","Grade  7",314
"2017-2018",18,"ANDREWS COUNTY","Grade  8",315
"2017-2018",18,"ANDREWS COUNTY","Grade  9",326
"2017-2018",18,"ANDREWS COUNTY","Grade 10",275
"2017-2018",18,"ANDREWS COUNTY","Grade 11",284
"2017-2018",18,"ANDREWS COUNTY","Grade 12",214
"2017-2018",07,"ANGELINA COUNTY","Early Education",50
"2017-2018",07,"ANGELINA COUNTY","Pre-kindergarten",1051
"2017-2018",07,"ANGELINA COUNTY","Kindergarten",1229
"2017-2018",07,"ANGELINA COUNTY","Grade  1",1292
"2017-2018",07,"ANGELINA COUNTY","Grade  2",1250
"2017-2018",07,"ANGELINA COUNTY","Grade  3",1246
"2017-2018",07,"ANGELINA COUNTY","Grade  4",1297
"2017-2018",07,"ANGELINA COUNTY","Grade  5",1369
"2017-2018",07,"ANGELINA COUNTY","Grade  6",1280
"2017-2018",07,"ANGELINA COUNTY","Grade  7",1236
"2017-2018",07,"ANGELINA COUNTY","Grade  8",1295
"2017-2018",07,"ANGELINA COUNTY","Grade  9",1229
"2017-2018",07,"ANGELINA COUNTY","Grade 10",1283
"2017-2018",07,"ANGELINA COUNTY","Grade 11",1177
"2017-2018",07,"ANGELINA COUNTY","Grade 12",1128
"2017-2018",02,"ARANSAS COUNTY","Early Education",-9999999
"2017-2018",02,"ARANSAS COUNTY","Pre-kindergarten",53
"2017-2018",02,"ARANSAS COUNTY","Kindergarten",167
"2017-2018",02,"ARANSAS COUNTY","Grade  1",182
"2017-2018",02,"ARANSAS COUNTY","Grade  2",209
"2017-2018",02,"ARANSAS COUNTY","Grade  3",168
"2017-2018",02,"ARANSAS COUNTY","Grade  4",206
"2017-2018",02,"ARANSAS COUNTY","Grade  5",168
"2017-2018",02,"ARANSAS COUNTY","Grade  6",194
"2017-2018",02,"ARANSAS COUNTY","Grade  7",195
"2017-2018",02,"ARANSAS COUNTY","Grade  8",223
"2017-2018",02,"ARANSAS COUNTY","Grade  9",180
"2017-2018",02,"ARANSAS COUNTY","Grade 10",212
"2017-2018",02,"ARANSAS COUNTY","Grade 11",204
"2017-2018",02,"ARANSAS COUNTY","Grade 12",185
"2017-2018",09,"ARCHER COUNTY","Early Education",6
"2017-2018",09,"ARCHER COUNTY","Pre-kindergarten",53
"2017-2018",09,"ARCHER COUNTY","Kindergarten",140
"2017-2018",09,"ARCHER COUNTY","Grade  1",125
"2017-2018",09,"ARCHER COUNTY","Grade  2",121
"2017-2018",09,"ARCHER COUNTY","Grade  3",142
"2017-2018",09,"ARCHER COUNTY","Grade  4",146
"2017-2018",09,"ARCHER COUNTY","Grade  5",128
"2017-2018",09,"ARCHER COUNTY","Grade  6",152
"2017-2018",09,"ARCHER COUNTY","Grade  7",167
"2017-2018",09,"ARCHER COUNTY","Grade  8",149
"2017-2018",09,"ARCHER COUNTY","Grade  9",145
"2017-2018",09,"ARCHER COUNTY","Grade 10",157
"2017-2018",09,"ARCHER COUNTY","Grade 11",138
"2017-2018",09,"ARCHER COUNTY","Grade 12",140
"2017-2018",16,"ARMSTRONG COUNTY","Pre-kindergarten",25
"2017-2018",16,"ARMSTRONG COUNTY","Kindergarten",26
"2017-2018",16,"ARMSTRONG COUNTY","Grade  1",30
"2017-2018",16,"ARMSTRONG COUNTY","Grade  2",27
"2017-2018",16,"ARMSTRONG COUNTY","Grade  3",26
"2017-2018",16,"ARMSTRONG COUNTY","Grade  4",27
"2017-2018",16,"ARMSTRONG COUNTY","Grade  5",27
"2017-2018",16,"ARMSTRONG COUNTY","Grade  6",24
"2017-2018",16,"ARMSTRONG COUNTY","Grade  7",32
"2017-2018",16,"ARMSTRONG COUNTY","Grade  8",26
"2017-2018",16,"ARMSTRONG COUNTY","Grade  9",26
"2017-2018",16,"ARMSTRONG COUNTY","Grade 10",26
"2017-2018",16,"ARMSTRONG COUNTY","Grade 11",26
"2017-2018",16,"ARMSTRONG COUNTY","Grade 12",24
"2017-2018",20,"ATASCOSA COUNTY","Early Education",44
"2017-2018",20,"ATASCOSA COUNTY","Pre-kindergarten",450
"2017-2018",20,"ATASCOSA COUNTY","Kindergarten",637
"2017-2018",20,"ATASCOSA COUNTY","Grade  1",672
"2017-2018",20,"ATASCOSA COUNTY","Grade  2",648
"2017-2018",20,"ATASCOSA COUNTY","Grade  3",712
"2017-2018",20,"ATASCOSA COUNTY","Grade  4",669
"2017-2018",20,"ATASCOSA COUNTY","Grade  5",724
"2017-2018",20,"ATASCOSA COUNTY","Grade  6",662
"2017-2018",20,"ATASCOSA COUNTY","Grade  7",671
"2017-2018",20,"ATASCOSA COUNTY","Grade  8",682
"2017-2018",20,"ATASCOSA COUNTY","Grade  9",685
"2017-2018",20,"ATASCOSA COUNTY","Grade 10",674
"2017-2018",20,"ATASCOSA COUNTY","Grade 11",633
"2017-2018",20,"ATASCOSA COUNTY","Grade 12",575
"2017-2018",06,"AUSTIN COUNTY","Early Education",20
"2017-2018",06,"AUSTIN COUNTY","Pre-kindergarten",181
"2017-2018",06,"AUSTIN COUNTY","Kindergarten",410
"2017-2018",06,"AUSTIN COUNTY","Grade  1",393
"2017-2018",06,"AUSTIN COUNTY","Grade  2",434
"2017-2018",06,"AUSTIN COUNTY","Grade  3",442
"2017-2018",06,"AUSTIN COUNTY","Grade  4",453
"2017-2018",06,"AUSTIN COUNTY","Grade  5",441
"2017-2018",06,"AUSTIN COUNTY","Grade  6",428
"2017-2018",06,"AUSTIN COUNTY","Grade  7",428
"2017-2018",06,"AUSTIN COUNTY","Grade  8",448
"2017-2018",06,"AUSTIN COUNTY","Grade  9",518
"2017-2018",06,"AUSTIN COUNTY","Grade 10",448
"2017-2018",06,"AUSTIN COUNTY","Grade 11",431
"2017-2018",06,"AUSTIN COUNTY","Grade 12",425
"2017-2018",17,"BAILEY COUNTY","Early Education",10
"2017-2018",17,"BAILEY COUNTY","Pre-kindergarten",69
"2017-2018",17,"BAILEY COUNTY","Kindergarten",100
"2017-2018",17,"BAILEY COUNTY","Grade  1",121
"2017-2018",17,"BAILEY COUNTY","Grade  2",108
"2017-2018",17,"BAILEY COUNTY","Grade  3",109
"2017-2018",17,"BAILEY COUNTY","Grade  4",108
"2017-2018",17,"BAILEY COUNTY","Grade  5",117
"2017-2018",17,"BAILEY COUNTY","Grade  6",112
"2017-2018",17,"BAILEY COUNTY","Grade  7",114
"2017-2018",17,"BAILEY COUNTY","Grade  8",96
"2017-2018",17,"BAILEY COUNTY","Grade  9",88
