"Year","Region","Grade Level Name","Gender Name","Gender Count"
"2017-2018",01,"Early Education","Female",270
"2017-2018",01,"Early Education","Male",671
"2017-2018",01,"Pre-kindergarten","Female",14249
"2017-2018",01,"Pre-kindergarten","Male",14273
"2017-2018",01,"Kindergarten","Female",13912
"2017-2018",01,"Kindergarten","Male",14624
"2017-2018",01,"Grade  1","Female",14850
"2017-2018",01,"Grade  1","Male",15982
"2017-2018",01,"Grade  2","Female",14877
"2017-2018",01,"Grade  2","Male",15404
"2017-2018",01,"Grade  3","Female",15371
"2017-2018",01,"Grade  3","Male",15986
"2017-2018",01,"Grade  4","Female",15268
"2017-2018",01,"Grade  4","Male",15952
"2017-2018",01,"Grade  5","Female",15282
"2017-2018",01,"Grade  5","Male",15724
"2017-2018",01,"Grade  6","Female",15472
"2017-2018",01,"Grade  6","Male",16214
"2017-2018",01,"Grade  7","Female",15697
"2017-2018",01,"Grade  7","Male",16441
"2017-2018",01,"Grade  8","Female",15573
"2017-2018",01,"Grade  8","Male",16210
"2017-2018",01,"Grade  9","Female",16875
"2017-2018",01,"Grade  9","Male",18517
"2017-2018",01,"Grade 10","Female",15650
"2017-2018",01,"Grade 10","Male",16440
"2017-2018",01,"Grade 11","Female",14839
"2017-2018",01,"Grade 11","Male",15010
"2017-2018",01,"Grade 12","Female",13818
"2017-2018",01,"Grade 12","Male",13720
"2017-2018",02,"Early Education","Female",95
"2017-2018",02,"Early Education","Male",250
"2017-2018",02,"Pre-kindergarten","Female",2123
"2017-2018",02,"Pre-kindergarten","Male",2158
"2017-2018",02,"Kindergarten","Female",3398
"2017-2018",02,"Kindergarten","Male",3688
"2017-2018",02,"Grade  1","Female",3655
"2017-2018",02,"Grade  1","Male",3913
"2017-2018",02,"Grade  2","Female",3702
"2017-2018",02,"Grade  2","Male",3823
"2017-2018",02,"Grade  3","Female",3856
"2017-2018",02,"Grade  3","Male",4026
"2017-2018",02,"Grade  4","Female",3964
"2017-2018",02,"Grade  4","Male",4100
"2017-2018",02,"Grade  5","Female",3768
"2017-2018",02,"Grade  5","Male",4083
"2017-2018",02,"Grade  6","Female",3755
