 
System ID, System Name, AUT,  BL,  D,  DB,  EBD,  HH,  MID,  MoID, OHI,  OI,  PID,  SDD,  SI,  SID,  SLD,  TBI,  VI 
"601","Appling County","14","*","*","*","43","*","24","12","53","*","*","62","82","*","146","*","*"
"602","Atkinson County","*","*","*","*","*","*","12","*","37","*","*","47","*","*","109","*","*"
"761","Atlanta Public Schools","348","*","13","*","458","25","305","148","654","13","13","409","519","48","1535","*","*"
"603","Bacon County","*","*","*","*","10","*","17","12","51","*","*","61","55","*","77","*","*"
"604","Baker County","*","*","*","*","*","*","10","*","*","*","*","*","*","*","15","*","*"
"605","Baldwin County","48","*","*","*","67","*","48","31","125","*","*","61","70","*","101","*","*"
"606","Banks County","16","*","*","*","27","*","28","13","78","*","*","69","59","*","146","*","*"
"607","Barrow County","131","*","*","*","139","*","109","30","265","10","*","142","274","10","471","*","13"
"608","Bartow County","92","*","*","*","102","10","73","28","276","20","*","206","233","*","522","*","*"
"609","Ben Hill County","*","*","*","*","67","*","72","45","22","*","*","*","47","14","209","*","*"
"610","Berrien County","21","*","*","*","27","*","27","*","26","*","*","48","78","*","91","*","*"
"611","Bibb County","193","*","*","*","322","27","157","116","194","*","*","309","398","38","456","*","13"
"612","Bleckley County","25","*","*","*","35","*","24","*","36","*","*","48","69","*","85","*","*"
"613","Brantley County","11","*","*","*","14","*","27","*","85","*","*","29","47","*","142","*","*"
"763","Bremen City","11","*","*","*","10","*","*","*","37","*","*","31","29","*","66","*","*"
"614","Brooks County","*","*","*","*","*","*","30","*","31","*","*","37","40","*","54","*","*"
"615","Bryan County","88","*","*","*","61","*","24","24","120","*","*","72","90","*","175","*","*"
"764","Buford City","19","*","*","*","21","*","*","*","65","*","*","43","88","*","137","*","*"
"616","Bulloch County","61","*","*","*","77","*","80","23","176","*","*","175","192","*","409","*","*"
"617","Burke County","18","*","*","*","35","*","26","20","51","*","*","120","82","*","119","*","*"
"618","Butts County","23","*","*","*","43","*","17","*","61","*","*","60","117","*","100","*","*"
"765","Calhoun City","34","*","*","*","22","*","19","10","50","*","*","42","32","*","84","*","*"
"619","Calhoun County","*","*","*","*","*","*","14","*","*","*","*","19","14","*","*","*","*"
"620","Camden County","80","*","*","*","61","*","61","31","128","*","*","131","301","*","306","*","*"
"621","Candler County","13","*","*","*","20","*","14","*","35","*","*","38","25","*","68","*","*"
"622","Carroll County","141","*","*","*","124","16","55","32","330","*","*","194","282","*","733","*","11"
"766","Carrollton City","18","*","*","*","31","*","19","*","69","*","*","77","40","*","186","*","*"
"767","Cartersville City","28","*","*","*","22","*","13","*","56","*","*","44","80","*","98","*","*"
"623","Catoosa County","123","*","*","*","81","*","62","32","246","*","*","208","100","*","691","*","*"
"624","Charlton County","10","*","*","*","*","*","16","*","*","*","*","14","41","*","43","*","*"
"626","Chattahoochee County","*","*","*","*","*","*","11","*","34","*","*","*","17","*","49","*","*"
"627","Chattooga County","22","*","*","*","27","*","23","*","42","*","*","57","46","*","180","*","*"
"628","Cherokee County","413","12","13","*","191","27","87","71","591","18","13","518","741","25","1539","*","*"
"769","Chickamauga City","*","*","*","*","*","*","*","*","22","*","*","*","14","*","14","*","*"
"773","City Schools of Decatur","49","*","*","*","21","*","10","*","61","*","*","41","32","*","143","*","*"
"629","Clarke County","160","*","*","*","156","13","115","50","187","*","*","249","165","19","450","*","*"
"630","Clay County","*","*","*","*","*","*","*","*","*","*","*","12","17","*","*","*","*"
"631","Clayton County","372","*","10","*","421","23","262","167","473","15","14","696","431","47","2175","15","14"
"632","Clinch County","*","*","*","*","*","*","11","*","39","*","*","23","20","*","70","*","*"
"633","Cobb County","1231","*","21","*","738","142","357","216","2233","155","39","1419","1867","78","5086","37","40"
"634","Coffee County","30","*","*","*","20","*","140","32","73","*","*","57","152","*","125","*","*"
"635","Colquitt County","29","*","*","*","56","*","123","70","61","*","*","117","143","11","464","*","*"
"636","Columbia County","222","*","*","*","104","13","57","56","263","*","*","319","339","16","416","*","10"
"771","Commerce City","*","*","*","*","14","*","16","*","24","*","*","17","38","*","95","*","*"
"637","Cook County","19","*","*","*","21","*","35","10","36","*","*","57","117","*","67","*","*"
"638","Coweta County","158","*","*","*","107","22","78","37","550","30","*","262","405","12","582","*","15"
"639","Crawford County","34","*","*","*","48","*","44","*","21","*","*","12","35","*","105","*","*"
"640","Crisp County","10","*","*","*","40","*","47","15","39","*","*","65","200","*","114","*","*"
"641","Dade County","13","*","*","*","*","*","20","*","59","*","*","69","78","*","101","*","*"
"772","Dalton Public Schools","53","*","*","*","12","*","15","30","85","*","*","83","71","*","242","*","*"
"642","Dawson County","25","*","*","*","35","*","19","*","51","*","*","56","83","*","159","*","*"
"644","DeKalb County","1058","14","26","*","690","42","684","261","1135","37","85","1133","851","94","3050","21","21"
"643","Decatur County","27","*","*","*","45","*","91","48","53","*","*","55","91","*","163","*","*"
"890","Department of Corrections","*","*","*","*","10","*","*","*","*","*","*","*","*","*","*","*","*"
"892","Department of Human Resources","17","*","*","*","*","*","29","*","20","*","*","*","*","*","*","*","*"
"891","Department of Juvenile Justice","*","*","*","*","163","*","33","*","64","*","*","*","*","*","92","*","*"
"645","Dodge County","19","*","*","*","51","*","38","20","77","*","*","46","56","*","153","*","*"
"646","Dooly County","*","*","*","*","*","*","24","16","17","*","*","*","61","*","15","*","*"
"647","Dougherty County","62","*","*","*","55","*","204","124","72","*","15","277","239","33","242","*","*"
"648","Douglas County","113","*","*","*","175","16","108","61","458","23","*","460","517","18","1034","*","*"
"774","Dublin City","13","*","*","*","27","*","30","*","52","*","*","47","19","*","53","*","*"
"649","Early County","*","*","*","*","34","*","85","11","20","*","*","42","59","*","72","*","*"
"650","Echols County","*","*","*","*","*","*","*","*","*","*","*","*","11","*","29","*","*"
"651","Effingham County","121","*","*","*","91","*","77","32","376","*","*","308","418","*","343","*","*"
"652","Elbert County","11","*","*","*","20","*","32","14","65","*","*","58","53","*","49","*","*"
