"Year","Grade Level Name","Enrollment by Grade Level"
"2016-2017","Early Education",23248
"2016-2017","Pre-kindergarten",224810
"2016-2017","Kindergarten",372011
"2016-2017","Grade  1",395805
"2016-2017","Grade  2",408817
"2016-2017","Grade  3",412759
"2016-2017","Grade  4",411095
"2016-2017","Grade  5",400165
"2016-2017","Grade  6",398155
"2016-2017","Grade  7",396117
"2016-2017","Grade  8",392366
"2016-2017","Grade  9",431745
"2016-2017","Grade 10",395334
"2016-2017","Grade 11",363933
"2016-2017","Grade 12",332767
"2016-2017","All Grade Levels",5359127

STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH ""-9999999"" IN COMPLIANCE WITH FERPA.

