System ID, System Name, Total, Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
601,Appling County,3567,224,242,263,277,222,251,278,289,273,270,278,267,225,208
602,Atkinson County,1707,115,134,126,114,117,119,123,132,125,135,117,109,124,117
761,Atlanta Public Schools,52416,1417,4481,4474,4432,4484,4463,4518,4074,3862,3616,3877,3284,2791,2643
603,Bacon County,2110,97,148,160,163,135,158,152,188,153,176,167,154,145,114
604,Baker County,268,22,14,20,23,20,18,23,20,16,23,20,18,23,8
605,Baldwin County,5027,281,391,441,407,375,360,401,402,384,367,405,311,251,251
606,Banks County,2750,17,207,191,192,195,198,202,216,228,245,248,202,197,212
607,Barrow County,14272,495,1019,1038,1078,1002,1004,1108,1130,1191,1121,1244,1066,936,840
608,Bartow County,13421,502,964,960,981,954,944,1029,1045,1061,1052,1119,1002,963,845
609,Ben Hill County,3065,186,244,204,193,225,213,244,239,257,241,232,210,181,196
610,Berrien County,3180,165,244,227,241,210,237,221,250,256,226,285,231,201,186
611,Bibb County,21812,914,1777,1671,1766,1770,1723,1767,1679,1599,1542,1800,1433,1222,1149
612,Bleckley County,2550,165,198,195,189,178,187,199,198,188,168,169,178,160,178
613,Brantley County,3455,208,264,265,232,245,258,279,240,235,259,240,265,227,238
763,Bremen City,2307,71,159,155,156,158,167,157,202,202,172,182,194,166,166
614,Brooks County,2184,109,155,167,176,167,166,161,165,176,171,157,170,116,128
615,Bryan County,9750,300,667,689,740,706,696,742,806,763,746,810,747,679,659
764,Buford City,5177,22,378,378,388,423,387,422,397,426,413,437,420,352,334
616,Bulloch County,10902,516,860,826,811,823,811,820,793,839,822,916,769,737,559
617,Burke County,4255,264,326,292,278,286,306,306,323,317,327,372,342,278,238
618,Butts County,3516,163,242,262,279,237,271,241,257,289,281,280,248,244,222
765,Calhoun City,4212,210,290,304,273,274,317,311,328,349,339,334,328,284,271
619,Calhoun County,535,28,23,31,35,30,44,26,40,48,38,50,47,47,48
620,Camden County,9277,266,722,767,751,655,747,757,751,735,641,658,674,573,580
621,Candler County,2227,135,147,163,153,171,154,151,189,169,168,171,176,153,127
622,Carroll County,15005,583,1094,1028,1082,1107,1114,1154,1207,1225,1192,1105,1087,1044,983
766,Carrollton City,5441,169,376,371,397,384,416,403,405,413,409,439,429,445,385
767,Cartersville City,4671,152,336,325,315,329,331,327,348,369,372,400,406,336,325
623,Catoosa County,10770,322,729,746,758,745,773,831,821,881,825,907,849,827,756
624,Charlton County,1689,97,129,134,130,140,122,143,138,116,126,119,119,89,87
626,Chattahoochee County,930,30,47,39,38,44,52,50,47,65,56,143,112,103,104
627,Chattooga County,2696,110,244,173,180,188,202,209,221,219,200,188,216,168,178
628,Cherokee County,42766,656,2823,2983,3031,3045,3024,3261,3314,3453,3547,3990,3456,3305,2878
769,Chickamauga City,1283,0,81,95,97,75,81,96,97,114,94,122,117,112,102
773,City Schools of Decatur,5874,179,444,452,457,492,459,452,490,443,449,454,426,377,300
629,Clarke County,13298,927,1062,1051,1038,1020,988,1084,980,983,960,1036,835,737,597
630,Clay County,223,28,21,23,16,17,16,30,28,21,23,0,0,0,0
631,Clayton County,54424,986,3868,4000,4040,4086,4274,4379,4541,4518,4215,5012,3928,3513,3064
632,Clinch County,1336,88,100,92,96,94,111,97,105,93,104,95,86,78,97
633,Cobb County,112097,975,7988,7819,8128,8156,8301,8593,8729,9020,8808,10080,9143,7825,8532
634,Coffee County,7769,452,685,604,537,624,559,635,623,574,533,512,522,488,421
635,Colquitt County,9447,563,642,704,693,741,728,741,743,715,724,670,631,572,580
636,Columbia County,28248,489,1957,2014,2027,2091,2132,2213,2252,2229,2243,2326,2232,2058,1985
771,Commerce City,1699,70,148,133,120,128,130,134,120,135,121,127,117,124,92
637,Cook County,3170,201,223,206,202,244,228,247,260,233,270,244,231,197,184
638,Coweta County,22855,643,1600,1641,1573,1676,1595,1653,1754,1715,1762,2176,1891,1707,1469
639,Crawford County,1693,72,110,107,112,140,123,137,140,144,120,147,130,107,104
640,Crisp County,3922,266,278,257,270,288,282,286,332,307,290,316,263,237,250
641,Dade County,2199,140,157,168,155,159,137,152,164,160,175,165,168,143,156
772,Dalton Public Schools,7883,393,575,539,562,527,557,564,601,590,601,593,670,521,590
642,Dawson County,3640,105,291,282,241,252,242,274,284,276,283,277,303,260,270
644,DeKalb County,98800,3051,7751,7702,7693,7823,7605,7869,7506,7563,7239,8471,6704,5968,5855
643,Decatur County,4732,275,362,290,299,310,349,320,361,376,330,415,394,347,304
891,Department of Juvenile Justice,504,0,0,0,0,0,0,0,8,10,54,215,132,50,35
645,Dodge County,3060,107,216,230,198,227,231,233,253,239,242,233,224,224,203
646,Dooly County,1225,84,85,76,84,90,99,98,107,76,93,85,84,85,79
647,Dougherty County,13882,374,1093,1090,1082,1142,1159,1163,1128,1130,1031,1016,934,809,731
648,Douglas County,26663,243,1708,1870,1850,1891,1940,2155,2103,2176,2208,2334,2136,2078,1971
774,Dublin City,2296,159,195,183,182,172,175,172,172,157,159,152,139,137,142
649,Early County,1945,85,100,138,123,139,153,138,159,153,151,160,159,127,160
650,Echols County,861,46,84,76,69,62,58,56,69,65,59,68,59,50,40
651,Effingham County,12966,625,1015,991,948,897,938,957,1007,1008,1035,1075,909,808,753
652,Elbert County,3068,173,252,230,229,197,216,256,266,227,215,239,202,209,157
653,Emanuel County,4181,253,345,303,269,300,330,310,349,336,317,324,270,241,234
654,Evans County,1933,118,135,134,160,134,135,150,158,149,160,159,123,105,113
655,Fannin County,2919,86,209,207,205,208,194,209,233,227,229,257,235,194,226
656,Fayette County,20538,376,1229,1279,1342,1368,1501,1527,1617,1588,1669,1880,1733,1739,1690
657,Floyd County,9539,427,619,675,694,665,711,643,773,819,761,764,673,685,630
658,Forsyth County,50544,510,3238,3563,3577,3827,4041,3920,4048,4059,4047,4116,4135,3886,3577
659,Franklin County,3604,32,279,257,270,263,278,265,301,293,273,306,273,257,257
660,Fulton County,93897,2151,6188,6389,6607,6610,6895,7202,7098,7291,7355,8112,7788,7300,6911
776,Gainesville City,8079,299,629,628,630,596,633,634,619,629,542,700,568,507,465
661,Gilmer County,4189,154,348,294,285,298,292,347,292,361,327,314,323,282,272
662,Glascock County,557,35,30,36,43,40,39,35,49,44,48,45,37,42,34
663,Glynn County,13287,515,971,1008,958,1009,1009,1038,1031,1038,990,1182,980,827,731
664,Gordon County,6612,384,424,430,474,428,479,501,527,514,506,510,499,454,482
665,Grady County,4676,234,378,353,319,351,340,351,356,375,352,351,346,295,275
666,Greene County,2650,199,192,204,205,186,201,217,191,177,191,202,204,139,142
726,Griffin-Spalding County,10207,503,747,762,774,815,760,793,758,769,728,907,681,596,614
667,Gwinnett County,180589,1251,11910,12391,12804,13059,13150,13973,14631,14736,14639,15563,15152,13740,13590
668,Habersham County,7006,237,528,510,537,505,530,536,550,526,526,561,530,492,438
669,Hall County,27135,415,1828,1824,1840,1850,1983,2079,2208,2279,2217,2394,2504,1812,1902
670,Hancock County,783,47,49,47,68,56,48,55,46,60,72,69,49,61,56
671,Haralson County,3345,197,229,231,230,217,268,232,273,284,268,255,252,205,204
672,Harris County,5552,277,359,372,386,391,393,398,408,456,396,477,411,433,395
673,Hart County,3559,134,281,252,242,254,272,259,291,291,279,260,272,243,229
674,Heard County,2111,117,157,160,150,112,161,171,171,158,168,155,154,135,142
675,Henry County,43009,398,2759,2713,2801,2904,3064,3233,3487,3580,3543,4102,3640,3444,3341
676,Houston County,30221,1114,2078,2185,2228,2215,2190,2320,2437,2431,2341,2382,2301,2043,1956
677,Irwin County,1695,84,105,109,121,107,123,135,143,153,117,143,116,122,117
678,Jackson County,8305,315,603,631,591,599,614,645,656,652,691,702,566,550,490
679,Jasper County,2412,132,149,158,171,204,172,184,187,206,168,215,168,160,138
680,Jeff Davis County,3084,201,227,242,250,191,208,237,245,236,229,225,218,181,194
779,Jefferson City,4003,142,279,282,286,292,299,318,327,307,287,315,315,260,294
681,Jefferson County,2382,134,152,150,175,167,166,171,181,175,170,159,191,205,186
682,Jenkins County,1133,70,96,88,75,82,75,85,97,98,83,74,86,65,59
683,Johnson County,1096,51,67,78,82,77,74,70,80,86,94,85,73,92,87
684,Jones County,5291,272,330,357,344,367,424,389,408,402,417,463,395,369,354
685,Lamar County,2687,140,180,206,178,206,198,198,207,200,209,212,211,171,171
686,Lanier County,1710,92,141,106,122,112,149,151,158,124,117,126,124,94,94
687,Laurens County,6598,337,437,457,477,473,470,501,522,504,511,547,508,432,422
688,Lee County,6632,288,463,460,496,471,454,474,539,527,521,548,494,436,461
689,Liberty County,10092,476,782,791,777,709,709,800,777,827,721,821,670,639,593
690,Lincoln County,1117,71,87,68,83,67,74,86,84,99,82,87,76,63,90
691,Long County,3876,198,280,266,283,269,300,310,309,342,302,296,258,239,224
692,Lowndes County,10848,373,867,816,814,784,773,863,861,920,843,855,801,649,629
693,Lumpkin County,3854,27,308,274,311,284,298,274,305,341,317,322,287,262,244
694,Macon County,1190,81,78,67,68,84,75,104,112,94,86,108,88,67,78
695,Madison County,4996,165,367,374,373,372,350,407,414,389,383,452,323,329,298
781,Marietta City,8877,151,647,660,689,716,692,707,702,680,705,887,648,512,481
696,Marion County,1367,66,105,98,95,107,95,116,99,109,108,101,90,69,109
697,McDuffie County,3635,136,277,257,247,283,267,303,302,286,270,317,234,239,217
698,McIntosh County,1328,69,105,97,89,83,92,84,113,110,107,124,101,82,72
699,Meriwether County,2480,173,204,156,182,175,185,173,190,205,182,156,192,145,162
700,Miller County,868,52,56,63,49,56,54,55,54,90,73,71,60,77,58
701,Mitchell County,1332,62,104,88,108,102,106,109,122,104,100,99,82,77,69
702,Monroe County,4152,214,319,294,301,267,339,289,320,289,340,347,278,287,268
703,Montgomery County,882,49,68,67,60,58,60,68,64,73,74,64,69,53,55
704,Morgan County,3196,89,250,207,219,209,234,238,266,261,252,279,236,230,226
705,Murray County,7216,325,465,463,486,457,532,549,578,623,617,599,537,515,470
706,Muscogee County,31733,1092,2423,2398,2432,2367,2475,2365,2498,2541,2328,2603,2185,2061,1965
707,Newton County,19579,728,1342,1342,1352,1349,1370,1519,1535,1550,1558,1639,1551,1379,1365
708,Oconee County,8140,70,555,572,566,564,619,658,618,676,681,673,628,660,600
709,Oglethorpe County,2131,55,166,161,137,173,154,152,163,162,166,174,181,148,139
710,Paulding County,30496,270,2123,2208,2214,2197,2313,2323,2381,2480,2421,2684,2398,2345,2139
711,Peach County,3693,102,321,284,286,267,316,307,279,289,284,316,242,182,218
784,Pelham City,1429,77,109,111,78,115,121,95,85,121,115,118,88,88,108
712,Pickens County,4333,86,299,305,308,322,273,329,345,369,352,367,330,341,307
713,Pierce County,3610,150,252,271,266,265,257,300,259,284,273,292,266,230,245
714,Pike County,3370,94,212,221,237,199,232,262,253,265,290,296,287,287,235
715,Polk County,8054,366,602,569,555,551,556,623,666,641,619,669,614,518,505
716,Pulaski County,1348,89,83,95,96,102,100,113,110,106,113,87,72,91,91
717,Putnam County,3006,153,215,238,213,217,220,250,267,223,229,243,180,175,183
718,Quitman County,300,18,17,21,19,16,17,27,17,16,24,33,22,31,22
719,Rabun County,2293,110,165,162,172,157,167,174,174,191,161,175,191,144,150
720,Randolph County,819,107,50,53,61,51,46,56,40,60,65,72,67,50,41
721,Richmond County,30666,1268,2349,2338,2378,2332,2351,2415,2345,2417,2221,2558,2047,1979,1668
722,Rockdale County,16565,461,1054,1077,1121,1159,1186,1298,1319,1379,1310,1536,1295,1176,1194
785,Rome City,6452,217,442,481,463,464,456,459,507,536,513,547,506,467,394
625,Savannah-Chatham County,37456,1685,3060,3018,2902,2784,2931,3187,3059,2916,2596,3294,2369,1961,1694
723,Schley County,1291,72,78,81,89,98,86,107,93,92,117,104,113,80,81
724,Screven County,2285,95,195,180,180,158,185,172,185,177,196,186,119,119,138
725,Seminole County,1350,74,93,98,83,100,86,92,98,116,98,122,95,102,93
786,Social Circle City,1798,92,132,103,101,112,122,135,141,160,146,162,152,124,116
7830623,State Charter Schools II- Academy For Classical Education,1770,0,141,141,146,146,148,145,147,135,145,142,136,118,80
7830410,State Charter Schools II- Atlanta Heights Charter School,734,0,72,82,81,93,80,87,80,84,75,0,0,0,0
7830630,State Charter Schools II- Baconton Community Charter School,872,44,63,53,72,65,77,73,75,74,70,47,61,47,51
7830613,State Charter Schools II- Brookhaven Innovation Academy,509,0,75,62,61,65,67,59,53,37,30,0,0,0,0
7830611,State Charter Schools II- Cirrus Charter Academy,514,0,63,64,52,67,48,46,74,45,55,0,0,0,0
7830610,State Charter Schools II- Coweta Charter Academy,780,0,99,109,103,84,107,115,70,50,43,0,0,0,0
7830628,State Charter Schools II- Ethos Classical Charter School,123,0,92,0,0,31,0,0,0,0,0,0,0,0,0
7830310,State Charter Schools II- Fulton Leadership Academy,298,0,0,0,0,0,0,0,81,74,58,36,22,10,17
7830615,State Charter Schools II- Genesis Innovation Academy for Boys,316,0,34,39,37,33,39,33,38,37,26,0,0,0,0
7830616,State Charter Schools II- Genesis Innovation Academy for Girls,332,0,39,39,39,39,41,43,37,33,22,0,0,0,0
7830619,State Charter Schools II- International Academy of Smyrna,430,0,62,74,75,67,72,60,20,0,0,0,0,0,0
7830620,State Charter Schools II- International Charter Academy of Georgia,164,0,36,47,28,26,14,13,0,0,0,0,0,0,0
7830614,State Charter Schools II- Liberty Tech Charter Academy,412,0,45,45,46,47,49,48,48,39,45,0,0,0,0
7830210,State Charter Schools II- Pataula Charter Academy,570,0,42,46,46,46,43,46,45,43,45,50,41,42,35
7830617,State Charter Schools II- Resurgence Hall Charter School,276,0,100,76,77,0,0,0,0,0,23,0,0,0,0
7830618,State Charter Schools II- SAIL Charter Academy - School for Arts-Infused Learning,568,0,66,72,73,70,72,72,49,47,47,0,0,0,0
7830621,State Charter Schools II- SLAM Academy of Atlanta,102,0,25,20,20,17,20,0,0,0,0,0,0,0,0
7830612,State Charter Schools II- Southwest Georgia S.T.E.M. Charter Academy,366,27,34,40,27,40,21,43,44,40,29,21,0,0,0
7830624,State Charter Schools II- Spring Creek Charter Academy,280,0,36,37,43,45,40,45,34,0,0,0,0,0,0
7830103,State Charter Schools II- Statesboro STEAM Academy,171,0,0,0,0,0,0,0,29,28,21,28,24,18,23
7820212,State Charter Schools- Cherokee Charter Academy,628,0,77,65,75,75,92,63,64,60,57,0,0,0,0
7820618,State Charter Schools- Coastal Plains Charter High School - Candler Campus,1175,0,0,0,0,0,0,0,0,0,0,259,306,274,336
7820617,State Charter Schools- Dubois Integrity Academy,807,0,165,189,112,110,150,81,0,0,0,0,0,0,0
7820613,State Charter Schools- Foothills Charter High School (Central Office - Athens),1866,0,0,0,0,0,0,0,0,0,0,401,531,458,476
7820412,State Charter Schools- Georgia Connections Academy,4640,0,0,0,0,0,0,232,399,772,788,774,786,484,405
7820120,State Charter Schools- Georgia Cyber Academy,9211,0,368,494,496,639,517,562,654,721,899,1143,1080,805,833
7820616,State Charter Schools- Georgia School for Innovation and the Classics,708,0,76,61,56,62,67,76,66,77,77,55,35,0,0
7820614,State Charter Schools- International Charter School of Atlanta,789,0,134,136,121,119,106,59,47,37,30,0,0,0,0
7820612,State Charter Schools- Ivy Preparatory Academy  Inc,491,0,49,42,57,61,51,45,69,63,54,0,0,0,0
7820108,State Charter Schools- Mountain Education Charter High School,2093,0,0,0,0,0,0,0,0,0,0,361,485,507,740
7820110,State Charter Schools- Odyssey Charter School,348,0,43,40,39,34,40,44,47,28,33,0,0,0,0
7820615,State Charter Schools- Scintilla Charter Academy,588,0,87,88,89,92,77,81,74,0,0,0,0,0,0
7820121,State Charter Schools- Utopian Academy for the Arts Charter School,268,0,0,0,0,0,0,0,95,102,71,0,0,0,0
799,State Schools,333,10,8,8,12,15,15,23,23,35,24,30,26,30,74
727,Stephens County,3984,176,292,297,299,303,290,287,310,329,310,297,262,285,247
728,Stewart County,430,28,28,31,24,36,32,33,44,40,28,28,28,24,26
729,Sumter County,4416,255,324,286,341,384,296,368,343,334,339,336,296,251,263
730,Talbot County,463,34,25,19,36,33,31,38,38,38,29,42,34,36,30
731,Taliaferro County,172,8,10,8,9,13,13,16,19,14,12,13,13,13,11
732,Tattnall County,3783,211,240,299,282,278,290,302,298,283,277,296,261,257,209
733,Taylor County,1395,69,107,92,91,95,102,105,101,97,117,107,112,107,93
734,Telfair County,1694,112,118,136,108,128,120,119,125,116,140,123,115,112,122
735,Terrell County,1218,56,83,89,79,95,89,97,99,90,92,100,85,76,88
736,Thomas County,5832,354,366,410,420,392,413,453,473,473,451,493,421,389,324
745,Thomaston-Upson County,4144,151,307,292,308,308,306,330,297,313,343,329,293,281,286
